epoch,train_loss,val_loss,steps_per_epoch
1,0.320846,0.152715,81
2,0.0962165,0.0698462,81
3,0.0582384,0.0501452,81
4,0.0456639,0.0423647,81
5,0.0400451,0.038225,81
6,0.0360393,0.0359745,81
7,0.0348379,0.0339156,81
8,0.0316237,0.0323259,81
9,0.0306108,0.0305349,81
10,0.0297986,0.0296896,81
11,0.028664,0.0285432,81
12,0.027134,0.0282362,81
13,0.0280126,0.0279704,81
14,0.0255146,0.0249962,81
15,0.0244821,0.0240048,81
16,0.0231624,0.0228448,81
17,0.0225481,0.0224677,81
18,0.0215005,0.021152,81
19,0.0203251,0.0202967,81
20,0.0196258,0.019401,81
21,0.0193495,0.0197828,81
22,0.0185674,0.0181149,81
23,0.0187205,0.018756,81
24,0.0172379,0.0178674,81
25,0.0171161,0.0166617,81
26,0.016277,0.0165242,81
27,0.0165041,0.0188741,81
28,0.0172416,0.0171896,81
29,0.015706,0.0154777,81
30,0.0151655,0.0151421,81
31,0.0147871,0.014847,81
32,0.0149385,0.0144844,81
33,0.0160569,0.0144979,81
34,0.0137491,0.0140804,81
35,0.013668,0.0138473,81
36,0.0155511,0.0247587,81
37,0.0163047,0.0140228,81
38,0.0137875,0.0152803,81
39,0.0136268,0.0132161,81
40,0.0130666,0.0129951,81
41,0.0127912,0.0127459,81
42,0.0123681,0.0125444,81
43,0.0123273,0.0126823,81
44,0.0121965,0.0123856,81
45,0.0121701,0.0120479,81
46,0.0119214,0.012279,81
47,0.0119346,0.0117432,81
48,0.0115384,0.0118519,81
49,0.0111225,0.0115757,81
50,0.0116348,0.0115364,81
51,0.0175883,0.0181158,81
52,0.0143955,0.0129364,81
53,0.0121344,0.0122249,81
54,0.011553,0.0116132,81
55,0.0111279,0.011454,81
56,0.0109548,0.0111808,81
57,0.0106667,0.0112603,81
58,0.0105799,0.0108187,81
59,0.0102407,0.0114027,81
60,0.0105912,0.0106099,81
61,0.0101184,0.0104914,81
62,0.0306822,0.0194822,81
63,0.01607,0.0142855,81
64,0.0126167,0.0124513,81
65,0.0120523,0.0117078,81
66,0.0111241,0.0113639,81
67,0.0106833,0.0109687,81
68,0.0105459,0.0107909,81
69,0.0103811,0.0107546,81
70,0.0100778,0.0103413,81
71,0.0100977,0.0102859,81
72,0.0101317,0.01047,81
73,0.00984813,0.0100903,81
74,0.0097413,0.0100686,81
75,0.00966952,0.0100412,81
76,0.00954881,0.00992509,81
77,0.00946218,0.0100285,81
78,0.00932205,0.00962161,81
79,0.00921074,0.00945713,81
80,0.00921161,0.00956775,81
81,0.00914385,0.00998526,81
82,0.00933731,0.00957122,81
83,0.00884224,0.00970712,81
84,0.00880457,0.0091288,81
85,0.00877811,0.00954591,81
86,0.00874134,0.00910057,81
87,0.00866882,0.00895719,81
88,0.00912379,0.00943451,81
89,0.00857219,0.00872048,81
90,0.00830116,0.00926296,81
91,0.00835338,0.00861113,81
92,0.0081959,0.00863864,81
93,0.00825653,0.0085872,81
94,0.00832972,0.00913033,81
95,0.0085952,0.00876952,81
96,0.0081234,0.00855094,81
97,0.00776629,0.00829555,81
98,0.00764675,0.00877318,81
99,0.00804228,0.00958745,81
100,0.00777,0.00816792,81
