model_seed,split,condition,pde,nRMSE_1,nRMSE_2,nRMSE_3,nRMSE_4,nRMSE_5,nRMSE_6,nRMSE_7,nRMSE_8,nRMSE_9,nRMSE_10,nRMSE_11,nRMSE_12,nRMSE_13,nRMSE_14,nRMSE_15,nRMSE_16,nRMSE_17,nRMSE_18,nRMSE_19,nRMSE_20,nRMSE_21,nRMSE_22,nRMSE_23,nRMSE_24,nRMSE_25,nRMSE_26,nRMSE_27,nRMSE_28,nRMSE_29
42,full_test,all,diff,0.03513353526592255,0.05847886592149734,0.07666284829378128,0.091465924680233,0.10403103679418564,0.11500732392072678,0.1248054963350296,0.13370495915412903,0.14189378619194032,0.149495387673378,0.156592236161232,0.1632431322336197,0.16949314951896668,0.17537920475006102,0.18093340754508971,0.18618504345417022,0.19116172850131988,0.19588999032974244,0.20039552628993987,0.20470324277877808,0.2088371217250824,0.21281996250152588,0.2166729438304901,0.22041537523269653,0.2240644645690918,0.2276352846622467,0.23114093899726867,0.2345927894115448,0.2380008029937744
42,full_test,all,burgers,0.021463214680552484,0.026028828620910646,0.030866053104400635,0.03617280147969723,0.041775792241096496,0.04750126853585243,0.05328818321228027,0.05918052598834038,0.06512334674596787,0.0711830073595047,0.07738009244203567,0.08370428621768951,0.09033768385648727,0.09729322165250778,0.10458281099796295,0.11224739760160446,0.12039896667003631,0.12913934469223023,0.13846110045909882,0.14834890484809876,0.15876736342906952,0.1696925115585327,0.180980840921402,0.192205508351326,0.20314005613327027,0.21376404225826262,0.22400451481342315,0.23382606029510497,0.24330002784729005
42,full_test,all,kdv,0.04921496972441673,0.07322491586208343,0.09373817950487137,0.11228758335113526,0.12957463055849075,0.14601663291454314,0.16184468269348146,0.17731845498085022,0.19257802098989488,0.20767238855361939,0.22267499566078186,0.23767536282539367,0.252782427072525,0.26818376004695893,0.28390501618385316,0.29995015263557434,0.3162683379650116,0.33278027653694153,0.34938138246536254,0.36601701617240906,0.38259755611419677,0.39904903531074526,0.41533122420310975,0.4314334225654602,0.4473665726184845,0.4631231951713562,0.4786687242984772,0.49395938277244567,0.5089422512054443
42,full_test,all,ks,0.014459021762013436,0.02632039174437523,0.041131170690059664,0.059167730510234835,0.0806102630496025,0.10571979343891144,0.13383056044578553,0.16534863591194152,0.19970199465751648,0.2370442897081375,0.27936323642730715,0.32792946577072146,0.3814715528488159,0.437238951921463,0.49349183440208433,0.5518203496932983,0.6120775747299194,0.6710482931137085,0.7284907054901123,0.7857898902893067,0.8428128862380981,0.8981002235412597,0.9496068620681762,0.9964461994171142,1.0379750061035156,1.0743173027038575,1.106776351928711,1.137900915145874,1.1684831380844116
42,full_test,all,fisher,0.021960832178592682,0.04449385195970535,0.06880449295043946,0.09550179302692413,0.12517016410827636,0.15829062283039094,0.1955496311187744,0.23831822037696837,0.28742507338523865,0.3392323100566864,0.38246760606765745,0.41466206550598145,0.44269336462020875,0.4686868166923523,0.4893651533126831,0.5059292364120483,0.5195558261871338,0.5311063313484192,0.5414546084403992,0.5490662550926209,0.5505730772018432,0.5488443470001221,0.5470498156547546,0.5451905632019043,0.5429692292213439,0.5402843952178955,0.5371571087837219,0.5329161441326141,0.52669429063797
42,full_test,all,gs_alpha,0.021494129300117494,0.03924441337585449,0.060201212763786316,0.08567551771799724,0.1158300757408142,0.15292585293451946,0.19065529108047485,0.22470563252766926,0.2553912361462911,0.28345049619674684,0.3080207347869873,0.32977705796559653,0.35109086831410724,0.3750220537185669,0.4026194969813029,0.43380316893259685,0.46808762550354005,0.5037834644317627,0.5388933738072713,0.572485605875651,0.60499001344045,0.6372126579284668,0.6693263053894043,0.7011611461639404,0.731559419631958,0.7608944416046143,0.7901253541310628,0.8190035025278727,0.8458114465077718
42,full_test,all,gs_beta,0.02673411269982656,0.06425198912620544,0.11912904381752014,0.20691562096277874,0.3152002135912577,0.3778801242510478,0.38934763669967654,0.3613240321477254,0.3654632568359375,0.40323615074157715,0.48080237706502277,0.5762706120808919,0.5879262844721477,0.5449114481608073,0.5368734041849772,0.56404550075531,0.5860110839207967,0.6452050606409708,0.6632468541463216,0.6310084025065105,0.6402752717336019,0.6681062380472819,0.651858123143514,0.6414630015691122,0.6178359031677246,0.6018088738123576,0.6380444049835206,0.6809966246287028,0.7002615292867025
42,full_test,all,gs_gamma,0.02504704346259435,0.05033270021279653,0.08722778558731079,0.12546955943107604,0.1602238893508911,0.21063225269317626,0.2675436019897461,0.3215033769607544,0.37723774909973146,0.42659607728322346,0.4792100509007772,0.5050573190053304,0.5383776982625326,0.5806005160013835,0.6027512629826863,0.6331680218378702,0.6614494482676189,0.684543514251709,0.7107521057128906,0.7366262912750244,0.7577633539835612,0.7800664265950521,0.8010477701822917,0.8240475495656331,0.8461484750111897,0.8589941501617432,0.878253428141276,0.9022423267364502,0.9137509822845459
42,full_test,all,gs_delta,0.017377575486898424,0.031197372078895568,0.05010861605405807,0.07504725754261017,0.1083562582731247,0.1444934368133545,0.21195400655269622,0.3399998664855957,0.5069011688232422,0.655770742893219,0.7705205321311951,0.8534856915473938,0.9135493278503418,0.9607933282852172,1.00081547498703,1.0359008312225342,1.0574876308441161,1.0681370735168456,1.0692795276641847,1.0618710041046142,1.0470695972442627,1.0284086227416993,1.0121527194976807,1.000081443786621,0.992724609375,0.9878202438354492,0.9850422978401184,0.984170651435852,0.984382438659668
42,full_test,all,gs_epsilon,0.015334630757570267,0.022115465998649598,0.029976516465346017,0.039025596777598065,0.04878463049729665,0.05979036788145701,0.07275076508522034,0.08717734813690185,0.10202829639116923,0.1168579876422882,0.1308378219604492,0.14435604015986125,0.15742884476979574,0.17056736946105958,0.18366220394770305,0.1970639109611511,0.21145626703898113,0.2262461264928182,0.2411189119021098,0.2565653721491496,0.2722530007362366,0.28825558026631676,0.3048912167549133,0.3210838953653971,0.3366355578104655,0.352528715133667,0.3690614620844523,0.38586034774780276,0.4026061534881592
