split,condition,pde,step,model_seed_count,mean,sample_std,ci95_half_width,ci95_low,ci95_high
full_test,all,burgers,1,3,0.022011805002888046,0.0006806605674895209,0.0016908545845811457,0.0203209504183069,0.023702659587469192
full_test,all,burgers,2,3,0.02666319957623879,0.0007269791107708001,0.0018059162246980853,0.024857283351540707,0.028469115800936876
full_test,all,burgers,3,3,0.031540557568271954,0.0007779915552578115,0.0019326381618152706,0.029607919406456684,0.033473195730087224
full_test,all,burgers,4,3,0.03685090380410353,0.000830890627955493,0.0020640467432185747,0.034786857060884954,0.03891495054732211
full_test,all,burgers,5,3,0.042438981061180436,0.0008755921014973345,0.002175091359413297,0.04026388970176714,0.04461407242059373
full_test,all,burgers,6,3,0.048157154768705364,0.0009147564571524956,0.0022723810122514793,0.04588477375645388,0.050429535780956845
full_test,all,burgers,7,3,0.05392507324616114,0.0009558903034704955,0.0023745631511180986,0.05155051009504304,0.05629963639727924
full_test,all,burgers,8,3,0.059790784766276674,0.0010029443892394746,0.0024914519800673055,0.05729933278620937,0.06228223674634398
full_test,all,burgers,9,3,0.06568695788582167,0.0010891630000544876,0.0027056308826449503,0.06298132700317673,0.06839258876846661
full_test,all,burgers,10,3,0.07167964612444243,0.0012146818140075229,0.0030174369019159947,0.06866220922252643,0.07469708302635843
full_test,all,burgers,11,3,0.07775169710318247,0.0013441243988350068,0.0033389901083884037,0.07441270699479406,0.08109068721157088
full_test,all,burgers,12,3,0.08392212917407353,0.001469726217546879,0.003651002322911127,0.0802711268511624,0.08757313149698466
full_test,all,burgers,13,3,0.09026255985101063,0.0016002550566780386,0.003975253934663815,0.08628730591634681,0.09423781378567445
full_test,all,burgers,14,3,0.09676380693912506,0.00181727021296146,0.004514349468402173,0.09224945747072288,0.10127815640752724
full_test,all,burgers,15,3,0.10346143513917923,0.0021716545418998296,0.0053946889443604006,0.09806674619481882,0.10885612408353963
full_test,all,burgers,16,3,0.11033122728268306,0.0026950155671075175,0.006694789803923022,0.10363643747876004,0.11702601708660608
full_test,all,burgers,17,3,0.11742534806331,0.0034519367656103443,0.008575086297923851,0.10885026176538615,0.12600043436123384
full_test,all,burgers,18,3,0.12480262358983359,0.004543188326100755,0.011285905452310882,0.1135167181375227,0.13608852904214447
full_test,all,burgers,19,3,0.13241460859775542,0.005996277484297169,0.014895579028677403,0.11751902956907802,0.14731018762643283
full_test,all,burgers,20,3,0.14024339705705643,0.0077678771347370066,0.01929647653040417,0.12094692052665226,0.1595398735874606
full_test,all,burgers,21,3,0.14832302282253904,0.009796811706505372,0.024336629414745514,0.12398639340779352,0.17265965223728455
full_test,all,burgers,22,3,0.15665584981441497,0.012067013244864753,0.02997612266938778,0.12667972714502718,0.18663197248380275
full_test,all,burgers,23,3,0.1651547960440318,0.014536744654103297,0.036111275600895505,0.1290435204431363,0.2012660716449273
full_test,all,burgers,24,3,0.17372048219045003,0.016936236826783368,0.04207194459602593,0.1316485375944241,0.21579242678647595
full_test,all,burgers,25,3,0.18224860827128095,0.01916823628243165,0.04761653861633933,0.13463206965494162,0.22986514688762028
full_test,all,burgers,26,3,0.19076399942239122,0.02121872576790219,0.05271023687468111,0.13805376254771012,0.24347423629707232
full_test,all,burgers,27,3,0.19922188719113665,0.02306815251302202,0.05730446759729601,0.14191741959384063,0.25652635478843266
full_test,all,burgers,28,3,0.20770579874515535,0.024631738339111614,0.06118863011339533,0.14651716863176,0.2688944288585507
full_test,all,burgers,29,3,0.21618384361267093,0.02605652846061724,0.06472800498551293,0.151455838627158,0.28091184859818386
full_test,all,decay_turb,1,3,0.242113299369812,0.0021272611549678646,0.005284409657731749,0.23682888971208024,0.24739770902754374
full_test,all,decay_turb,2,3,0.4072155221303304,0.003263037426113115,0.00810583432495987,0.39910968780537054,0.4153213564552903
full_test,all,decay_turb,3,3,0.5196016240119934,0.0070284137352232285,0.017459547613235656,0.5021420763987577,0.537061171625229
full_test,all,decay_turb,4,3,0.5976584410667419,0.012330426803124064,0.030630478223237965,0.567027962843504,0.6282889192899799
full_test,all,decay_turb,5,3,0.6488572176297506,0.01698022552533107,0.04218121858097774,0.6066759990487728,0.6910384362107284
full_test,all,decay_turb,6,3,0.6835815970102946,0.022009460231560696,0.05467453017581153,0.6289070668344832,0.7382561271861061
full_test,all,decay_turb,7,3,0.7116084949175517,0.028255812766094547,0.07019133006754204,0.6414171648500097,0.7817998249850938
full_test,all,decay_turb,8,3,0.7368009289105734,0.03289835622211411,0.08172404734493702,0.6550768815656364,0.8185249762555104
full_test,all,decay_turb,9,3,0.7580529101689657,0.03793225319435705,0.09422894065059656,0.6638239695183692,0.8522818508195622
full_test,all,decay_turb,10,3,0.7785429763793945,0.04389825977144292,0.1090493225771024,0.6694936538022921,0.8875922989564969
full_test,all,decay_turb,11,3,0.801391749382019,0.05067346246380816,0.1258798590897507,0.6755118902922683,0.9272716084717696
full_test,all,decay_turb,12,3,0.8239157454172771,0.056645033664680586,0.14071406430805627,0.6832016811092207,0.9646298097253334
