model_seed,split,condition,aggregation,nRMSE_1,nRMSE_2,nRMSE_3,nRMSE_4,nRMSE_5,nRMSE_6,nRMSE_7,nRMSE_8,nRMSE_9,nRMSE_10,nRMSE_11,nRMSE_12,nRMSE_13,nRMSE_14,nRMSE_15,nRMSE_16,nRMSE_17,nRMSE_18,nRMSE_19,nRMSE_20,nRMSE_21,nRMSE_22,nRMSE_23,nRMSE_24,nRMSE_25,nRMSE_26,nRMSE_27,nRMSE_28,nRMSE_29
42,full_test,all,macro,0.04158861954851697,0.07085305156496664,0.10230364481142412,0.13658460760023444,0.1710086133889854,0.20170106901787221,0.23252923024818298,0.26774075979056455,0.3087080296501517,0.3510537494098147,0.3926471123161415,0.4309745744119088,0.4611194925072293,0.48654653459166486,0.5141862899189193,0.5432775811788937,0.5688175298521916,0.5952752224355936,0.619057670434316,0.6362406288832426,0.6531972462808093,0.6709282514204582,0.6846378777176142,0.6981463369106252,0.7105331491678952,0.7220281360919276,0.7362818127746383,0.7508873739590247,0.7627351472775141
42,full_test,all,micro,0.0458945581273121,0.07705763887833146,0.1070041306842776,0.13719096549293575,0.16661120781127145,0.1937635763778406,0.22025596096235164,0.24807385435875726,0.27861430525779723,0.31001922716112695,0.3408173087414573,0.36903166827033546,0.39272394604542676,0.4138224309682846,0.43543502653346344,0.4578508791152169,0.478536212163813,0.4997448248021743,0.5195015333680546,0.5359019056488485,0.5517649237548604,0.5674265607665567,0.580806110606474,0.5938787477857926,0.6059414313821232,0.6170833425662097,0.6293517205995672,0.6415311127550462,0.6519244328667135
42,id_ood,all,macro,0.06332060035464226,0.12487154587908507,0.17689742703672523,0.22054585385945888,0.25566049515470574,0.2794417716879276,0.3118197752734999,0.3557308620584556,0.39927055216790025,0.44142401766251116,0.4743042944449614,0.49259157758814837,0.5162853961627857,0.5466061836851188,0.5830523475907208,0.619481562423745,0.6470551131889712,0.6573528745302967,0.669982825424157,0.6908094229943612,0.7152369045743755,0.7448511452846277,0.7684985197155304,0.7807240211983132,0.7876430963671285,0.8038642199016084,0.8219001072586751,0.8432504367692019,0.8623366033037503
42,id_ood,all,micro,0.06332060035464226,0.12487154587908508,0.17689742703672523,0.22054585385945888,0.2556604951547057,0.2794417716879276,0.3118197752734999,0.35573086205845567,0.39927055216790025,0.44142401766251116,0.47430429444496147,0.49259157758814837,0.5162853961627857,0.5466061836851188,0.5830523475907208,0.619481562423745,0.6470551131889711,0.6573528745302967,0.669982825424157,0.6908094229943612,0.7152369045743755,0.7448511452846278,0.7684985197155304,0.7807240211983132,0.7876430963671285,0.8038642199016085,0.8219001072586751,0.8432504367692019,0.8623366033037504
42,id_ood,id,macro,0.047741405811964295,0.08423911455069101,0.13182834658187395,0.18022340583596747,0.22372134873533947,0.253258428335482,0.27397052045254144,0.3080263176531184,0.3489952116620307,0.38754896848809484,0.42180207035705153,0.44948403880584475,0.47512807930801426,0.4952363821075243,0.5228014424004975,0.5540084101113619,0.5749768012878942,0.5921373837718777,0.6123256610304703,0.6272682639605858,0.6456645312262516,0.6666114638541258,0.682560123503208,0.7017573027634154,0.7179973781401037,0.73723883875737,0.7593790321957832,0.7743147343543231,0.7878889018560157
42,id_ood,id,micro,0.047741405811964295,0.08423911455069102,0.13182834658187395,0.18022340583596744,0.2237213487353395,0.253258428335482,0.27397052045254144,0.3080263176531184,0.3489952116620307,0.38754896848809484,0.42180207035705153,0.44948403880584475,0.4751280793080143,0.4952363821075243,0.5228014424004975,0.5540084101113618,0.5749768012878942,0.5921373837718776,0.6123256610304701,0.6272682639605859,0.6456645312262517,0.666611463854126,0.6825601235032082,0.7017573027634153,0.7179973781401036,0.7372388387573701,0.7593790321957832,0.7743147343543231,0.7878889018560157
42,id_ood,ood_low,macro,0.07666353537134973,0.13705594156521794,0.19692419257526306,0.2557678056844309,0.3049064834474349,0.34243387995543434,0.38095380829683706,0.42224455033155045,0.45972933101595614,0.49938518787715946,0.5441653920593215,0.5785463556793391,0.609392916747168,0.6449504711610431,0.6762044144903914,0.7099688345310734,0.7448435343948066,0.7706058050195377,0.7918039059229925,0.8163513997021843,0.8390858402731373,0.861026398399297,0.8860973682181508,0.9052813600967912,0.9197090228690821,0.9301803285876911,0.9350639952748429,0.9408117446537111,0.9497146071756585
42,id_ood,ood_low,micro,0.07666353537134972,0.13705594156521791,0.19692419257526303,0.2557678056844309,0.3049064834474349,0.34243387995543434,0.38095380829683706,0.4222445503315505,0.45972933101595614,0.4993851878771595,0.5441653920593215,0.5785463556793391,0.609392916747168,0.644950471161043,0.6762044144903913,0.7099688345310735,0.7448435343948066,0.7706058050195376,0.7918039059229925,0.8163513997021843,0.8390858402731372,0.861026398399297,0.8860973682181508,0.9052813600967912,0.9197090228690821,0.930180328587691,0.935063995274843,0.9408117446537111,0.9497146071756587
42,id_ood,ood_high,macro,0.06555686208109061,0.15331958405965684,0.20193974098519368,0.22564634571180628,0.2383536464516439,0.24263300626155207,0.28053500762611044,0.33692173221532035,0.38908712879992,0.43733789253176425,0.4569454166088618,0.4497443191414955,0.4643351963776,0.49963169486499304,0.5501511938431684,0.5944674395609135,0.6213449732053513,0.6093154396204388,0.6058189147243314,0.6288086148161515,0.660960319871996,0.7069155594297483,0.7368381106678177,0.7351334112531999,0.7252228667630869,0.7441734867353065,0.7712573388627932,0.8146248737386629,0.8494063227930491
42,id_ood,ood_high,micro,0.06555686208109061,0.15331958405965684,0.20193974098519368,0.22564634571180625,0.23835364645164386,0.24263300626155207,0.28053500762611044,0.33692173221532035,0.38908712879991997,0.43733789253176425,0.45694541660886184,0.4497443191414955,0.46433519637759996,0.499631694864993,0.5501511938431684,0.5944674395609135,0.6213449732053513,0.6093154396204388,0.6058189147243312,0.6288086148161515,0.660960319871996,0.7069155594297484,0.7368381106678177,0.7351334112531999,0.7252228667630869,0.7441734867353066,0.7712573388627931,0.8146248737386629,0.849406322793049
