split,condition,aggregation,step,model_seed_count,mean,sample_std,ci95_half_width,ci95_low,ci95_high
full_test,all,macro,1,3,0.0420739474796897,0.0006000296223522663,0.001490556213034102,0.0405833912666556,0.0435645036927238
full_test,all,macro,2,3,0.07113299522730004,0.0003355685259925577,0.0008335984302842531,0.07029939679701579,0.0719665936575843
full_test,all,macro,3,3,0.10156369807250383,0.0006832914631913633,0.0016973900918096935,0.09986630798069414,0.10326108816431352
full_test,all,macro,4,3,0.1348599667655718,0.0015179839848324462,0.0037708812625085906,0.1310890855030632,0.1386308480280804
full_test,all,macro,5,3,0.16847578899779667,0.0022795602577796764,0.005662741602487623,0.16281304739530905,0.17413853060028428
full_test,all,macro,6,3,0.198473531830435,0.0028912868456623035,0.007182354688708378,0.19129117714172664,0.20565588651914338
full_test,all,macro,7,3,0.22974265175561107,0.002591954388508939,0.0064387716435520305,0.22330388011205904,0.2361814233991631
full_test,all,macro,8,3,0.2659729590339379,0.00195517344964454,0.004856920099214798,0.2611160389347231,0.2708298791331527
full_test,all,macro,9,3,0.30740280298412676,0.0016540366426382228,0.004108854800543595,0.3032939481835832,0.3115116577846703
full_test,all,macro,10,3,0.34953844126003486,0.001607337931070483,0.0039928487700494585,0.3455455924899854,0.3535312900300843
full_test,all,macro,11,3,0.39137721833669475,0.0012407190364331188,0.0030821169480518473,0.3882951013886429,0.3944593352847466
full_test,all,macro,12,3,0.4297203260846436,0.001537729827341988,0.003819932654536218,0.4259003934301074,0.43354025873917984
full_test,all,macro,13,3,0.4594482334579031,0.002735348583062203,0.006794982569883443,0.45265325088801966,0.4662432160277865
full_test,all,macro,14,3,0.4850250207343036,0.0029549268284453168,0.0073404451699128435,0.47768457556439076,0.4923654659042164
full_test,all,macro,15,3,0.5123485258532067,0.002985454716642221,0.007416280648241932,0.5049322452049647,0.5197648065014486
full_test,all,macro,16,3,0.5408259756883814,0.0030402646588538937,0.007552436092667117,0.5332735395957143,0.5483784117810485
full_test,all,macro,17,3,0.5676321241776976,0.0024538264982730974,0.006095642942376919,0.5615364812353206,0.5737277671200746
full_test,all,macro,18,3,0.5945300733132495,0.002593235643543814,0.006441954457502494,0.588088118855747,0.600972027770752
full_test,all,macro,19,3,0.6177840278339054,0.0030098972518423877,0.007476999271702698,0.6103070285622028,0.625261027105608
full_test,all,macro,20,3,0.6343125597573817,0.003946192725310821,0.009802886166657941,0.6245096735907237,0.6441154459240396
full_test,all,macro,21,3,0.6505365547392932,0.00482832408743963,0.011994221950012646,0.6385423327892805,0.6625307766893058
full_test,all,macro,22,3,0.6674981243784229,0.005545655456236613,0.013776171855040632,0.6537219525233823,0.6812742962334636
full_test,all,macro,23,3,0.6810261435061693,0.005803028725178433,0.014415522498407544,0.6666106210077618,0.6954416660045768
full_test,all,macro,24,3,0.6939532765497763,0.006092560787893318,0.015134760014149538,0.6788185165356269,0.7090880365639258
full_test,all,macro,25,3,0.7060333275215492,0.006371189745118641,0.015826912714370055,0.6902064148071791,0.7218602402359193
full_test,all,macro,26,3,0.7172987728855675,0.006499320292325716,0.016145206638710413,0.7011535662468571,0.733443979524278
full_test,all,macro,27,3,0.7316041280494795,0.0065603891641535655,0.016296910126230142,0.7153072179232494,0.7479010381757096
full_test,all,macro,28,3,0.745035233799782,0.007022251998586717,0.017444241010887214,0.7275909927888947,0.7624794748106692
full_test,all,macro,29,3,0.7554516037884685,0.007620841767895879,0.018931220430677607,0.7365203833577909,0.7743828242191462
full_test,all,micro,1,3,0.046339206007473606,0.0007395162901615492,0.0018370603048212383,0.04450214570265237,0.048176266312294845
full_test,all,micro,2,3,0.07720677470021388,0.0006908124731516285,0.0017160733162822066,0.07549070138393167,0.07892284801649609
full_test,all,micro,3,3,0.10643516957467679,0.0009291957485869745,0.002308250200634377,0.1041269193740424,0.10874341977531117
full_test,all,micro,4,3,0.13586801701901005,0.0012838839418573425,0.003189344517438969,0.1326786725015711,0.13905736153644901
full_test,all,micro,5,3,0.16479189047334242,0.0016635496374578084,0.00413248638972632,0.1606594040836161,0.16892437686306874
full_test,all,micro,6,3,0.19153064679865742,0.002019198168166273,0.005015966316976863,0.18651468048168054,0.1965466131156343
full_test,all,micro,7,3,0.21825779059353997,0.0018123624015219907,0.004502157788923379,0.2137556328046166,0.22275994838246335
full_test,all,micro,8,3,0.2467939696650879,0.0012079242799266326,0.0030006502566674253,0.24379331940842047,0.24979461992175533
full_test,all,micro,9,3,0.2778941127073531,0.0007720639224800136,0.0019179131056907177,0.27597619960166236,0.2798120258130438
full_test,all,micro,10,3,0.30951600638674753,0.0008167521259272246,0.00202892475714293,0.3074870816296046,0.3115449311438905
full_test,all,micro,11,3,0.34058458300197825,0.000884352224900126,0.002196852712317488,0.33838773028966074,0.34278143571429576
full_test,all,micro,12,3,0.36877759383005254,0.0003588565439610966,0.0008914490739511032,0.36788614475610143,0.36966904290400365
full_test,all,micro,13,3,0.39215787202704183,0.0008727090957180177,0.0021679295760337904,0.38998994245100804,0.3943258016030756
full_test,all,micro,14,3,0.4133120889055963,0.0012813478628983374,0.003183044548057006,0.4101290443575393,0.4164951334536533
full_test,all,micro,15,3,0.4346744011780795,0.0014595109176577686,0.003625626111220064,0.4310487750668594,0.43830002728929957
full_test,all,micro,16,3,0.456604894972315,0.0016535691682161267,0.004107693529702402,0.4524972014426126,0.4607125885020174
full_test,all,micro,17,3,0.47783042359585853,0.001585764751935273,0.003939258022198002,0.4738911655736605,0.48176968161805656
full_test,all,micro,18,3,0.49908139649559474,0.0020201815554964963,0.005018409186529098,0.49406298730906567,0.5040998056821239
full_test,all,micro,19,3,0.5181020595279394,0.002823000569605116,0.007012722175161828,0.5110893373527776,0.5251147817031012
full_test,all,micro,20,3,0.5335829015689737,0.003993910083117508,0.00992142265468915,0.5236614789142846,0.5435043242236628
full_test,all,micro,21,3,0.5484892879163518,0.005045061427405905,0.01253262734976065,0.5359566605665911,0.5610219152661124
full_test,all,micro,22,3,0.5632779943475537,0.005850988737031346,0.014534661772505885,0.5487433325750478,0.5778126561200595
full_test,all,micro,23,3,0.5761264231158237,0.006269231473487244,0.015573634326788759,0.560552788789035,0.5917000574426124
full_test,all,micro,24,3,0.5885158848295026,0.00664741058903816,0.016513083329513532,0.572002801499989,0.6050289681590161
full_test,all,micro,25,3,0.6000848771544064,0.006953731099980169,0.01727402566261778,0.5828108514917886,0.6173589028170242
full_test,all,micro,26,3,0.6108513538276448,0.007121123320995035,0.0176898509914893,0.5931615028361554,0.6285412048191341
full_test,all,micro,27,3,0.62290213061314,0.007162722573524699,0.01779318926347758,0.6051089413496624,0.6406953198766177
full_test,all,micro,28,3,0.6340477908125111,0.007662880534430863,0.019035650515981332,0.6150121402965297,0.6530834413284924
full_test,all,micro,29,3,0.6432482431449142,0.008282330557039693,0.020574449677669453,0.6226737934672448,0.6638226928225837
id_ood,all,macro,1,3,0.06442513372363576,0.001061465720684276,0.002636827026449376,0.06178830669718638,0.06706196075008514
id_ood,all,macro,2,3,0.1240953030470507,0.0008116872303613242,0.0020163428590617557,0.12207896018798894,0.12611164590611246
id_ood,all,macro,3,3,0.1738634537377908,0.004458034689568112,0.011074372092510085,0.16278908164528072,0.18493782583030088
id_ood,all,macro,4,3,0.21980549092353818,0.005210818422835837,0.012944390553089468,0.20686110037044872,0.23274988147662765
id_ood,all,macro,5,3,0.2617903855428392,0.009397231372654968,0.02334401683856624,0.23844636870427294,0.2851344023814054
id_ood,all,macro,6,3,0.2935384551473043,0.017650413351504177,0.0438460574339097,0.2496923977133946,0.337384512581214
id_ood,all,macro,7,3,0.3258803416213958,0.019519038695383982,0.04848798011971644,0.27739236150167934,0.37436832174111223
id_ood,all,macro,8,3,0.36374186148587,0.016138826376627096,0.04009106722507348,0.3236507942607965,0.4038329287109435
id_ood,all,macro,9,3,0.4008781091271532,0.014948835900409633,0.03713496700651458,0.36374314212063863,0.4380130761336678
id_ood,all,macro,10,3,0.43945371010594375,0.017335406153773016,0.04306353617456263,0.3963901739313811,0.4825172462805064
id_ood,all,macro,11,3,0.4728673089108955,0.019973319300265645,0.04961647570200574,0.4232508332088898,0.5224837846129012
id_ood,all,macro,12,3,0.4959927013058678,0.02136440548621759,0.053072125356781075,0.44292057594908674,0.5490648266626489
id_ood,all,macro,13,3,0.5202093305216375,0.020795986268327883,0.05166009374155513,0.4685492367800824,0.5718694242631926
id_ood,all,macro,14,3,0.5452615615215826,0.01972766387388378,0.049006233793242,0.4962553277283406,0.5942677953148245
id_ood,all,macro,15,3,0.5727997555160055,0.023522665287241954,0.058433539920194025,0.5143662155958114,0.6312332954361995
id_ood,all,macro,16,3,0.6021549894042265,0.029042789070931885,0.07214628758461816,0.5300087018196084,0.6743012769888447
id_ood,all,macro,17,3,0.6249793056309354,0.03297915794255458,0.08192476994585501,0.5430545356850804,0.7069040755767904
id_ood,all,macro,18,3,0.6379337248621683,0.03156298558213517,0.07840680277904227,0.559526922083126,0.7163405276412105
id_ood,all,macro,19,3,0.6519545200798246,0.03034089090086595,0.07537095129400953,0.5765835687858151,0.7273254713738341
id_ood,all,macro,20,3,0.6687941852153516,0.03260217624884604,0.08098829550388573,0.5878058897114659,0.7497824807192374
id_ood,all,macro,21,3,0.6858154592268608,0.03861483580969192,0.09592456986671405,0.5898908893601468,0.7817400290935749
id_ood,all,macro,22,3,0.7051378807178769,0.046150274452528596,0.1146436371737334,0.5904942435441435,0.8197815178916102
id_ood,all,macro,23,3,0.7211114477065913,0.051401993641079724,0.12768963086137444,0.5934218168452169,0.8488010785679657
id_ood,all,macro,24,3,0.7317754033961067,0.05246765992520558,0.1303368926658795,0.6014385107302271,0.8621122960619862
id_ood,all,macro,25,3,0.7407937015453455,0.05213521039797762,0.12951104225804919,0.6112826592872963,0.8703047438033947
id_ood,all,macro,26,3,0.7552230960663108,0.055098519653287124,0.1368723105306511,0.6183507855356597,0.8920954065969618
id_ood,all,macro,27,3,0.7690969077882425,0.05851558311199788,0.1453607667317733,0.6237361410564691,0.9144576745200158
id_ood,all,macro,28,3,0.7816336828249472,0.06509871469152262,0.16171417214968256,0.6199195106752646,0.9433478549746297
id_ood,all,macro,29,3,0.7936303581482446,0.07032924353296488,0.17470752609694604,0.6189228320512985,0.9683378842451906
id_ood,all,micro,1,3,0.06442513372363576,0.001061465720684276,0.002636827026449376,0.06178830669718638,0.06706196075008514
id_ood,all,micro,2,3,0.1240953030470507,0.000811687230361338,0.00201634285906179,0.12207896018798892,0.12611164590611249
id_ood,all,micro,3,3,0.1738634537377908,0.004458034689568128,0.011074372092510125,0.16278908164528066,0.18493782583030094
id_ood,all,micro,4,3,0.21980549092353818,0.00521081842283581,0.0129443905530894,0.20686110037044877,0.2327498814766276
id_ood,all,micro,5,3,0.2617903855428392,0.009397231372655005,0.02334401683856633,0.23844636870427285,0.2851344023814055
id_ood,all,micro,6,3,0.2935384551473043,0.017650413351504187,0.04384605743390973,0.24969239771339458,0.33738451258121405
id_ood,all,micro,7,3,0.3258803416213958,0.019519038695384013,0.04848798011971651,0.2773923615016793,0.3743683217411123
id_ood,all,micro,8,3,0.36374186148587007,0.016138826376627065,0.040091067225073405,0.3236507942607967,0.40383292871094345
id_ood,all,micro,9,3,0.4008781091271532,0.01494883590040966,0.03713496700651465,0.3637431421206386,0.43801307613366786
id_ood,all,micro,10,3,0.43945371010594375,0.017335406153773016,0.04306353617456263,0.3963901739313811,0.4825172462805064
id_ood,all,micro,11,3,0.4728673089108955,0.019973319300265645,0.04961647570200574,0.4232508332088898,0.5224837846129012
id_ood,all,micro,12,3,0.4959927013058678,0.021364405486217566,0.05307212535678102,0.4429205759490868,0.5490648266626488
id_ood,all,micro,13,3,0.5202093305216375,0.020795986268327835,0.051660093741555,0.46854923678008253,0.5718694242631925
id_ood,all,micro,14,3,0.5452615615215826,0.01972766387388378,0.049006233793242,0.4962553277283406,0.5942677953148245
id_ood,all,micro,15,3,0.5727997555160055,0.023522665287241992,0.058433539920194115,0.5143662155958114,0.6312332954361995
id_ood,all,micro,16,3,0.6021549894042265,0.029042789070931885,0.07214628758461816,0.5300087018196084,0.6743012769888447
id_ood,all,micro,17,3,0.6249793056309353,0.032979157942554606,0.08192476994585507,0.5430545356850802,0.7069040755767904
id_ood,all,micro,18,3,0.6379337248621683,0.03156298558213517,0.07840680277904227,0.559526922083126,0.7163405276412105
id_ood,all,micro,19,3,0.6519545200798247,0.03034089090086598,0.0753709512940096,0.5765835687858151,0.7273254713738343
id_ood,all,micro,20,3,0.6687941852153516,0.03260217624884602,0.08098829550388567,0.587805889711466,0.7497824807192373
id_ood,all,micro,21,3,0.6858154592268607,0.03861483580969196,0.09592456986671416,0.5898908893601466,0.7817400290935749
id_ood,all,micro,22,3,0.705137880717877,0.046150274452528596,0.1146436371737334,0.5904942435441436,0.8197815178916104
id_ood,all,micro,23,3,0.7211114477065913,0.051401993641079724,0.12768963086137444,0.5934218168452169,0.8488010785679657
id_ood,all,micro,24,3,0.7317754033961067,0.05246765992520558,0.1303368926658795,0.6014385107302271,0.8621122960619862
id_ood,all,micro,25,3,0.7407937015453454,0.05213521039797768,0.12951104225804935,0.6112826592872961,0.8703047438033947
id_ood,all,micro,26,3,0.7552230960663108,0.05509851965328719,0.13687231053065124,0.6183507855356596,0.892095406596962
id_ood,all,micro,27,3,0.7690969077882425,0.058515583111997824,0.14536076673177317,0.6237361410564692,0.9144576745200157
id_ood,all,micro,28,3,0.7816336828249472,0.06509871469152262,0.16171417214968256,0.6199195106752646,0.9433478549746297
id_ood,all,micro,29,3,0.7936303581482446,0.07032924353296499,0.17470752609694631,0.6189228320512983,0.9683378842451908
id_ood,id,macro,1,3,0.04866793268707161,0.0009588011178213516,0.0023817940148188753,0.04628613867225274,0.05104972670189049
id_ood,id,macro,2,3,0.0833296979552293,0.000916914169419351,0.002277741066664614,0.08105195688856469,0.08560743902189392
id_ood,id,macro,3,3,0.12722096949499223,0.003998018213951334,0.009931627817418132,0.1172893416775741,0.13715259731241036
id_ood,id,macro,4,3,0.17495453766748018,0.004575146212259011,0.011365293242503448,0.16358924442497672,0.18631983090998364
id_ood,id,macro,5,3,0.21798866029122688,0.004991027835916477,0.012398400467442115,0.20559025982378476,0.230387060758669
id_ood,id,macro,6,3,0.24890014013044195,0.004079467965540413,0.010133960216950753,0.2387661799134912,0.2590341003473927
id_ood,id,macro,7,3,0.2707297216151275,0.004156454061392053,0.010325204280933867,0.2604045173341936,0.28105492589606135
id_ood,id,macro,8,3,0.3052237943253096,0.004471695755636946,0.011108308061913968,0.2941154862633956,0.3163321023872236
id_ood,id,macro,9,3,0.34684009012443573,0.006231858908124167,0.015480795727786635,0.3313592943966491,0.3623208858522224
id_ood,id,macro,10,3,0.38391441428193857,0.008959781196374625,0.022257330358669877,0.3616570839232687,0.40617174464060846
id_ood,id,macro,11,3,0.41664215296604273,0.01063718990026221,0.02642424457796363,0.3902179083880791,0.44306639754400634
id_ood,id,macro,12,3,0.44257686111856903,0.01095303250879289,0.027208841112782566,0.4153680200057865,0.4697857022313516
id_ood,id,macro,13,3,0.4683928957902917,0.010993657009309009,0.027309757966534426,0.4410831378237573,0.4957026537568261
id_ood,id,macro,14,3,0.4891369260263209,0.01141745401571768,0.028362528092268052,0.46077439793405284,0.517499454118589
id_ood,id,macro,15,3,0.5147377476096153,0.013605510416395294,0.033797961512560655,0.4809397860970547,0.548535709122176
id_ood,id,macro,16,3,0.5440599289448822,0.0162158115687774,0.04028230904413803,0.5037776199007442,0.5843422379890202
id_ood,id,macro,17,3,0.5628177425002351,0.020084676284061076,0.049893101784915315,0.5129246407153197,0.6127108442851504
id_ood,id,macro,18,3,0.577837623241875,0.023146429045200465,0.057498917282823116,0.520338705959052,0.6353365405246981
id_ood,id,macro,19,3,0.5949190801703462,0.025301679615822498,0.06285285650351038,0.5320662236668359,0.6577719366738566
id_ood,id,macro,20,3,0.6074506977414772,0.026266785245317052,0.06525031179353064,0.5422003859479465,0.6727010095350079
id_ood,id,macro,21,3,0.6213842025331032,0.029915852317876118,0.07431509692106865,0.5470691056120346,0.6956992994541719
id_ood,id,macro,22,3,0.6382869001161429,0.032920237729784925,0.08177840402333139,0.5565084960928115,0.7200653041394742
