model_seed,split,elapsed_seconds
42,full_test,600.7612496763468
42,id_ood,289.50796829676256
43,full_test,601.7014278881252
43,id_ood,279.0604507289827
44,full_test,598.0268896780908
44,id_ood,280.7245981404558
