dataset,source_dataset,source_file,source_num_simulations,source_num_frames,selected_sim_ids,selected_num_simulations,num_test_trajectories,num_evaluated_trajectories,trajectory_length,shape,nRMSE_1,nRMSE_2,nRMSE_3,nRMSE_4,nRMSE_5,nRMSE_6,nRMSE_7,nRMSE_8,nRMSE_9,nRMSE_10,nRMSE_11,nRMSE_12,nRMSE_13,nRMSE_14,nRMSE_15,nRMSE_16,nRMSE_17,nRMSE_18,nRMSE_19,nRMSE_20,nRMSE_21,nRMSE_22,nRMSE_23,nRMSE_24,nRMSE_25,nRMSE_26,nRMSE_27,nRMSE_28,nRMSE_29,elapsed_seconds
diff,diff,diff.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.0653448,0.118523,0.154438,0.177362,0.193494,0.20661,0.218255,0.22894,0.238834,0.248019,0.256569,0.264558,0.272066,0.279165,0.285922,0.292394,0.29863,0.304669,0.310541,0.31627,0.321876,0.327371,0.332766,0.338071,0.343292,0.348433,0.353501,0.358498,0.363428,5.738
hyp,hyp,hyp.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.106079,0.167804,0.212782,0.250059,0.283558,0.315261,0.346333,0.377591,0.409693,0.443221,0.478702,0.51661,0.557352,0.601253,0.648559,0.699441,0.754014,0.812348,0.874473,0.940374,1.01,1.08323,1.15993,1.23991,1.32296,1.40883,1.49724,1.58788,1.68045,5.160
burgers,burgers,burgers.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.0378917,0.0568857,0.0774778,0.0986298,0.119578,0.140556,0.160776,0.180548,0.199492,0.21783,0.235442,0.252575,0.269373,0.285821,0.301964,0.317394,0.332266,0.346644,0.360523,0.373809,0.386561,0.398653,0.410057,0.421151,0.431834,0.442614,0.453153,0.46353,0.473479,5.248
kdv,kdv,kdv.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.0399586,0.0629119,0.0855219,0.106802,0.126564,0.143315,0.15793,0.171561,0.185052,0.199321,0.215216,0.233215,0.25336,0.275358,0.298676,0.322713,0.346974,0.370995,0.394214,0.416118,0.436359,0.454889,0.471971,0.48804,0.503474,0.51847,0.533034,0.547011,0.560204,5.273
ks,ks,ks.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.0230517,0.0437122,0.0695545,0.102266,0.143593,0.192589,0.247609,0.306489,0.368125,0.432094,0.497072,0.561578,0.624326,0.685837,0.747037,0.806916,0.864056,0.916989,0.966241,1.01649,1.07161,1.13311,1.19678,1.25158,1.29186,1.32019,1.33633,1.3412,1.34373,5.115
fisher,fisher,fisher.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.0440127,0.0765284,0.107114,0.136789,0.166336,0.196543,0.228194,0.261894,0.297463,0.333084,0.36556,0.392403,0.413252,0.429261,0.441685,0.451254,0.458349,0.46328,0.466364,0.467892,0.468127,0.467317,0.46568,0.463374,0.460475,0.45698,0.452831,0.447944,0.442244,5.190
gs_alpha,gs_alpha,gs_alpha.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.0380735,0.0757958,0.119102,0.166444,0.214864,0.2629,0.308704,0.353401,0.398271,0.440911,0.477608,0.511241,0.545615,0.582103,0.619368,0.655939,0.692337,0.728058,0.762455,0.795805,0.828541,0.861998,0.892901,0.919904,0.94267,0.96093,0.97765,0.994809,1.0124,5.259
gs_beta,gs_beta,gs_beta.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.160262,0.471033,0.726937,0.889776,0.894078,0.820792,0.850334,0.961691,1.12299,1.20873,1.16639,0.985,0.872575,0.876874,1.00684,1.18106,1.25673,1.0657,0.889584,0.870192,0.938782,1.05773,1.16409,1.12066,0.957151,0.923359,0.966304,1.04708,1.18039,5.246
gs_gamma,gs_gamma,gs_gamma.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.0839514,0.197281,0.231817,0.282694,0.370564,0.39733,0.452587,0.528937,0.55563,0.603766,0.663908,0.688307,0.729165,0.7597,0.779216,0.815395,0.83524,0.851398,0.892315,0.913025,0.918476,0.94702,0.96737,0.964862,0.993859,1.00696,1.00403,1.03242,1.04083,5.230
gs_delta,gs_delta,gs_delta.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.0377464,0.0784891,0.142688,0.2115,0.287842,0.36386,0.45797,0.590397,0.748487,0.895058,0.9701,1.0151,1.06733,1.102,1.11999,1.13181,1.13545,1.12912,1.11352,1.09614,1.07894,1.06445,1.05256,1.04105,1.03245,1.02679,1.0234,1.02156,1.02049,5.194
gs_epsilon,gs_epsilon,gs_epsilon.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.0214826,0.0340305,0.0472479,0.0644515,0.0872912,0.115328,0.146116,0.178372,0.209934,0.238738,0.261313,0.277801,0.292094,0.30696,0.322625,0.338139,0.353223,0.368075,0.382239,0.396538,0.412299,0.430222,0.45135,0.475493,0.501297,0.526308,0.54857,0.567991,0.585205,5.215
gs_theta,gs_theta,gs_theta.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.0366209,0.141174,0.294036,0.394852,0.463511,0.527995,0.584455,0.645002,0.710073,0.776819,0.836512,0.888076,0.937978,0.980002,1.0216,1.0585,1.08239,1.09138,1.09184,1.09049,1.08796,1.0836,1.08102,1.07927,1.07638,1.07535,1.07598,1.07689,1.07783,5.222
gs_iota,gs_iota,gs_iota.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.0558172,0.0938198,0.0985968,0.122631,0.163089,0.172878,0.210078,0.256554,0.296521,0.351669,0.411831,0.484087,0.549315,0.606416,0.663936,0.720182,0.752365,0.774757,0.80173,0.815004,0.818615,0.826062,0.835143,0.837993,0.843124,0.850423,0.857827,0.865369,0.872739,5.206
gs_kappa,gs_kappa,gs_kappa.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.0411712,0.0668947,0.0907707,0.114603,0.139971,0.168762,0.200774,0.232328,0.267607,0.304994,0.343511,0.384657,0.425912,0.462916,0.501231,0.54111,0.578756,0.612371,0.644543,0.675071,0.704361,0.733846,0.761593,0.786112,0.808949,0.830464,0.849933,0.867571,0.884767,5.227
sh,sh,sh.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.0891938,0.178916,0.258476,0.319726,0.362776,0.395389,0.426142,0.461061,0.504722,0.555916,0.607097,0.6539,0.697023,0.738236,0.777559,0.813587,0.844001,0.865698,0.877093,0.879312,0.874805,0.86568,0.85331,0.838902,0.82382,0.809243,0.795842,0.783868,0.773319,5.202
decay_turb,decay_turb,decay_turb.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.148084,0.240918,0.303972,0.346353,0.378934,0.403801,0.420633,0.4333,0.441249,0.446618,0.45274,0.454662,0.451677,0.44485,0.434982,0.423706,0.412705,0.403862,0.397649,0.393135,0.389909,0.388045,0.386978,0.386883,0.388158,0.390051,0.391755,0.393098,0.393983,5.114
kolm_flow,kolm_flow,kolm_flow.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.088336,0.110913,0.135212,0.168611,0.217732,0.275754,0.32985,0.389117,0.449622,0.504305,0.554634,0.59398,0.626582,0.671635,0.716346,0.765612,0.816303,0.864496,0.912409,0.963401,0.997863,1.02399,1.04351,1.06569,1.09788,1.13992,1.16612,1.18657,1.20413,5.123
macro_avg,,,,,,,,,,,0.0657104,0.130331,0.185632,0.232562,0.271399,0.29998,0.338043,0.385717,0.435516,0.482417,0.517306,0.538691,0.563823,0.593435,0.628679,0.666773,0.694929,0.704109,0.713984,0.730533,0.749711,0.773366,0.795707,0.806996,0.81292,0.825606,0.840205,0.857841,0.877037,
micro_avg,,,,,,,,153,,,0.0657104,0.130331,0.185632,0.232562,0.271399,0.29998,0.338043,0.385717,0.435516,0.482417,0.517306,0.538691,0.563823,0.593435,0.628679,0.666773,0.694929,0.704109,0.713984,0.730533,0.749711,0.773366,0.795707,0.806996,0.81292,0.825606,0.840205,0.857841,0.877037,276.273
