dataset,sim_id,condition,seed,parameter_overrides,numerical_overrides,nRMSE_1,nRMSE_2,nRMSE_3,nRMSE_4,nRMSE_5,nRMSE_6,nRMSE_7,nRMSE_8,nRMSE_9,nRMSE_10,nRMSE_11,nRMSE_12,nRMSE_13,nRMSE_14,nRMSE_15,nRMSE_16,nRMSE_17,nRMSE_18,nRMSE_19,nRMSE_20,nRMSE_21,nRMSE_22,nRMSE_23,nRMSE_24,nRMSE_25,nRMSE_26,nRMSE_27,nRMSE_28,nRMSE_29
diff,0,id,2026072201,"{""Viscosity X"": 0.0275, ""Viscosity Y"": 0.0275}",{},0.021525809541344643,0.0328228622674942,0.04202718660235405,0.051359210163354874,0.06129588186740875,0.07173231244087219,0.08244471251964569,0.09324733912944794,0.10401470214128494,0.11466624587774277,0.1251511573791504,0.1354387402534485,0.1455121636390686,0.1553650200366974,0.1649983525276184,0.17441821098327637,0.183634415268898,0.1926586776971817,0.20150384306907654,0.2101828008890152,0.21870803833007812,0.22709141671657562,0.2353440374135971,0.2434760481119156,0.2514966130256653,0.2594139873981476,0.2672353982925415,0.2749671936035156,0.2826148569583893
diff,1,id,2026072202,"{""Viscosity X"": 0.0275, ""Viscosity Y"": 0.0275}",{},0.06209707260131836,0.1277519315481186,0.15319594740867615,0.15132467448711395,0.14447501301765442,0.14170047640800476,0.14414894580841064,0.15033923089504242,0.15850724279880524,0.16737499833106995,0.1762029379606247,0.18463905155658722,0.1925673931837082,0.20000092685222626,0.20701336860656738,0.21370011568069458,0.22015661001205444,0.2264677733182907,0.232704296708107,0.2389220893383026,0.24516364932060242,0.2514597773551941,0.2578321099281311,0.26429471373558044,0.27085578441619873,0.2775191068649292,0.28428515791893005,0.2911519408226013,0.29811540246009827
diff,2,id,2026072203,"{""Viscosity X"": 0.0275, ""Viscosity Y"": 0.0275}",{},0.019562263041734695,0.03760264441370964,0.054519105702638626,0.07045847177505493,0.08554522693157196,0.09988239407539368,0.11355527490377426,0.1266343742609024,0.13917824625968933,0.15123645961284637,0.1628519743680954,0.17406302690505981,0.18490365147590637,0.19540442526340485,0.20559261739253998,0.21549248695373535,0.2251255065202713,0.2345108687877655,0.24366553127765656,0.2526046633720398,0.2613416314125061,0.26988837122917175,0.2782554030418396,0.28645214438438416,0.29448673129081726,0.3023667335510254,0.3100990653038025,0.3176901936531067,0.3251461088657379
diff,3,ood_low,2026072201,"{""Viscosity X"": 0.00475, ""Viscosity Y"": 0.00475}",{},0.08078628033399582,0.14977632462978363,0.1931052953004837,0.22268088161945343,0.24632765352725983,0.267184317111969,0.2864662706851959,0.30465003848075867,0.3219359219074249,0.3384253680706024,0.3541843891143799,0.3692649006843567,0.38371211290359497,0.3975670635700226,0.4108678996562958,0.42365044355392456,0.4359484612941742,0.4477940499782562,0.45921745896339417,0.47024720907211304,0.4809098541736603,0.49123018980026245,0.5012310147285461,0.5109333992004395,0.5203567743301392,0.5295187830924988,0.5384358167648315,0.5471227169036865,0.5555930137634277
diff,4,ood_low,2026072202,"{""Viscosity X"": 0.00475, ""Viscosity Y"": 0.00475}",{},0.22459854185581207,0.4446205794811249,0.5854184627532959,0.6583943367004395,0.6917779445648193,0.7067042589187622,0.7134018540382385,0.7162755131721497,0.717356264591217,0.717657208442688,0.7177093029022217,0.7177971601486206,0.7180718183517456,0.7186097502708435,0.7194448113441467,0.7205862402915955,0.7220292091369629,0.7237609028816223,0.7257636189460754,0.7280176281929016,0.7305018305778503,0.7331950664520264,0.7360761165618896,0.739124596118927,0.7423208355903625,0.7456459999084473,0.749082624912262,0.7526138424873352,0.7562244534492493
diff,5,ood_low,2026072203,"{""Viscosity X"": 0.00475, ""Viscosity Y"": 0.00475}",{},0.04553721100091934,0.08711428195238113,0.12534713745117188,0.160649374127388,0.1933712661266327,0.2238086313009262,0.2522120475769043,0.2787943482398987,0.3037368059158325,0.32719510793685913,0.34930458664894104,0.3701843023300171,0.3899398148059845,0.4086654782295227,0.42644527554512024,0.44335466623306274,0.45946112275123596,0.47482529282569885,0.4895019233226776,0.5035403966903687,0.5169852375984192,0.5298771262168884,0.5422526597976685,0.5541452765464783,0.5655852556228638,0.5766001343727112,0.5872153043746948,0.5974540114402771,0.6073377728462219
diff,6,ood_high,2026072201,"{""Viscosity X"": 0.0525, ""Viscosity Y"": 0.0525}",{},0.038750458508729935,0.056810930371284485,0.06718695908784866,0.07342053204774857,0.07716775685548782,0.07938195765018463,0.08064612746238708,0.08132641017436981,0.08165621757507324,0.08178433775901794,0.0818040519952774,0.08177195489406586,0.08172117918729782,0.08167000859975815,0.08162795752286911,0.0815993994474411,0.08158590644598007,0.0815875306725502,0.08160383254289627,0.0816345065832138,0.08167969435453415,0.08173990994691849,0.08181598782539368,0.08190888166427612,0.08201974630355835,0.08214974403381348,0.08230002224445343,0.08247161656618118,0.08266551792621613
diff,7,ood_high,2026072202,"{""Viscosity X"": 0.0525, ""Viscosity Y"": 0.0525}",{},0.0831928476691246,0.10808459669351578,0.1383235901594162,0.16953890025615692,0.19631852209568024,0.21789737045764923,0.23474551737308502,0.24750488996505737,0.2567862868309021,0.26315099000930786,0.26711639761924744,0.2691569924354553,0.26969918608665466,0.2691146433353424,0.2677161991596222,0.2657570540904999,0.2634343206882477,0.2608947157859802,0.25824254751205444,0.2555481195449829,0.25285568833351135,0.25019076466560364,0.24756595492362976,0.24498631060123444,0.2424527406692505,0.2399647831916809,0.2375226616859436,0.23512837290763855,0.23278672993183136
diff,8,ood_high,2026072203,"{""Viscosity X"": 0.0525, ""Viscosity Y"": 0.0525}",{},0.012052614241838455,0.022125273942947388,0.030820799991488457,0.038427773863077164,0.045165326446294785,0.051202185451984406,0.05667256563901901,0.06168590486049652,0.06633161008358002,0.07068176567554474,0.07479318231344223,0.07870999723672867,0.08246585726737976,0.08608604222536087,0.0895894467830658,0.09299013763666153,0.09629841148853302,0.09952195733785629,0.1026664599776268,0.10573611408472061,0.10873400419950485,0.11166262626647949,0.11452408134937286,0.11732009798288345,0.12005233764648438,0.12272215634584427,0.1253306269645691,0.12787863612174988,0.13036693632602692
hyp,0,id,2026072201,"{""Hyper-Diffusivity"": 0.000275}",{},0.06829097121953964,0.10519909858703613,0.13049273192882538,0.1502765566110611,0.16722224652767181,0.18279731273651123,0.19788594543933868,0.21302802860736847,0.22855356335639954,0.24467529356479645,0.2615543305873871,0.2793441414833069,0.2982156574726105,0.3183663487434387,0.340024471282959,0.3634433448314667,0.38888370990753174,0.4165894687175751,0.4467644691467285,0.47955766320228577,0.515058159828186,0.5532985925674438,0.5942617058753967,0.6378856301307678,0.6840667128562927,0.7326608300209045,0.7834911942481995,0.8363550305366516,0.8910223245620728
