model,epoch,train_loss,val_loss,elapsed_minutes
G-L (Global Linear TTT),3,0.0179592,0.0152967,24.5
G-L (Global Linear TTT),4,0.0138805,0.0120619,24.5
G-L (Global Linear TTT),5,0.0117811,0.0116087,24.5
G-L (Global Linear TTT),6,0.0100892,0.00930704,24.5
G-L (Global Linear TTT),7,0.00902681,0.00899761,24.5
G-L (Global Linear TTT),8,0.00843079,0.00798023,24.5
G-L (Global Linear TTT),9,0.00768511,0.0071387,24.5
G-L (Global Linear TTT),10,0.00692827,0.00634532,24.5
G-L (Global Linear TTT),11,0.00673662,0.00592767,24.5
G-L (Global Linear TTT),12,0.00605995,0.00587067,24.5
G-L (Global Linear TTT),13,0.00555139,0.00544009,24.5
G-L (Global Linear TTT),14,0.00546587,0.0050607,24.5
G-L (Global Linear TTT),15,0.00496418,0.00608734,24.5
G-L (Global Linear TTT),16,0.00463742,0.00467349,24.5
G-L (Global Linear TTT),17,0.00443159,0.00454385,24.5
G-L (Global Linear TTT),18,0.00415648,0.00406784,24.5
G-L (Global Linear TTT),19,0.00385261,0.00425576,24.5
G-L (Global Linear TTT),20,0.00372407,0.00350775,24.5
G-L (Global Linear TTT),21,0.00368002,0.00358957,24.5
G-L (Global Linear TTT),22,0.00339929,0.0033154,24.5
G-L (Global Linear TTT),23,0.00391037,0.00341718,24.5
G-L (Global Linear TTT),24,0.00317243,0.00484595,24.5
G-L (Global Linear TTT),25,0.00333858,0.00293291,24.5
G-L (Global Linear TTT),26,0.0030807,0.00278798,24.5
G-L (Global Linear TTT),27,0.00273852,0.00279262,24.5
G-L (Global Linear TTT),28,0.00301366,0.00344413,24.5
G-L (Global Linear TTT),29,0.00267795,0.00259722,24.5
G-L (Global Linear TTT),30,0.00257279,0.00254223,24.5
G-L (Global Linear TTT),31,0.00254047,0.00234508,24.5
G-L (Global Linear TTT),32,0.00238817,0.00254032,24.5
G-L (Global Linear TTT),33,0.00244656,0.00280304,24.5
G-L (Global Linear TTT),34,0.00225351,0.00238441,24.5
G-L (Global Linear TTT),35,0.00216195,0.00210879,24.5
G-L (Global Linear TTT),36,0.00229627,0.00204337,24.5
G-L (Global Linear TTT),37,0.00222035,0.00202716,24.5
G-L (Global Linear TTT),38,0.0023957,0.00213149,24.5
G-L (Global Linear TTT),39,0.00226244,0.00213587,24.5
G-L (Global Linear TTT),40,0.00222117,0.00204968,24.5
G-L (Global Linear TTT),41,0.00221839,0.00188966,24.5
G-L (Global Linear TTT),42,0.00192511,0.00196922,24.5
G-L (Global Linear TTT),43,0.00179758,0.00197098,24.5
G-L (Global Linear TTT),44,0.0018675,0.00177575,24.5
G-L (Global Linear TTT),45,0.00177097,0.00188748,24.5
G-L (Global Linear TTT),46,0.00173297,0.00167398,24.5
G-L (Global Linear TTT),47,0.00172979,0.00179285,24.5
G-L (Global Linear TTT),48,0.00165075,0.00163882,24.5
G-L (Global Linear TTT),49,0.00161652,0.00195476,24.5
G-L (Global Linear TTT),50,0.00154087,0.00197486,24.5
G-L (Global Linear TTT),51,0.00155227,0.00171523,24.5
G-L (Global Linear TTT),52,0.00171287,0.00168099,24.5
G-L (Global Linear TTT),53,0.00141819,0.00141048,24.5
G-L (Global Linear TTT),54,0.00142857,0.00145025,24.5
G-L (Global Linear TTT),55,0.0014744,0.00140777,24.5
G-L (Global Linear TTT),56,0.00133479,0.00140388,24.5
G-L (Global Linear TTT),57,0.00151283,0.00187079,24.5
G-L (Global Linear TTT),58,0.00139768,0.00138515,24.5
G-L (Global Linear TTT),59,0.00137692,0.00163133,24.5
G-L (Global Linear TTT),60,0.00132486,0.00145188,24.5
G-L (Global Linear TTT),61,0.00131332,0.00137164,24.5
G-L (Global Linear TTT),62,0.00124025,0.00136684,24.5
G-L (Global Linear TTT),63,0.00126801,0.00147075,24.5
G-L (Global Linear TTT),64,0.00130035,0.00153185,24.5
G-L (Global Linear TTT),65,0.00118911,0.00122322,24.5
G-L (Global Linear TTT),66,0.00156537,0.00136826,24.5
G-L (Global Linear TTT),67,0.00119453,0.00135251,24.5
G-L (Global Linear TTT),68,0.00112901,0.00111117,24.5
G-L (Global Linear TTT),69,0.0014679,0.00686171,24.5
G-L (Global Linear TTT),70,0.00135918,0.00111041,24.5
G-L (Global Linear TTT),71,0.00129174,0.00193041,24.5
G-L (Global Linear TTT),72,0.00115191,0.00135848,24.5
G-L (Global Linear TTT),73,0.00121113,0.00111193,24.5
G-L (Global Linear TTT),74,0.00116421,0.00103978,24.5
G-L (Global Linear TTT),75,0.00110875,0.00104824,24.5
G-L (Global Linear TTT),76,0.00100959,0.00113799,24.5
G-L (Global Linear TTT),77,0.00101582,0.00119889,24.5
G-L (Global Linear TTT),78,0.0010444,0.00107718,24.5
G-L (Global Linear TTT),79,0.00097128,0.00105437,24.5
G-L (Global Linear TTT),80,0.000972519,0.00128986,24.5
G-L (Global Linear TTT),81,0.00115246,0.000997715,24.5
G-L (Global Linear TTT),82,0.00141795,0.00108919,24.6
G-L (Global Linear TTT),83,0.000941656,0.000958935,24.6
G-L (Global Linear TTT),84,0.0011755,0.00096345,24.6
G-L (Global Linear TTT),85,0.000912344,0.00110085,24.6
G-L (Global Linear TTT),86,0.0009192,0.000994577,24.6
G-L (Global Linear TTT),87,0.000888362,0.000959974,24.6
G-L (Global Linear TTT),88,0.000924079,0.00087635,24.6
G-L (Global Linear TTT),89,0.000878089,0.000932038,24.6
G-L (Global Linear TTT),90,0.00088612,0.00121997,24.6
G-L (Global Linear TTT),91,0.000856477,0.000936941,24.6
G-L (Global Linear TTT),92,0.00084589,0.00106918,24.6
G-L (Global Linear TTT),93,0.00083448,0.000890081,24.6
G-L (Global Linear TTT),94,0.000847761,0.000933586,24.6
G-L (Global Linear TTT),95,0.000817443,0.000775277,24.6
G-L (Global Linear TTT),96,0.0008305,0.000833226,24.5
G-L (Global Linear TTT),97,0.000780562,0.00100271,24.5
G-L (Global Linear TTT),98,0.000849825,0.00103247,24.5
G-L (Global Linear TTT),99,0.000814731,0.000845613,24.5
G-L (Global Linear TTT),100,0.000754219,0.000891279,24.5
