dataset,sim_id,condition,seed,parameter_overrides,numerical_overrides,nRMSE_1,nRMSE_2,nRMSE_3,nRMSE_4,nRMSE_5,nRMSE_6,nRMSE_7,nRMSE_8,nRMSE_9,nRMSE_10,nRMSE_11,nRMSE_12,nRMSE_13,nRMSE_14,nRMSE_15,nRMSE_16,nRMSE_17,nRMSE_18,nRMSE_19,nRMSE_20,nRMSE_21,nRMSE_22,nRMSE_23,nRMSE_24,nRMSE_25,nRMSE_26,nRMSE_27,nRMSE_28,nRMSE_29
diff,0,id,2026072201,"{""Viscosity X"": 0.0275, ""Viscosity Y"": 0.0275}",{},0.01563885249197483,0.022999968379735947,0.029728438705205917,0.035799697041511536,0.041022658348083496,0.04538287967443466,0.04893791675567627,0.05176659673452377,0.05395744368433952,0.055607713758945465,0.05682070180773735,0.05770110338926315,0.05834604799747467,0.05883926898241043,0.059249550104141235,0.05963030084967613,0.060021497309207916,0.06045159325003624,0.0609397329390049,0.061497412621974945,0.06213024631142616,0.06283929198980331,0.06362224370241165,0.06447445601224899,0.06538967788219452,0.06636080890893936,0.06738024204969406,0.06844034790992737,0.06953370571136475
diff,1,id,2026072202,"{""Viscosity X"": 0.0275, ""Viscosity Y"": 0.0275}",{},0.05868538096547127,0.08820866793394089,0.0836147591471672,0.07548908144235611,0.07789313048124313,0.08828837424516678,0.10088114440441132,0.11261007189750671,0.12242685258388519,0.13013340532779694,0.13582457602024078,0.1396908462047577,0.14196160435676575,0.14288826286792755,0.14273254573345184,0.14174440503120422,0.14014634490013123,0.1381305307149887,0.13585586845874786,0.13344819843769073,0.13100413978099823,0.12859590351581573,0.1262754201889038,0.1240789070725441,0.1220308318734169,0.1201467514038086,0.11843585968017578,0.11690260469913483,0.11554793268442154
diff,2,id,2026072203,"{""Viscosity X"": 0.0275, ""Viscosity Y"": 0.0275}",{},0.00718692084774375,0.013764124363660812,0.019966017454862595,0.025747105479240417,0.031075546517968178,0.035932015627622604,0.04030831530690193,0.044204629957675934,0.04762760549783707,0.050588514655828476,0.0531017929315567,0.05518427863717079,0.05685436725616455,0.058131758123636246,0.05903729051351547,0.059592749923467636,0.05982113257050514,0.05974686145782471,0.05939553678035736,0.058794356882572174,0.0579720064997673,0.0569588802754879,0.055787067860364914,0.05449036881327629,0.05310431495308876,0.05166594311594963,0.050213783979415894,0.0487874411046505,0.047427259385585785
diff,3,ood_low,2026072201,"{""Viscosity X"": 0.00475, ""Viscosity Y"": 0.00475}",{},0.0624966099858284,0.11018069088459015,0.14419962465763092,0.1700529158115387,0.19029571115970612,0.20705337822437286,0.22169476747512817,0.23498904705047607,0.24736037850379944,0.259049654006958,0.27019593119621277,0.2808759808540344,0.2911277413368225,0.30097129940986633,0.31042617559432983,0.3195161819458008,0.3282661437988281,0.3366999924182892,0.34484314918518066,0.3527185916900635,0.3603466749191284,0.3677460849285126,0.3749336004257202,0.38192400336265564,0.38873031735420227,0.39536407589912415,0.40183520317077637,0.40815266966819763,0.4143243432044983
diff,4,ood_low,2026072202,"{""Viscosity X"": 0.00475, ""Viscosity Y"": 0.00475}",{},0.25827035307884216,0.4690144658088684,0.5762040615081787,0.622711181640625,0.6432769298553467,0.6527038216590881,0.6569170355796814,0.658627986907959,0.6592167615890503,0.6594328284263611,0.6596836447715759,0.6601667404174805,0.6609548926353455,0.6620606780052185,0.6634491682052612,0.6650628447532654,0.6668441891670227,0.6687448620796204,0.6707285642623901,0.6727712750434875,0.6748578548431396,0.6769795417785645,0.679131269454956,0.6813101768493652,0.683514416217804,0.6857425570487976,0.6879929304122925,0.6902639269828796,0.6925536394119263
diff,5,ood_low,2026072203,"{""Viscosity X"": 0.00475, ""Viscosity Y"": 0.00475}",{},0.020830202847719193,0.040334444493055344,0.05877428874373436,0.07633577287197113,0.0931706577539444,0.10939688235521317,0.12510493397712708,0.14036479592323303,0.15523114800453186,0.16974717378616333,0.18394747376441956,0.19785994291305542,0.21150705218315125,0.22490721940994263,0.23807545006275177,0.2510240077972412,0.26376256346702576,0.276298850774765,0.2886386215686798,0.3007858097553253,0.3127428889274597,0.3245110511779785,0.3360901474952698,0.3474792242050171,0.3586764931678772,0.36967968940734863,0.38048651814460754,0.3910943567752838,0.40150076150894165
diff,6,ood_high,2026072201,"{""Viscosity X"": 0.0525, ""Viscosity Y"": 0.0525}",{},0.046793147921562195,0.075155109167099,0.09704112261533737,0.11531218886375427,0.1311517059803009,0.14521174132823944,0.15791144967079163,0.16954077780246735,0.1803174614906311,0.19040805101394653,0.19993948936462402,0.20901420712471008,0.217713862657547,0.22610552608966827,0.2342456579208374,0.2421836256980896,0.2499632090330124,0.25762417912483215,0.2652025818824768,0.27273157238960266,0.28024160861968994,0.28776058554649353,0.29531392455101013,0.30292487144470215,0.31061431765556335,0.318401038646698,0.3263019323348999,0.3343321681022644,0.3425051271915436
diff,7,ood_high,2026072202,"{""Viscosity X"": 0.0525, ""Viscosity Y"": 0.0525}",{},0.11264090985059738,0.1786501556634903,0.23487381637096405,0.280735582113266,0.31700700521469116,0.34540146589279175,0.36748436093330383,0.38450512290000916,0.39747947454452515,0.4072633683681488,0.4145752787590027,0.4200674295425415,0.42435041069984436,0.42794543504714966,0.43126180768013,0.4345940053462982,0.4381290376186371,0.44196733832359314,0.44614705443382263,0.450665682554245,0.455495148897171,0.46059438586235046,0.4659189283847809,0.47142493724823,0.4770734906196594,0.48283153772354126,0.48867207765579224,0.4945746660232544,0.5005241632461548
diff,8,ood_high,2026072203,"{""Viscosity X"": 0.0525, ""Viscosity Y"": 0.0525}",{},0.03362518548965454,0.06501321494579315,0.0945156067609787,0.12232965230941772,0.14861413836479187,0.17350482940673828,0.197121724486351,0.2195723056793213,0.24095381796360016,0.2613544762134552,0.28085407614707947,0.29952487349510193,0.3174324929714203,0.3346364200115204,0.3511909246444702,0.36714616417884827,0.38254812359809875,0.3974398970603943,0.41186198592185974,0.4258527159690857,0.43944862484931946,0.4526849687099457,0.4655953347682953,0.478211909532547,0.49056604504585266,0.5026875138282776,0.5146052241325378,0.526346743106842,0.5379384756088257
hyp,0,id,2026072201,"{""Hyper-Diffusivity"": 0.000275}",{},0.0752657949924469,0.11948544532060623,0.15139080584049225,0.17664091289043427,0.1976892501115799,0.21589769423007965,0.23211778700351715,0.24690450727939606,0.26062485575675964,0.2735247015953064,0.28577277064323425,0.2974894940853119,0.3087656795978546,0.31967443227767944,0.33027851581573486,0.34063470363616943,0.3507966101169586,0.3608161211013794,0.3707442581653595,0.3806315064430237,0.3905283510684967,0.400485098361969,0.41055184602737427,0.42077887058258057,0.43121612071990967,0.44191381335258484,0.4529218375682831,0.4642900824546814,0.4760684669017792
hyp,1,id,2026072202,"{""Hyper-Diffusivity"": 0.000275}",{},0.21157419681549072,0.320100873708725,0.38904643058776855,0.43744632601737976,0.47313258051872253,0.5003128051757812,0.5216623544692993,0.5390087366104126,0.5536283850669861,0.5664166212081909,0.578000009059906,0.58881676197052,0.5991755723953247,0.6092981696128845,0.6193510293960571,0.6294671893119812,0.6397624611854553,0.6503466367721558,0.6613311767578125,0.6728357672691345,0.6849915981292725,0.6979451775550842,0.711859941482544,0.7269163131713867,0.7433142066001892,0.7612752318382263,0.7810457348823547,0.8028990626335144,0.8271398544311523
hyp,2,id,2026072203,"{""Hyper-Diffusivity"": 0.000275}",{},0.045361146330833435,0.0832880511879921,0.11659899353981018,0.1468375027179718,0.17495562136173248,0.20155426859855652,0.2270197868347168,0.25160878896713257,0.2755012810230255,0.29883357882499695,0.32171809673309326,0.34425458312034607,0.3665362596511841,0.3886529207229614,0.41069239377975464,0.4327410161495209,0.4548836648464203,0.4772036373615265,0.49978208541870117,0.5226967930793762,0.5460209846496582,0.5698219537734985,0.5941596031188965,0.6190846562385559,0.6446369886398315,0.6708447337150574,0.6977229714393616,0.7252740263938904,0.7534881234169006
hyp,3,ood_low,2026072201,"{""Hyper-Diffusivity"": 4.75e-05}",{},0.05384797602891922,0.0822155624628067,0.10076121240854263,0.11462441831827164,0.12605109810829163,0.13615553081035614,0.14552591741085052,0.15448307991027832,0.16320587694644928,0.17179609835147858,0.18031315505504608,0.18879295885562897,0.19725832343101501,0.20572499930858612,0.21420514583587646,0.2227092683315277,0.2312477082014084,0.23983140289783478,0.24847230315208435,0.2571839392185211,0.2659814655780792,0.2748818099498749,0.28390365839004517,0.29306772351264954,0.30239638686180115,0.3119139075279236,0.32164618372917175,0.3316206932067871,0.3418666124343872
hyp,4,ood_low,2026072202,"{""Hyper-Diffusivity"": 4.75e-05}",{},0.21411477029323578,0.3054487407207489,0.3490641713142395,0.3715836703777313,0.3846721053123474,0.39389416575431824,0.40192970633506775,0.40998375415802,0.41850295662879944,0.4275689125061035,0.43711307644844055,0.44702616333961487,0.4572089612483978,0.46759164333343506,0.4781370460987091,0.48883703351020813,0.499706506729126,0.51077800989151,0.5220960378646851,0.5337145924568176,0.5456947088241577,0.5581045150756836,0.5710195302963257,0.5845245122909546,0.5987139344215393,0.6136941909790039,0.6295857429504395,0.6465266942977905,0.6646751165390015
