dataset,condition,count,nRMSE_1,nRMSE_2,nRMSE_3,nRMSE_4,nRMSE_5,nRMSE_6,nRMSE_7,nRMSE_8,nRMSE_9,nRMSE_10,nRMSE_11,nRMSE_12,nRMSE_13,nRMSE_14,nRMSE_15,nRMSE_16,nRMSE_17,nRMSE_18,nRMSE_19,nRMSE_20,nRMSE_21,nRMSE_22,nRMSE_23,nRMSE_24,nRMSE_25,nRMSE_26,nRMSE_27,nRMSE_28,nRMSE_29
decay_turb,ood_high,3,0.115248,0.186454,0.231627,0.255629,0.272828,0.284058,0.291075,0.298244,0.302362,0.304859,0.308227,0.307538,0.302226,0.294852,0.286202,0.277282,0.269296,0.263376,0.259221,0.256057,0.253837,0.252861,0.253353,0.255023,0.257098,0.258707,0.259345,0.259027,0.258056
kolm_flow,id,3,0.0718777,0.0811341,0.0907071,0.104822,0.129561,0.168895,0.21929,0.278601,0.353183,0.422652,0.474401,0.496803,0.52683,0.56971,0.623395,0.673813,0.726891,0.781522,0.819628,0.864281,0.911251,0.9611,1.00449,1.05147,1.08913,1.10169,1.12217,1.14812,1.15909
kolm_flow,ood_low,3,0.144372,0.168384,0.194637,0.216398,0.244198,0.275285,0.299307,0.326154,0.355685,0.403755,0.461516,0.511209,0.566761,0.628607,0.658067,0.678608,0.716666,0.777315,0.833173,0.904544,0.975004,1.01749,1.02852,1.03951,1.06528,1.11333,1.13126,1.14912,1.17468
kolm_flow,ood_high,3,0.0496849,0.062271,0.0729209,0.0854551,0.0994151,0.118649,0.145859,0.179323,0.216726,0.258985,0.293562,0.315573,0.342683,0.378324,0.426425,0.461971,0.491851,0.534522,0.585475,0.633876,0.677026,0.726841,0.773013,0.828098,0.893675,0.943585,0.982141,1.03427,1.06309
macro_avg,id,51,0.049656,0.0833445,0.125169,0.172654,0.215635,0.248269,0.272175,0.307578,0.351708,0.390486,0.423715,0.448299,0.474344,0.496209,0.522382,0.552823,0.573841,0.590243,0.606537,0.617426,0.630523,0.64608,0.659166,0.67058,0.67863,0.691378,0.706326,0.716941,0.725529
micro_avg,id,51,0.049656,0.0833445,0.125169,0.172654,0.215635,0.248269,0.272175,0.307578,0.351708,0.390486,0.423715,0.448299,0.474344,0.496209,0.522382,0.552823,0.573841,0.590243,0.606537,0.617426,0.630523,0.64608,0.659166,0.67058,0.67863,0.691378,0.706326,0.716941,0.725529
macro_avg,ood_low,51,0.0760345,0.130847,0.186141,0.24087,0.287426,0.32351,0.358218,0.395008,0.430234,0.46775,0.50908,0.539518,0.563708,0.591112,0.614241,0.638443,0.664478,0.682297,0.697983,0.716928,0.732779,0.747849,0.765578,0.777648,0.788401,0.80336,0.812529,0.823149,0.836438
micro_avg,ood_low,51,0.0760345,0.130847,0.186141,0.24087,0.287426,0.32351,0.358218,0.395008,0.430234,0.46775,0.50908,0.539518,0.563708,0.591112,0.614241,0.638443,0.664478,0.682297,0.697983,0.716928,0.732779,0.747849,0.765578,0.777648,0.788401,0.80336,0.812529,0.823149,0.836438
macro_avg,ood_high,51,0.070622,0.158295,0.216534,0.260296,0.314768,0.368224,0.414104,0.444371,0.467755,0.508924,0.543454,0.568744,0.590011,0.605526,0.631745,0.663808,0.684121,0.692261,0.702348,0.718344,0.737058,0.754234,0.760365,0.766427,0.783297,0.804518,0.818759,0.824249,0.828347
micro_avg,ood_high,51,0.070622,0.158295,0.216534,0.260296,0.314768,0.368224,0.414104,0.444371,0.467755,0.508924,0.543454,0.568744,0.590011,0.605526,0.631745,0.663808,0.684121,0.692261,0.702348,0.718344,0.737058,0.754234,0.760365,0.766427,0.783297,0.804518,0.818759,0.824249,0.828347
