epoch,loss_epoch,loss_step,step,val/loss_epoch,val/loss_step
0,,0.5680294632911682,9,,
0,,0.5185772180557251,19,,
0,,0.3154589533805847,29,,
0,,0.2279348522424698,39,,
0,,0.24186357855796814,49,,
0,,0.2584248483181,59,,
0,,0.15218520164489746,69,,
0,,0.16287700831890106,79,,
,,,0,,0.01870086044073105
,,,1,,0.02316621132194996
,,,2,,0.011320093646645546
,,,3,,0.016533877700567245
,,,4,,0.053201280534267426
,,,5,,0.013882143422961235
,,,6,,0.008350491523742676
,,,7,,0.01119451317936182
,,,8,,0.0273740254342556
,,,9,,0.011577249504625797
,,,10,,0.014564619399607182
,,,11,,0.011098519898951054
,,,12,,0.014516825787723064
,,,13,,0.010012172162532806
,,,14,,0.013604732230305672
,,,15,,0.012881016358733177
,,,16,,0.02996092475950718
,,,17,,0.046250782907009125
,,,18,,0.030582860112190247
,,,19,,0.014193111099302769
,,,20,,0.009276434779167175
,,,21,,0.030953217297792435
,,,22,,0.01595359295606613
,,,23,,0.01370222307741642
,,,24,,0.019650094211101532
,,,25,,0.03267425298690796
,,,26,,0.02640817128121853
,,,27,,0.06954585015773773
,,,28,,0.10797540098428726
,,,29,,0.09832324087619781
,,,30,,0.09671953320503235
,,,31,,0.10620075464248657
,,,32,,0.0901573896408081
,,,33,,0.20020274817943573
,,,34,,0.1198490783572197
,,,35,,0.08917447924613953
,,,36,,0.08919111639261246
,,,37,,0.07718968391418457
,,,38,,0.07475029677152634
,,,39,,0.09339010715484619
,,,40,,0.078483946621418
,,,41,,0.10567759722471237
,,,42,,0.13906830549240112
,,,43,,0.13508275151252747
,,,44,,0.08665300905704498
,,,45,,0.17076686024665833
,,,46,,0.13818013668060303
,,,47,,0.0874529480934143
,,,48,,0.131916344165802
,,,49,,0.06691047549247742
,,,50,,0.07264862954616547
,,,51,,0.08929494023323059
,,,52,,0.06272712349891663
,,,53,,0.0868585854768753
,,,54,,0.09516210108995438
,,,55,,0.12156735360622406
,,,56,,0.13988059759140015
,,,57,,0.08297048509120941
,,,58,,0.1300537884235382
,,,59,,0.06908825039863586
,,,60,,0.10234327614307404
,,,61,,0.07714486122131348
,,,62,,0.07214184105396271
,,,63,,0.10659556090831757
,,,64,,0.0788356363773346
,,,65,,0.038220975548028946
,,,66,,0.06554147601127625
,,,67,,0.14334774017333984
,,,68,,0.0934571847319603
,,,69,,0.03331419453024864
,,,70,,0.062675341963768
,,,71,,0.02143424190580845
,,,72,,0.02759624272584915
,,,73,,0.014330475591123104
,,,74,,0.020548861473798752
,,,75,,0.02406543493270874
,,,76,,0.01969742961227894
,,,77,,0.016575608402490616
,,,78,,0.016909681260585785
,,,79,,0.01290810015052557
,,,80,,0.0345400907099247
,,,81,,0.02220051921904087
,,,82,,0.012551805935800076
,,,83,,0.01797615736722946
,,,84,,0.22899611294269562
,,,85,,0.2775258421897888
,,,86,,0.3411911725997925
,,,87,,0.783543586730957
,,,88,,0.672644317150116
,,,89,,0.4778260588645935
,,,90,,0.49330756068229675
,,,91,,0.4797694683074951
,,,92,,0.27635711431503296
,,,93,,0.2493613362312317
,,,94,,0.2654730975627899
,,,95,,0.2241097390651703
,,,96,,0.22929108142852783
,,,97,,0.233973890542984
,,,98,,0.23923754692077637
,,,99,,0.2282855212688446
,,,100,,0.2363623082637787
,,,101,,0.24506577849388123
,,,102,,0.2574310600757599
,,,103,,0.20611414313316345
,,,104,,0.2645185589790344
,,,105,,0.2358841449022293
,,,106,,0.25792503356933594
,,,107,,0.23900705575942993
,,,108,,0.22552165389060974
,,,109,,0.2579794228076935
,,,110,,0.24320542812347412
,,,111,,0.20807833969593048
,,,112,,0.24356606602668762
,,,113,,0.24407532811164856
,,,114,,0.3618399500846863
,,,115,,0.3662983775138855
,,,116,,0.27629491686820984
,,,117,,0.18662910163402557
,,,118,,0.20114421844482422
,,,119,,0.20620575547218323
,,,120,,0.17866842448711395
,,,121,,0.19162771105766296
,,,122,,0.19638723134994507
,,,123,,0.19100823998451233
,,,124,,0.2007831335067749
,,,125,,0.20738719403743744
,,,126,,0.17202714085578918
,,,127,,0.19469194114208221
,,,128,,0.19861692190170288
,,,129,,0.2105255275964737
,,,130,,0.19243407249450684
,,,131,,0.20228631794452667
,,,132,,0.21325907111167908
,,,133,,0.2152889221906662
,,,134,,0.21345515549182892
,,,135,,0.19976231455802917
,,,136,,0.19986554980278015
,,,137,,0.20017114281654358
,,,138,,0.1822291612625122
,,,139,,0.19030246138572693
,,,140,,0.1855589747428894
,,,141,,0.17183949053287506
,,,142,,0.17812217772006989
,,,143,,0.1769433468580246
,,,144,,0.16548976302146912
,,,145,,0.1893552541732788
,,,146,,0.17281368374824524
,,,147,,0.19053754210472107
,,,148,,0.1624474823474884
,,,149,,0.16978104412555695
,,,150,,0.17576028406620026
,,,151,,0.18891370296478271
,,,152,,0.1854512095451355
,,,153,,0.1856144368648529
,,,154,,0.18268734216690063
,,,155,,0.1764993518590927
,,,156,,0.18519416451454163
,,,157,,0.17497095465660095
,,,158,,0.1803560107946396
