model_seed,split,condition,pde,nRMSE_1,nRMSE_2,nRMSE_3,nRMSE_4,nRMSE_5,nRMSE_6,nRMSE_7,nRMSE_8,nRMSE_9,nRMSE_10,nRMSE_11,nRMSE_12,nRMSE_13,nRMSE_14,nRMSE_15,nRMSE_16,nRMSE_17,nRMSE_18,nRMSE_19,nRMSE_20,nRMSE_21,nRMSE_22,nRMSE_23,nRMSE_24,nRMSE_25,nRMSE_26,nRMSE_27,nRMSE_28,nRMSE_29
42,full_test,all,diff,0.03570719122886658,0.060376080572605136,0.07965604245662689,0.09538587003946304,0.1090012577176094,0.1212897390127182,0.1326460126042366,0.14326372921466826,0.15324573814868928,0.16266178011894225,0.17157411336898803,0.18004375338554382,0.1881288331747055,0.1958812391757965,0.20334437012672424,0.2105522620677948,0.21753074049949647,0.22430039525032044,0.23088007748126985,0.2372896432876587,0.24355135679244996,0.2496901571750641,0.2557330858707428,0.26170809984207155,0.26764270424842834,0.27356260061264037,0.2794905149936676,0.2854451012611389,0.2914403212070465
42,full_test,all,burgers,0.024440519362688064,0.032757462114095685,0.04158140167593956,0.05097995162010193,0.06072891607880592,0.07067645996809006,0.08073956608772277,0.09090755134820938,0.1011416581273079,0.11154361575841903,0.12212834477424622,0.1329399973154068,0.14405374586582184,0.15547801613807677,0.16730625092983245,0.17949107229709627,0.19207709550857544,0.20517608880996704,0.21869558215141296,0.23261038839817047,0.24685569405555724,0.26138036251068114,0.27603360652923586,0.2905918192863464,0.30491976380348207,0.3190957188606262,0.3332170820236206,0.3475000190734863,0.36195833683013917
42,full_test,all,kdv,0.05163221292197704,0.07851914510130882,0.10179418429732323,0.12320796430110931,0.14337497264146803,0.16262206703424453,0.18126390874385834,0.19946595311164855,0.2172333639860153,0.23464405179023742,0.25177175521850587,0.2687373787164688,0.28567574501037596,0.302758269906044,0.32010483503341675,0.33775638580322265,0.3557736897468567,0.37419886589050294,0.3929419922828674,0.4118360996246338,0.43064717173576356,0.44908827543258667,0.4669323670864105,0.4840903496742249,0.5005659914016723,0.5164276146888733,0.5317779183387756,0.5467533075809479,0.5615313076972961
42,full_test,all,ks,0.017981142848730088,0.03331279903650284,0.05141269266605377,0.07270505011081696,0.0973784351348877,0.1263236880302429,0.15838725090026856,0.19429458618164064,0.23341066181659698,0.27587322473526,0.32218949556350707,0.3713475239276886,0.4229498815536499,0.47692622423172,0.5326416802406311,0.5899867796897889,0.6492881774902344,0.7087121033668518,0.7668839001655579,0.8233763837814331,0.8781692218780518,0.9300747513771057,0.9782863521575927,1.0211968970298768,1.0582458639144898,1.0906336164474488,1.119817581176758,1.1484776306152344,1.1764412212371826
42,full_test,all,fisher,0.02287904530763626,0.04615559875965118,0.07086388111114501,0.09755728781223297,0.1267405331134796,0.15868692040443422,0.19389585614204408,0.23350035548210143,0.2778291082382202,0.3240910243988037,0.36411357164382935,0.3949552690982819,0.4210231423377991,0.4447637391090393,0.4637067079544067,0.47882107257843015,0.49088913202285767,0.5002834510803222,0.5083432507514953,0.5143788647651673,0.5158872771263122,0.5149503350257874,0.5137520933151245,0.51211501121521,0.509635910987854,0.5063875555992127,0.5023342669010162,0.49689704179763794,0.4893630075454712
42,full_test,all,gs_alpha,0.020270744959513348,0.032872612277666725,0.045489416519800825,0.05915310780207316,0.07769354581832885,0.10214155912399292,0.1337418297926585,0.17044194142023722,0.2084042509396871,0.24729064305623372,0.286482044061025,0.3257870356241862,0.3651727596918742,0.4047118345896403,0.44494117895762125,0.48679367701212567,0.5299636443456014,0.5727076530456543,0.6146594842274984,0.6536006450653076,0.6896761417388916,0.7246140162150065,0.7592654228210449,0.7932589848836263,0.8252447128295899,0.8548810005187988,0.8826590696970622,0.9095842997233073,0.9353627999623616
42,full_test,all,gs_beta,0.030172250668207803,0.0693340132633845,0.12584133545557658,0.21536943912506104,0.3283847053845724,0.39500852425893146,0.40358317693074547,0.3754112958908081,0.38411362171173097,0.4298167626063029,0.5126712004343669,0.6031550486882528,0.6196724891662597,0.5723452647527059,0.5612339019775391,0.597140900293986,0.6234742164611816,0.6820563077926636,0.7068611065546672,0.6740687449773153,0.6801959673563639,0.7172705094019572,0.7049658298492432,0.6969826618830363,0.6802381674448649,0.6594387690226237,0.6896683057149251,0.7458905537923177,0.7635245800018311
42,full_test,all,gs_gamma,0.028967150549093882,0.058161291480064395,0.0961517035961151,0.14373689889907837,0.1805946946144104,0.23378596703211466,0.297935422261556,0.34863611062367755,0.41023755868275963,0.4612871170043945,0.5096022923787434,0.5371402740478516,0.5730255603790283,0.6129246552785238,0.636063035329183,0.6719123204549153,0.6978479385375976,0.7212241172790528,0.7461960633595784,0.7676009019215901,0.7851177374521892,0.811221186319987,0.8309886296590169,0.8533516724904379,0.8851964950561524,0.8981418132781982,0.9194973786671956,0.936581802368164,0.94444899559021
42,full_test,all,gs_delta,0.021049103513360024,0.04059128761291504,0.06863531619310378,0.10082718878984451,0.1385737508535385,0.18105370104312896,0.26219600439071655,0.3962161481380463,0.5520797729492187,0.6872904777526856,0.7901336789131165,0.8611886501312256,0.91879221200943,0.9626596450805665,1.0029973268508912,1.0359474182128907,1.0591487884521484,1.0741488218307496,1.0768945693969727,1.0692863941192627,1.055451250076294,1.0402323246002196,1.0253097295761109,1.0128061532974244,1.0036047220230102,0.9986935377120971,0.9961822271347046,0.9953783273696899,0.9958304405212403
42,full_test,all,gs_epsilon,0.017269266396760942,0.027957783639431,0.0420945664246877,0.06000202298164368,0.08073439796765645,0.10385671059290567,0.1290057937304179,0.1549776514371236,0.1796595017115275,0.20185713370641073,0.221939222017924,0.24040744304656983,0.25735905567804973,0.27246538003285725,0.2858589172363281,0.29780378341674807,0.3089794397354126,0.32007052103678385,0.33151979446411134,0.3442063411076864,0.35938225587209066,0.3781266450881958,0.40055527687072756,0.42496704260508217,0.4492887338002523,0.4726763884226481,0.49493281841278075,0.5156993945439656,0.5346844832102458
42,full_test,all,gs_theta,0.015205495059490204,0.04527623802423477,0.12049472033977508,0.2064380943775177,0.28039038777351377,0.3272661089897156,0.37326895594596865,0.45277929306030273,0.5477134585380554,0.6344281077384949,0.7083066582679749,0.7677686452865601,0.8122927188873291,0.8509252190589904,0.8933690309524536,0.9324175834655761,0.9646584749221802,0.9905089616775513,1.0043168783187866,1.012719988822937,1.020429754257202,1.0245612621307374,1.0277400016784668,1.029770851135254,1.0314352989196778,1.0329580545425414,1.0342214345932006,1.0357678651809692,1.037586784362793
42,full_test,all,gs_iota,0.014340420253574848,0.029542087763547897,0.04930977970361709,0.07333020716905594,0.09836893528699875,0.11887080669403076,0.1558089017868042,0.19476338624954223,0.23734431862831115,0.29052111506462097,0.3420110821723938,0.4196106195449829,0.4745921969413757,0.5188959836959839,0.5923977851867676,0.6569579482078552,0.6951941132545472,0.7361058473587037,0.7906673192977905,0.8083691477775574,0.8100026249885559,0.8231337904930115,0.8250714182853699,0.8239191770553589,0.8271914958953858,0.8328555822372437,0.8381075263023376,0.8437637329101563,0.8499460697174073
42,full_test,all,gs_kappa,0.022873586043715477,0.04156821072101593,0.06709639728069305,0.09717741757631301,0.1305947870016098,0.16649369895458221,0.20558126270771027,0.24769096374511718,0.2903978109359741,0.33335758447647096,0.3783749997615814,0.4224213719367981,0.46499688029289243,0.5070029854774475,0.5470138192176819,0.5867123603820801,0.6241837024688721,0.6579066991806031,0.6904988169670105,0.7229940176010132,0.7538924932479858,0.7812143564224243,0.8059960842132569,0.8313517808914185,0.8543906807899475,0.8739333748817444,0.8901051998138427,0.9025888442993164,0.9140514612197876
