model_seed,split,condition,aggregation,nRMSE_1,nRMSE_2,nRMSE_3,nRMSE_4,nRMSE_5,nRMSE_6,nRMSE_7,nRMSE_8,nRMSE_9,nRMSE_10,nRMSE_11,nRMSE_12,nRMSE_13,nRMSE_14,nRMSE_15,nRMSE_16,nRMSE_17,nRMSE_18,nRMSE_19,nRMSE_20,nRMSE_21,nRMSE_22,nRMSE_23,nRMSE_24,nRMSE_25,nRMSE_26,nRMSE_27,nRMSE_28,nRMSE_29
42,full_test,all,macro,0.044005570074077696,0.076614502913629,0.1121781474041442,0.15074261559794347,0.18915309099170066,0.22395025334010524,0.2597594927437603,0.29835446532194815,0.34277377444629864,0.38797773558025556,0.4321049556136132,0.4731152740865946,0.5062094843139251,0.5335181806857388,0.5628868610039353,0.5936517195279399,0.6200569836546977,0.6473794410626094,0.6718575415139397,0.6886954117193818,0.7056051943699518,0.7246737868338824,0.7385204196472963,0.7520142647624015,0.7646830029785634,0.7750494494040807,0.7885502267380555,0.8028237737466892,0.8136395221203565
42,full_test,all,micro,0.04816310538526843,0.08221255006159053,0.11565908424994525,0.1497630265530418,0.18310143433949527,0.21415065183359033,0.2448439422425102,0.27596737998373366,0.3100342364170972,0.3447819940833484,0.37874557775609635,0.4101056019698872,0.43692407776327696,0.4604535147021799,0.4840098829129163,0.5077185007403878,0.5289409257383908,0.5505184134315042,0.5703482966563281,0.586093595939524,0.6016278356664321,0.6179286010125105,0.6310267296959372,0.6436097626125111,0.6552159104627722,0.6651242553486544,0.6766755426631255,0.6884860449678758,0.6981039388039533
42,id_ood,all,macro,0.06571042921174976,0.13033118915859782,0.1856320472982,0.2325617273405097,0.27139855862832535,0.2999801088635828,0.33804348364375,0.3857167553083569,0.435515641386992,0.48241731816647093,0.5173059237840908,0.5386911941314834,0.5638229050277885,0.5934345593152482,0.6286788008181877,0.6667734772648687,0.6949291995732613,0.7041086133301648,0.7139841057603655,0.7305327330052463,0.7497106046945441,0.7733655856325736,0.7957072281369976,0.8069964628301415,0.812919676985616,0.8256064328590249,0.8402050910821928,0.8578408531893311,0.8770370601244222
42,id_ood,all,micro,0.06571042921174974,0.13033118915859782,0.1856320472982,0.2325617273405097,0.27139855862832535,0.2999801088635828,0.33804348364375,0.3857167553083569,0.435515641386992,0.482417318166471,0.5173059237840908,0.5386911941314835,0.5638229050277884,0.5934345593152482,0.6286788008181877,0.6667734772648687,0.6949291995732613,0.7041086133301647,0.7139841057603655,0.7305327330052463,0.7497106046945441,0.7733655856325735,0.7957072281369976,0.8069964628301415,0.812919676985616,0.825606432859025,0.8402050910821928,0.8578408531893312,0.8770370601244222
42,id_ood,id,macro,0.050362300876454984,0.08997724099340391,0.14042016776169047,0.19398852569215438,0.24216880203754296,0.27891877403154086,0.3090224657572952,0.35060058665626187,0.39790822039632234,0.4424972843890097,0.480461748791676,0.5105791407472947,0.5375125709117627,0.5579596056657677,0.585400633075658,0.61759874049355,0.6394111885159622,0.6561797237863728,0.674344866883521,0.687819946922508,0.7027830116304697,0.7172030251400143,0.730588245917769,0.7449819317051009,0.7570978368029876,0.7754082595016443,0.7957292099793751,0.8095642351636699,0.8228003524389922
42,id_ood,id,micro,0.05036230087645498,0.08997724099340391,0.14042016776169047,0.19398852569215438,0.24216880203754293,0.2789187740315409,0.3090224657572952,0.35060058665626187,0.39790822039632234,0.44249728438900965,0.48046174879167597,0.5105791407472947,0.5375125709117627,0.5579596056657679,0.585400633075658,0.61759874049355,0.6394111885159623,0.6561797237863728,0.674344866883521,0.6878199469225079,0.7027830116304696,0.7172030251400143,0.730588245917769,0.7449819317051009,0.7570978368029875,0.7754082595016442,0.7957292099793752,0.8095642351636699,0.8228003524389922
42,id_ood,ood_low,macro,0.07984990233957183,0.14451157630366437,0.2091916101235969,0.27136277232099987,0.3238739727758894,0.3643281630002985,0.40578240725923986,0.45182932781822543,0.49430405085577683,0.5389875326963031,0.588446575783047,0.6278754288659376,0.6621131496686562,0.6974856409372068,0.7277869336745318,0.7602634517585531,0.7922289722106036,0.8143542137216119,0.8330995130772684,0.8519646125096901,0.8647172871757957,0.8804125964057212,0.9013691991567612,0.9173734772439096,0.929656855615915,0.9414857631804897,0.9475306193618214,0.9525646806931964,0.9601985008693208
42,id_ood,ood_low,micro,0.07984990233957183,0.14451157630366437,0.20919161012359694,0.2713627723209998,0.32387397277588936,0.36432816300029847,0.40578240725923986,0.45182932781822543,0.49430405085577683,0.5389875326963032,0.588446575783047,0.6278754288659376,0.6621131496686562,0.6974856409372068,0.7277869336745318,0.760263451758553,0.7922289722106036,0.8143542137216119,0.8330995130772684,0.8519646125096901,0.8647172871757957,0.8804125964057212,0.9013691991567612,0.9173734772439096,0.929656855615915,0.9414857631804896,0.9475306193618214,0.9525646806931963,0.9601985008693209
42,id_ood,ood_high,macro,0.06691908376181825,0.15650474722040633,0.20728435655873195,0.23233387261336927,0.2481529047968341,0.2566933870753822,0.29932557762253514,0.3547203453148113,0.4143346532010565,0.46576713054787877,0.48300945422813,0.4776189949582605,0.4918429993239104,0.5248584393777099,0.5728488469532892,0.6224582100323602,0.6531474828427913,0.6417918757480734,0.6345079623016656,0.6518136261432779,0.6816315160078161,0.7224811138767823,0.7551642559907017,0.7586339666855102,0.7520043367848678,0.7599253062816227,0.7773554728311651,0.8113936198984876,0.8481123200526425
42,id_ood,ood_high,micro,0.06691908376181827,0.15650474722040633,0.20728435655873195,0.23233387261336924,0.24815290479683408,0.25669338707538214,0.2993255776225352,0.3547203453148113,0.41433465320105645,0.46576713054787877,0.48300945422813,0.4776189949582605,0.49184299932391035,0.5248584393777099,0.5728488469532892,0.6224582100323602,0.6531474828427913,0.6417918757480734,0.6345079623016656,0.6518136261432779,0.6816315160078161,0.7224811138767823,0.7551642559907016,0.7586339666855102,0.7520043367848677,0.7599253062816227,0.7773554728311651,0.8113936198984876,0.8481123200526425
