epoch,loss_epoch,loss_step,step,val/ema_loss_epoch,val/raw_loss_epoch
0,,0.6791902780532837,9,,
0,,0.42397063970565796,19,,
0,,0.35584673285484314,29,,
0,,0.17013974487781525,39,,
0,,0.15273791551589966,49,,
0,,0.17534340918064117,59,,
0,,0.19628247618675232,69,,
0,,0.12358030676841736,79,,
0,,0.12047231197357178,89,,
0,,0.10832547396421432,99,,
0,,0.0749889612197876,109,,
0,,0.12216315418481827,119,,
0,,0.08112119138240814,129,,
0,,0.049421753734350204,139,,
0,,0.05019066482782364,149,,
0,,0.03811768814921379,159,,
0,,0.0753563791513443,169,,
0,,0.054227571934461594,179,,
0,,0.08657301217317581,189,,
0,,0.07430152595043182,199,,
0,,0.049209773540496826,209,,
0,,0.05961665138602257,219,,
0,,0.0727350041270256,229,,
0,,0.0535699799656868,239,,
0,,0.0745852068066597,249,,
0,,0.03936254233121872,259,,
0,,0.0799892395734787,269,,
0,,0.05071861296892166,279,,
0,,0.07393468916416168,289,,
0,,0.04190412908792496,299,,
0,,0.028705265372991562,309,,
0,,0.022192293778061867,319,,
0,,0.04801628738641739,329,,
0,,0.07067570835351944,339,,
0,,0.06587499380111694,349,,
0,,0.049461305141448975,359,,
0,,0.04677777737379074,369,,
0,,0.04204777628183365,379,,
0,,0.02270372398197651,389,,
0,,0.05087631940841675,399,,
0,,0.05690240114927292,409,,
0,,0.04280461370944977,419,,
0,,0.059596821665763855,429,,
0,,0.04583730921149254,439,,
0,,0.04783348739147186,449,,
0,,0.05360730364918709,459,,
0,,0.028726136311888695,469,,
0,,0.026269519701600075,479,,
0,,,483,0.43402814865112305,0.040582772344350815
0,0.09569699317216873,,483,,
1,,0.06816254556179047,489,,
1,,0.03407939895987511,499,,
1,,0.06116008013486862,509,,
1,,0.02426152117550373,519,,
1,,0.04356857389211655,529,,
1,,0.02776366099715233,539,,
1,,0.03277403116226196,549,,
1,,0.02969362773001194,559,,
1,,0.03347591310739517,569,,
1,,0.03459486365318298,579,,
1,,0.034787729382514954,589,,
1,,0.02342752367258072,599,,
1,,0.03613744303584099,609,,
1,,0.029686106368899345,619,,
1,,0.044024668633937836,629,,
1,,0.02581110969185829,639,,
