dataset,sim_id,condition,seed,parameter_overrides,numerical_overrides,nRMSE_1,nRMSE_2,nRMSE_3,nRMSE_4,nRMSE_5,nRMSE_6,nRMSE_7,nRMSE_8,nRMSE_9,nRMSE_10,nRMSE_11,nRMSE_12,nRMSE_13,nRMSE_14,nRMSE_15,nRMSE_16,nRMSE_17,nRMSE_18,nRMSE_19,nRMSE_20,nRMSE_21,nRMSE_22,nRMSE_23,nRMSE_24,nRMSE_25,nRMSE_26,nRMSE_27,nRMSE_28,nRMSE_29
diff,0,id,2026072201,"{""Viscosity X"": 0.0275, ""Viscosity Y"": 0.0275}",{},0.013542952947318554,0.018513426184654236,0.02265271544456482,0.027210168540477753,0.032123416662216187,0.037050820887088776,0.04173386096954346,0.04607132077217102,0.0500776432454586,0.053821392357349396,0.05738101527094841,0.060822512954473495,0.06419286876916885,0.06752127408981323,0.07082322239875793,0.07410500198602676,0.07736741751432419,0.08060820400714874,0.08382406830787659,0.0870114266872406,0.09016720205545425,0.09328904747962952,0.0963754653930664,0.09942575544118881,0.10243996232748032,0.10541873425245285,0.10836320370435715,0.11127493530511856,0.1141555979847908
diff,1,id,2026072202,"{""Viscosity X"": 0.0275, ""Viscosity Y"": 0.0275}",{},0.05123933404684067,0.10868079960346222,0.12674281001091003,0.12080655246973038,0.11361782252788544,0.1120838150382042,0.11613084375858307,0.12373307347297668,0.13294537365436554,0.1424262672662735,0.15136443078517914,0.15930910408496857,0.16604189574718475,0.17149554193019867,0.17570218443870544,0.17875824868679047,0.1807985007762909,0.18197613954544067,0.18244820833206177,0.18236438930034637,0.18186022341251373,0.1810532808303833,0.1800418347120285,0.1789054572582245,0.1777070164680481,0.17649467289447784,0.1753046214580536,0.17416344583034515,0.1730901449918747
diff,2,id,2026072203,"{""Viscosity X"": 0.0275, ""Viscosity Y"": 0.0275}",{},0.009968885220587254,0.01902368851006031,0.027474939823150635,0.0354015976190567,0.04286838322877884,0.04992592707276344,0.05661376565694809,0.062963105738163,0.06899929791688919,0.07474437355995178,0.08021906018257141,0.08544375002384186,0.09043902903795242,0.09522534161806107,0.09982277452945709,0.10425029695034027,0.10852585732936859,0.11266598850488663,0.11668558418750763,0.12059812247753143,0.1244153380393982,0.12814728915691376,0.13180269300937653,0.13538876175880432,0.13891129195690155,0.14237487316131592,0.14578299224376678,0.14913804829120636,0.15244153141975403
diff,3,ood_low,2026072201,"{""Viscosity X"": 0.00475, ""Viscosity Y"": 0.00475}",{},0.07929912209510803,0.14180119335651398,0.18061289191246033,0.20789691805839539,0.22981171309947968,0.24871626496315002,0.26556336879730225,0.28082403540611267,0.29480335116386414,0.30773472785949707,0.3198043704032898,0.3311590850353241,0.3419126570224762,0.3521522581577301,0.3619444668292999,0.3713405728340149,0.3803806006908417,0.3890964090824127,0.3975139856338501,0.40565505623817444,0.4135381579399109,0.42117974162101746,0.4285942316055298,0.43579500913619995,0.4427942633628845,0.44960346817970276,0.4562332332134247,0.46269360184669495,0.4689939618110657
diff,4,ood_low,2026072202,"{""Viscosity X"": 0.00475, ""Viscosity Y"": 0.00475}",{},0.22914345562458038,0.4415784776210785,0.5728914141654968,0.6355957984924316,0.6625751256942749,0.6746779084205627,0.6799307465553284,0.6817693114280701,0.6819111108779907,0.6812938451766968,0.6804571747779846,0.6797184944152832,0.6792615056037903,0.6791849136352539,0.6795308589935303,0.6803034543991089,0.6814815402030945,0.6830276250839233,0.6848950982093811,0.6870328783988953,0.6893898248672485,0.6919170022010803,0.6945701837539673,0.6973103880882263,0.7001044750213623,0.7029252052307129,0.7057507634162903,0.7085639238357544,0.711351752281189
diff,5,ood_low,2026072203,"{""Viscosity X"": 0.00475, ""Viscosity Y"": 0.00475}",{},0.03606291115283966,0.06922953575849533,0.0999370664358139,0.1284843385219574,0.1551174521446228,0.18004140257835388,0.2034294456243515,0.22542981803417206,0.24617041647434235,0.26576244831085205,0.28430408239364624,0.30188310146331787,0.3185785114765167,0.33446189761161804,0.3495980501174927,0.36404579877853394,0.3778582215309143,0.39108341932296753,0.4037648141384125,0.41594168543815613,0.4276496171951294,0.43892064690589905,0.44978395104408264,0.4602659046649933,0.47039029002189636,0.48017871379852295,0.4896508753299713,0.4988245666027069,0.5077158212661743
diff,6,ood_high,2026072201,"{""Viscosity X"": 0.0525, ""Viscosity Y"": 0.0525}",{},0.043935928493738174,0.06783954799175262,0.08463896811008453,0.09775200486183167,0.10861998051404953,0.11797992140054703,0.12624721229076385,0.13368235528469086,0.14046896994113922,0.14674833416938782,0.15263403952121735,0.15821929275989532,0.16358131170272827,0.16878457367420197,0.17388299107551575,0.1789223700761795,0.1839413344860077,0.1889728456735611,0.19404445588588715,0.19917939603328705,0.20439696311950684,0.20971296727657318,0.21514004468917847,0.22068822383880615,0.22636500000953674,0.23217584192752838,0.23812438547611237,0.24421299993991852,0.2504426836967468
diff,7,ood_high,2026072202,"{""Viscosity X"": 0.0525, ""Viscosity Y"": 0.0525}",{},0.09256639331579208,0.1277666836977005,0.1676260381937027,0.20601409673690796,0.23899726569652557,0.266745001077652,0.2900587320327759,0.3096485435962677,0.32606545090675354,0.3397469222545624,0.35106509923934937,0.36035963892936707,0.36795440316200256,0.3741624355316162,0.3792831003665924,0.3835955262184143,0.3873511254787445,0.39076653122901917,0.3940206468105316,0.3972533047199249,0.40056806802749634,0.40403640270233154,0.40770381689071655,0.41159534454345703,0.4157213270664215,0.42008230090141296,0.42467278242111206,0.4294842779636383,0.43450748920440674
diff,8,ood_high,2026072203,"{""Viscosity X"": 0.0525, ""Viscosity Y"": 0.0525}",{},0.019706817343831062,0.03754148632287979,0.053940918296575546,0.06917597353458405,0.08346106857061386,0.09696736186742783,0.10983265936374664,0.12216859310865402,0.13406601548194885,0.14559870958328247,0.15682634711265564,0.16779707372188568,0.17854994535446167,0.1891166865825653,0.19952335953712463,0.20979201793670654,0.21994079649448395,0.2299855351448059,0.23993965983390808,0.24981507658958435,0.2596222758293152,0.2693704664707184,0.279068261384964,0.2887232303619385,0.298342764377594,0.30793359875679016,0.31750229001045227,0.3270551264286041,0.3365979790687561
hyp,0,id,2026072201,"{""Hyper-Diffusivity"": 0.000275}",{},0.0706821009516716,0.10976312309503555,0.13680540025234222,0.15790826082229614,0.17582294344902039,0.1921464055776596,0.20792721211910248,0.22388960421085358,0.24055303633213043,0.25831153988838196,0.27748849987983704,0.29836899042129517,0.3212167024612427,0.3462791442871094,0.3737834393978119,0.4039275050163269,0.43686988949775696,0.472721666097641,0.5115426182746887,0.5533427596092224,0.5980826616287231,0.6456752419471741,0.6959915161132812,0.7488691806793213,0.8041232228279114,0.861556887626648,0.9209625720977783,0.9821106791496277,1.044740080833435
hyp,1,id,2026072202,"{""Hyper-Diffusivity"": 0.000275}",{},0.21743644773960114,0.3347145617008209,0.4153447449207306,0.47921988368034363,0.5357068181037903,0.5911001563072205,0.6505032777786255,0.7181626558303833,0.7973204255104065,0.8900812268257141,0.9975286722183228,1.1199408769607544,1.2570198774337769,1.4081300497055054,1.5724421739578247,1.749027967453003,1.936838984489441,2.134591579437256,2.3408491611480713,2.5540764331817627,2.7727301120758057,2.9954094886779785,3.2209084033966064,3.4481945037841797,3.6763968467712402,3.904754877090454,4.132570266723633,4.359190464019775,4.584005832672119
hyp,2,id,2026072203,"{""Hyper-Diffusivity"": 0.000275}",{},0.0371953509747982,0.06667234003543854,0.0915427878499031,0.1135822981595993,0.1339159905910492,0.15326350927352905,0.17208603024482727,0.19068577885627747,0.20927384495735168,0.22801628708839417,0.24706514179706573,0.26657816767692566,0.2867296636104584,0.3077137768268585,0.3297410309314728,0.35303157567977905,0.3778063654899597,0.4042772352695465,0.4326351583003998,0.4630374610424042,0.49559518694877625,0.5303634405136108,0.5673368573188782,0.6064524054527283,0.6475992798805237,0.6906342506408691,0.7354012727737427,0.7817531824111938,0.8295620679855347
