dataset,source_dataset,source_file,source_num_simulations,source_num_frames,selected_sim_ids,selected_num_simulations,num_test_trajectories,num_evaluated_trajectories,trajectory_length,shape,nRMSE_1,nRMSE_2,nRMSE_3,nRMSE_4,nRMSE_5,nRMSE_6,nRMSE_7,nRMSE_8,nRMSE_9,nRMSE_10,nRMSE_11,nRMSE_12,nRMSE_13,nRMSE_14,nRMSE_15,nRMSE_16,nRMSE_17,nRMSE_18,nRMSE_19,nRMSE_20,nRMSE_21,nRMSE_22,nRMSE_23,nRMSE_24,nRMSE_25,nRMSE_26,nRMSE_27,nRMSE_28,nRMSE_29,elapsed_seconds
diff,diff,diff.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.0639406,0.114664,0.148502,0.169815,0.185244,0.198243,0.209949,0.220699,0.230612,0.239764,0.248228,0.256079,0.26339,0.270234,0.276679,0.28279,0.288627,0.294243,0.299682,0.304983,0.310179,0.315292,0.320342,0.325344,0.330308,0.335243,0.340154,0.345046,0.349922,5.559
hyp,hyp,hyp.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.108127,0.170906,0.216445,0.254313,0.28881,0.32221,0.355959,0.391152,0.428713,0.469444,0.514021,0.562966,0.616626,0.675189,0.738727,0.807227,0.880613,0.958739,1.04138,1.12826,1.219,1.3132,1.41047,1.51043,1.6127,1.71691,1.82269,1.92972,2.03768,5.150
burgers,burgers,burgers.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.0363729,0.0535066,0.0720183,0.0910871,0.110019,0.129026,0.147212,0.164869,0.181621,0.197728,0.213086,0.227811,0.242248,0.256427,0.270361,0.283745,0.296823,0.309557,0.321851,0.333625,0.344918,0.355453,0.365475,0.37529,0.384937,0.39456,0.403726,0.412634,0.421326,5.250
kdv,kdv,kdv.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.0351651,0.0526222,0.0703986,0.0872261,0.103539,0.117799,0.129832,0.140735,0.151008,0.160851,0.170561,0.180397,0.190478,0.200781,0.211266,0.221951,0.232868,0.244061,0.255576,0.267501,0.27994,0.29299,0.306693,0.321038,0.336007,0.351634,0.367965,0.384988,0.402567,5.276
ks,ks,ks.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.0216365,0.03909,0.0597308,0.0848287,0.114988,0.149966,0.189329,0.232941,0.281107,0.333351,0.387449,0.44182,0.496555,0.552766,0.610496,0.66971,0.729234,0.789102,0.851077,0.915894,0.982714,1.05366,1.12633,1.19236,1.24228,1.26919,1.27897,1.28235,1.28829,5.146
fisher,fisher,fisher.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.0402708,0.0691917,0.0965082,0.123149,0.149767,0.176933,0.205203,0.235062,0.26643,0.297847,0.326686,0.350906,0.370283,0.385968,0.399225,0.410769,0.420864,0.429613,0.437094,0.443367,0.448447,0.452313,0.454956,0.456445,0.45695,0.456703,0.455949,0.454951,0.454041,5.202
gs_alpha,gs_alpha,gs_alpha.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.0336034,0.0637007,0.0962495,0.129867,0.16257,0.194508,0.227693,0.264941,0.303813,0.34056,0.371303,0.399563,0.429704,0.463162,0.498669,0.533763,0.56682,0.598822,0.630183,0.661667,0.693436,0.724942,0.755162,0.784215,0.81021,0.832387,0.851632,0.871265,0.891909,5.233
gs_beta,gs_beta,gs_beta.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.157675,0.466278,0.719357,0.889077,0.889969,0.820422,0.845503,0.968737,1.09951,1.17223,1.14207,0.960271,0.86507,0.882498,1.02641,1.17332,1.22107,1.01944,0.870973,0.884611,0.96646,1.11594,1.18824,1.0958,0.913159,0.944232,1.02696,1.15088,1.24495,5.225
gs_gamma,gs_gamma,gs_gamma.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.0807099,0.191563,0.230557,0.272509,0.35859,0.379441,0.426874,0.506928,0.530903,0.572258,0.637774,0.665369,0.691409,0.728602,0.753823,0.780692,0.802625,0.824247,0.860586,0.882243,0.896091,0.921714,0.941858,0.946166,0.972677,0.985271,0.990372,1.02047,1.0307,5.260
gs_delta,gs_delta,gs_delta.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.0377741,0.0775797,0.14076,0.205852,0.280203,0.354699,0.439047,0.562041,0.721366,0.879769,0.961671,1.00781,1.06201,1.10015,1.11673,1.12882,1.1318,1.12506,1.10946,1.09062,1.07592,1.06291,1.05197,1.04033,1.03216,1.02751,1.02526,1.02356,1.02275,5.242
