dataset,condition,count,nRMSE_1,nRMSE_2,nRMSE_3,nRMSE_4,nRMSE_5,nRMSE_6,nRMSE_7,nRMSE_8,nRMSE_9,nRMSE_10,nRMSE_11,nRMSE_12,nRMSE_13,nRMSE_14,nRMSE_15,nRMSE_16,nRMSE_17,nRMSE_18,nRMSE_19,nRMSE_20,nRMSE_21,nRMSE_22,nRMSE_23,nRMSE_24,nRMSE_25,nRMSE_26,nRMSE_27,nRMSE_28,nRMSE_29
diff,id,3,0.0249171,0.0487393,0.0589568,0.0611394,0.0628699,0.0663535,0.0714928,0.0775892,0.0840074,0.0903307,0.0963215,0.101858,0.106891,0.111414,0.115449,0.119038,0.122231,0.125083,0.127653,0.129991,0.132148,0.134163,0.136073,0.137907,0.139686,0.141429,0.14315,0.144859,0.146562
diff,ood_low,3,0.114835,0.217536,0.28448,0.323992,0.349168,0.367812,0.382975,0.396008,0.407628,0.418264,0.428189,0.437587,0.446584,0.455266,0.463691,0.471897,0.479907,0.487736,0.495391,0.502877,0.510193,0.517339,0.524316,0.531124,0.537763,0.544236,0.550545,0.556694,0.562687
diff,ood_high,3,0.0520697,0.0777159,0.102069,0.124314,0.143693,0.160564,0.17538,0.1885,0.2002,0.210698,0.220175,0.228792,0.236695,0.244021,0.250896,0.257437,0.263744,0.269908,0.276002,0.282083,0.288196,0.294373,0.300637,0.307002,0.313476,0.320064,0.326766,0.333584,0.340516
hyp,id,3,0.108438,0.170383,0.214564,0.250237,0.281815,0.31217,0.343506,0.377579,0.415716,0.458803,0.507361,0.561629,0.621655,0.687374,0.758656,0.835329,0.917172,1.00386,1.09501,1.19015,1.2888,1.39048,1.49475,1.60117,1.70937,1.81898,1.92964,2.04102,2.15277
hyp,ood_low,3,0.100296,0.157265,0.200338,0.239119,0.277309,0.316326,0.356697,0.398652,0.442359,0.487986,0.535698,0.58564,0.637908,0.692556,0.749593,0.808987,0.870665,0.934513,1.00038,1.06808,1.13743,1.20825,1.28035,1.35351,1.42748,1.50204,1.57694,1.65196,1.7269
hyp,ood_high,3,0.115648,0.18507,0.234434,0.273584,0.307304,0.338134,0.367675,0.397224,0.428065,0.461543,0.499004,0.54163,0.590314,0.645638,0.707934,0.777365,0.854002,0.93784,1.02877,1.12655,1.23076,1.34086,1.45633,1.57662,1.70125,1.8297,1.9615,2.09619,2.23337
burgers,id,3,0.0349527,0.0516602,0.0699206,0.0889037,0.107849,0.126922,0.145174,0.162903,0.179727,0.1959,0.211322,0.226157,0.240636,0.254901,0.268917,0.28242,0.295624,0.308427,0.320766,0.332615,0.343959,0.354528,0.364579,0.374392,0.384042,0.393741,0.402862,0.411742,0.420412
burgers,ood_low,3,0.0449513,0.0633481,0.0830938,0.103073,0.122522,0.141893,0.16023,0.178026,0.194864,0.211122,0.22656,0.241319,0.256037,0.27033,0.284383,0.297679,0.310551,0.323119,0.335274,0.346825,0.357958,0.368331,0.378204,0.387965,0.397551,0.407015,0.416084,0.424923,0.433596
burgers,ood_high,3,0.0292145,0.0455116,0.0630406,0.081285,0.0996866,0.118263,0.136233,0.15368,0.170272,0.186163,0.201378,0.215957,0.23007,0.24405,0.257784,0.271135,0.284294,0.297124,0.309515,0.321437,0.332838,0.343499,0.353643,0.363512,0.37322,0.382924,0.392231,0.401238,0.409968
kdv,id,3,0.0351657,0.0526228,0.0703993,0.0872268,0.10354,0.117801,0.129834,0.140737,0.151009,0.160853,0.170563,0.180399,0.190481,0.200784,0.211269,0.221954,0.232872,0.244065,0.255579,0.267505,0.279944,0.292994,0.306697,0.321042,0.336012,0.351639,0.367969,0.384992,0.402571
kdv,ood_low,3,0.0351835,0.05264,0.0704186,0.0872499,0.103569,0.117836,0.129876,0.140785,0.151064,0.160913,0.17063,0.180472,0.19056,0.20087,0.211362,0.222054,0.232978,0.244177,0.255698,0.267629,0.280073,0.293127,0.306834,0.321182,0.336154,0.351782,0.368113,0.385134,0.402711
kdv,ood_high,3,0.0351462,0.0526038,0.070378,0.0872015,0.103509,0.117762,0.129787,0.140684,0.15095,0.160786,0.17049,0.180319,0.190394,0.200689,0.211167,0.221845,0.232755,0.243941,0.25545,0.26737,0.279804,0.292849,0.306548,0.32089,0.335857,0.351482,0.367812,0.384837,0.402418
ks,id,3,0.0130869,0.0230763,0.0353258,0.0500963,0.0678784,0.0889549,0.113343,0.140458,0.172209,0.209617,0.246332,0.278946,0.311367,0.348563,0.391751,0.441144,0.492819,0.548691,0.613221,0.68208,0.746564,0.810232,0.87103,0.921131,0.9617,0.994584,1.02194,1.05026,1.0858
ks,ood_low,3,0.0235185,0.0423971,0.0616289,0.0835624,0.109804,0.141262,0.179045,0.224054,0.276314,0.334913,0.39907,0.468422,0.542254,0.619621,0.699538,0.780965,0.862858,0.945049,1.02979,1.12222,1.22888,1.35412,1.49333,1.62588,1.71883,1.75039,1.73691,1.70454,1.67396
ks,ood_high,3,0.0283042,0.0517967,0.0822379,0.120827,0.167281,0.219681,0.275598,0.334311,0.394798,0.455524,0.516945,0.578091,0.636043,0.690115,0.740199,0.787022,0.832024,0.873567,0.910214,0.943378,0.972702,0.996628,1.01462,1.03007,1.04631,1.06261,1.07805,1.09226,1.10511
fisher,id,3,0.0181195,0.0359966,0.0550772,0.0754014,0.0968953,0.119593,0.143731,0.169726,0.1979,0.227739,0.257507,0.284984,0.308631,0.328393,0.345071,0.359322,0.371443,0.381583,0.389894,0.396546,0.40169,0.405427,0.407834,0.40904,0.409269,0.408834,0.408129,0.407722,0.408419
fisher,ood_low,3,0.0666413,0.107339,0.145732,0.182618,0.218518,0.253607,0.287612,0.319967,0.350133,0.377781,0.402713,0.424849,0.444312,0.461424,0.476607,0.490217,0.502441,0.51333,0.522862,0.530987,0.537644,0.542811,0.546543,0.549011,0.550474,0.551208,0.551423,0.551224,0.550626
fisher,ood_high,3,0.0360517,0.0642397,0.0887151,0.111427,0.133888,0.157598,0.184265,0.215493,0.251258,0.288021,0.31984,0.342885,0.357908,0.368087,0.375997,0.382768,0.388708,0.393925,0.398525,0.402567,0.406007,0.408702,0.410491,0.411282,0.411105,0.410068,0.408294,0.405907,0.403079
gs_alpha,id,3,0.0331231,0.0636981,0.0959526,0.128657,0.160984,0.191343,0.218675,0.24432,0.267405,0.288548,0.305029,0.317418,0.331758,0.353327,0.380069,0.406769,0.430636,0.453945,0.477735,0.500561,0.524718,0.550561,0.575618,0.601887,0.627321,0.651194,0.674556,0.70167,0.729792
gs_alpha,ood_low,3,0.0276994,0.0458858,0.0598444,0.0713751,0.082261,0.0959505,0.118724,0.155534,0.202023,0.247248,0.283143,0.317386,0.357075,0.401026,0.446114,0.490387,0.534492,0.578991,0.623624,0.672792,0.723326,0.770954,0.814069,0.849317,0.875045,0.893451,0.908749,0.927022,0.947853
gs_alpha,ood_high,3,0.0399877,0.0815182,0.132951,0.189567,0.244465,0.296229,0.345681,0.394969,0.44201,0.485884,0.525737,0.563885,0.600279,0.635134,0.669824,0.704132,0.735331,0.763529,0.789189,0.811649,0.832264,0.85331,0.8758,0.901442,0.928265,0.952516,0.97159,0.985103,0.998082
gs_beta,id,3,0.102084,0.236254,0.500692,0.894092,1.20747,1.30286,1.25923,1.24921,1.28284,1.29699,1.24355,1.1715,1.14406,1.03418,1.01275,1.08346,1.06942,1.0187,1.00081,0.96291,0.967343,0.975672,0.938432,0.934023,0.885061,0.941761,1.0236,0.98639,0.978263
gs_beta,ood_low,3,0.153649,0.279575,0.485665,0.680301,0.78445,0.846298,0.91576,0.957602,0.943679,0.976487,1.08055,1.127,1.10356,1.08249,1.07548,1.1188,1.18679,1.18752,1.15255,1.14133,1.11257,1.07742,1.11209,1.15902,1.14146,1.12854,1.14161,1.12134,1.13412
gs_beta,ood_high,3,0.217292,0.883005,1.17172,1.09284,0.677985,0.312102,0.361524,0.699398,1.07201,1.24322,1.10211,0.582307,0.347596,0.530833,0.990996,1.31769,1.40699,0.852116,0.459552,0.549592,0.81947,1.29473,1.5142,1.19435,0.71296,0.762393,0.91566,1.34492,1.62248
gs_gamma,id,3,0.0374873,0.0908304,0.178402,0.201236,0.251693,0.311549,0.342894,0.410172,0.453872,0.466838,0.536837,0.577616,0.59252,0.630543,0.663854,0.706693,0.724527,0.753696,0.826381,0.844084,0.864714,0.89725,0.905046,0.92629,0.957045,0.956162,0.982062,1.01794,1.00488
gs_gamma,ood_low,3,0.0899118,0.259007,0.308342,0.372306,0.480131,0.530585,0.589345,0.696422,0.743446,0.7826,0.853864,0.887802,0.918018,0.973217,0.995465,1.01183,1.04665,1.06258,1.07931,1.10521,1.11238,1.12819,1.16638,1.15194,1.17451,1.21428,1.1807,1.21249,1.25137
gs_gamma,ood_high,3,0.114731,0.224852,0.204927,0.243985,0.343945,0.296189,0.348382,0.414189,0.395391,0.467337,0.52262,0.530688,0.563689,0.582047,0.602148,0.623556,0.636701,0.656459,0.676064,0.697433,0.711179,0.739699,0.754145,0.760269,0.786477,0.785372,0.808358,0.830985,0.83584
gs_delta,id,3,0.0251883,0.0409558,0.0699262,0.0938055,0.130908,0.171233,0.223287,0.367503,0.564344,0.759277,0.905174,0.995154,1.07287,1.12431,1.16932,1.18826,1.18329,1.16715,1.14588,1.11573,1.09405,1.07593,1.06006,1.04166,1.02921,1.0245,1.0243,1.02335,1.02442
gs_delta,ood_low,3,0.0508713,0.0950717,0.165805,0.247968,0.336141,0.426958,0.510481,0.633004,0.800046,0.960462,1.09128,1.17294,1.23794,1.29136,1.30471,1.31206,1.30695,1.27887,1.24667,1.21019,1.18308,1.1628,1.14776,1.13284,1.12116,1.11174,1.10508,1.1002,1.09567
gs_delta,ood_high,3,0.0372626,0.0967116,0.186549,0.275781,0.373561,0.465906,0.583375,0.685615,0.799709,0.919567,0.888564,0.855332,0.87522,0.88479,0.876161,0.886145,0.905153,0.929171,0.935817,0.945956,0.95063,0.949983,0.948109,0.946501,0.946105,0.946289,0.946411,0.94715,0.948177
gs_epsilon,id,3,0.0150347,0.0220008,0.0299865,0.0399414,0.0508636,0.0610184,0.0712631,0.0817063,0.0916574,0.100533,0.109828,0.121719,0.13793,0.156458,0.17388,0.190677,0.208697,0.227487,0.246259,0.262376,0.277715,0.291478,0.303804,0.316303,0.330773,0.347169,0.364777,0.383436,0.401632
gs_epsilon,ood_low,3,0.0202516,0.030452,0.0428067,0.0628041,0.0918927,0.129249,0.171694,0.212803,0.245956,0.269449,0.284651,0.29367,0.29969,0.306091,0.315519,0.328385,0.342747,0.358609,0.376608,0.397551,0.423799,0.457658,0.496837,0.535963,0.570494,0.597551,0.616279,0.627802,0.634983
