dataset,condition,count,nRMSE_1,nRMSE_2,nRMSE_3,nRMSE_4,nRMSE_5,nRMSE_6,nRMSE_7,nRMSE_8,nRMSE_9,nRMSE_10,nRMSE_11,nRMSE_12,nRMSE_13,nRMSE_14,nRMSE_15,nRMSE_16,nRMSE_17,nRMSE_18,nRMSE_19,nRMSE_20,nRMSE_21,nRMSE_22,nRMSE_23,nRMSE_24,nRMSE_25,nRMSE_26,nRMSE_27,nRMSE_28,nRMSE_29
kdv,ood_low,3,0.0341934,0.04331,0.0513058,0.0591225,0.0673322,0.0759577,0.084966,0.0945442,0.105039,0.116593,0.128893,0.141272,0.153339,0.16509,0.176634,0.18803,0.199347,0.210609,0.221853,0.233186,0.244647,0.256261,0.268043,0.279977,0.292044,0.304218,0.316474,0.328793,0.341183
kdv,ood_high,3,0.034146,0.0432488,0.0512337,0.0590416,0.067244,0.0758633,0.0848671,0.0944428,0.104937,0.11649,0.128784,0.141153,0.153209,0.164946,0.176476,0.187856,0.199159,0.210405,0.221634,0.232952,0.244398,0.255998,0.267764,0.279683,0.291736,0.303894,0.316135,0.32844,0.340816
ks,id,3,0.0128917,0.0235761,0.0357572,0.0496974,0.0668166,0.0876497,0.113209,0.142856,0.177283,0.213723,0.246886,0.281083,0.320209,0.365918,0.413183,0.464757,0.522626,0.582344,0.642663,0.700503,0.757386,0.813685,0.868297,0.919567,0.965406,1.00521,1.0406,1.07441,1.10507
ks,ood_low,3,0.0171826,0.0311091,0.0440095,0.0576385,0.0716618,0.0870291,0.102454,0.118187,0.133078,0.147699,0.161197,0.174275,0.186206,0.197728,0.208204,0.218332,0.22757,0.236578,0.244878,0.253064,0.260704,0.26833,0.275547,0.282839,0.28984,0.296998,0.30397,0.311175,0.318286
ks,ood_high,3,0.0306595,0.0554969,0.0874553,0.12738,0.175084,0.229021,0.286257,0.345677,0.405815,0.465203,0.523169,0.578842,0.631535,0.682781,0.732985,0.781255,0.826879,0.867891,0.902864,0.933316,0.960212,0.983118,1.00217,1.01911,1.03565,1.05109,1.06512,1.0788,1.09363
fisher,id,3,0.0206829,0.0369469,0.0525914,0.069408,0.0885079,0.11051,0.135605,0.16326,0.192261,0.220836,0.246939,0.268767,0.285243,0.296228,0.302382,0.304837,0.304837,0.303411,0.301151,0.298346,0.295185,0.291762,0.288069,0.284048,0.279613,0.274647,0.269045,0.262811,0.25613
fisher,ood_low,3,0.0564709,0.0870577,0.116536,0.14596,0.175466,0.204896,0.233943,0.262189,0.28908,0.314135,0.337023,0.357576,0.375767,0.39162,0.405112,0.416189,0.424813,0.431088,0.435302,0.437847,0.439097,0.439355,0.438825,0.437596,0.435656,0.432924,0.429317,0.424813,0.419495
fisher,ood_high,3,0.040029,0.0696679,0.0939017,0.115558,0.137054,0.160511,0.187281,0.217159,0.247936,0.275632,0.295978,0.306874,0.309449,0.306567,0.300976,0.294551,0.288189,0.282137,0.276387,0.270917,0.265691,0.260626,0.255617,0.250547,0.245255,0.239526,0.233173,0.226151,0.218622
gs_alpha,id,3,0.0327145,0.0628829,0.0954401,0.128278,0.160627,0.19236,0.223126,0.254749,0.284052,0.308127,0.328386,0.347326,0.368863,0.394464,0.421255,0.447885,0.472297,0.49868,0.528605,0.555833,0.579033,0.601986,0.626836,0.650953,0.674342,0.697924,0.724273,0.753994,0.784399
gs_alpha,ood_low,3,0.0279414,0.0485793,0.0672407,0.084711,0.101376,0.118703,0.13963,0.168548,0.208835,0.257511,0.302377,0.347418,0.396554,0.448157,0.501043,0.552339,0.601252,0.649322,0.696121,0.740181,0.779976,0.813971,0.840681,0.860768,0.875838,0.889622,0.90495,0.920928,0.938453
gs_alpha,ood_high,3,0.0392879,0.0802118,0.131982,0.191078,0.251693,0.312277,0.369752,0.425364,0.474063,0.517737,0.557882,0.597067,0.636771,0.675722,0.713077,0.750669,0.783981,0.812935,0.838823,0.864202,0.893713,0.926793,0.957834,0.98336,1.00325,1.01749,1.02952,1.04057,1.04952
gs_beta,id,3,0.10411,0.23433,0.481362,0.860235,1.18653,1.28932,1.23714,1.21895,1.24968,1.27464,1.23709,1.17398,1.1713,1.09195,1.07679,1.14634,1.0991,1.03424,1.01574,0.994723,0.990695,0.994483,0.954562,0.926866,0.847245,0.895888,0.991783,0.969337,0.954364
gs_beta,ood_low,3,0.156644,0.283763,0.504251,0.708585,0.811503,0.868562,0.935386,0.96383,0.954481,1.01016,1.11028,1.12985,1.10067,1.08364,1.08099,1.13624,1.1894,1.17324,1.14629,1.15366,1.12116,1.09182,1.1187,1.15586,1.1496,1.15337,1.17568,1.14862,1.15659
gs_beta,ood_high,3,0.257483,0.909441,1.00014,1.06289,1.08338,1.05299,1.00596,0.991826,0.981381,0.967453,0.954347,0.947812,0.94747,0.948053,0.942735,0.935365,0.935519,0.942807,0.947324,0.943203,0.935891,0.935928,0.943025,0.947402,0.943694,0.93675,0.936397,0.942853,0.947094
gs_gamma,id,3,0.0428962,0.0803338,0.11302,0.140969,0.179941,0.263815,0.282754,0.363204,0.433079,0.434047,0.503888,0.546963,0.575144,0.627618,0.657054,0.698973,0.725829,0.747307,0.804133,0.830925,0.830072,0.864168,0.87377,0.881344,0.901467,0.913778,0.925672,0.94355,0.944207
gs_gamma,ood_low,3,0.0901972,0.25398,0.309808,0.376885,0.47802,0.536882,0.599397,0.69462,0.739899,0.780898,0.856766,0.88677,0.923728,0.991509,1.01052,1.02003,1.04975,1.05173,1.08237,1.11947,1.11012,1.1319,1.18691,1.15895,1.17077,1.21454,1.18758,1.19352,1.23748
gs_gamma,ood_high,3,0.117197,0.22029,0.206747,0.248643,0.340514,0.309917,0.347852,0.40587,0.384349,0.458474,0.504363,0.512592,0.558683,0.588397,0.597783,0.634408,0.670336,0.690917,0.714528,0.767058,0.776564,0.802845,0.814769,0.829316,0.850927,0.856752,0.87701,0.881274,0.883493
gs_delta,id,3,0.0250521,0.0404913,0.06928,0.0934466,0.12837,0.174943,0.249255,0.412072,0.618423,0.797037,0.921839,1.00943,1.08477,1.13188,1.1708,1.19975,1.1999,1.18649,1.15662,1.12842,1.10128,1.07802,1.05314,1.03143,1.01921,1.01507,1.01507,1.01569,1.01683
gs_delta,ood_low,3,0.0496674,0.0932712,0.161207,0.236817,0.32146,0.412027,0.504545,0.643275,0.836548,0.990383,1.101,1.18534,1.24994,1.29429,1.31669,1.32305,1.31412,1.29264,1.26257,1.23174,1.21406,1.19332,1.17013,1.15289,1.13655,1.12938,1.12225,1.11939,1.11684
gs_delta,ood_high,3,0.0377355,0.0970665,0.1904,0.282158,0.382281,0.480254,0.593878,0.700372,0.81708,0.920049,0.897277,0.871691,0.888628,0.890738,0.875948,0.890371,0.910888,0.928379,0.936932,0.94216,0.944818,0.945537,0.941477,0.937945,0.935986,0.934922,0.93415,0.934263,0.934641
gs_epsilon,id,3,0.0154645,0.0227232,0.0306853,0.0399108,0.0496723,0.0601978,0.0718448,0.0810012,0.0883138,0.0965052,0.106532,0.119575,0.137669,0.1622,0.18935,0.21289,0.231394,0.246768,0.260385,0.271845,0.28382,0.297133,0.315849,0.338546,0.363244,0.388548,0.410967,0.432121,0.452594
gs_epsilon,ood_low,3,0.0206543,0.0316599,0.0432007,0.0607452,0.086428,0.119607,0.160169,0.206383,0.245564,0.275642,0.298115,0.313958,0.32519,0.334347,0.342547,0.351011,0.361201,0.373444,0.387743,0.404543,0.426039,0.454992,0.491315,0.530679,0.568185,0.601188,0.627336,0.645939,0.658229
gs_epsilon,ood_high,3,0.0246452,0.0398995,0.0547893,0.0735964,0.0997803,0.132007,0.169788,0.205079,0.233583,0.254396,0.267704,0.276946,0.289664,0.308507,0.330873,0.353153,0.372385,0.387344,0.400287,0.412491,0.425193,0.439799,0.456637,0.475258,0.495042,0.515205,0.536081,0.558342,0.581838
gs_theta,id,3,0.0186443,0.0508096,0.163992,0.280033,0.347401,0.370629,0.423725,0.51524,0.60781,0.694768,0.784572,0.86384,0.922119,0.967845,1.01016,1.0401,1.05574,1.06404,1.06994,1.07404,1.07361,1.07136,1.07002,1.06523,1.05917,1.05653,1.05587,1.05533,1.05497
gs_theta,ood_low,3,0.0461171,0.122962,0.308087,0.510799,0.640155,0.70971,0.765824,0.817214,0.875003,0.935802,0.985237,1.02294,1.06245,1.10829,1.14604,1.16656,1.1751,1.17063,1.16051,1.15283,1.14984,1.1455,1.14017,1.13433,1.12868,1.12373,1.12187,1.1219,1.12182
gs_theta,ood_high,3,0.0464756,0.232095,0.353039,0.361241,0.417023,0.519669,0.59061,0.62663,0.664284,0.713403,0.763779,0.815914,0.872969,0.920046,0.971646,1.01909,1.04832,1.057,1.06113,1.06364,1.06161,1.05615,1.05158,1.0487,1.04374,1.04035,1.03929,1.03889,1.03871
gs_iota,id,3,0.0543028,0.0694435,0.0780985,0.0858405,0.101204,0.112957,0.137891,0.169894,0.202344,0.249914,0.298718,0.371645,0.43555,0.485257,0.55892,0.609378,0.634343,0.656881,0.677737,0.682217,0.679358,0.687129,0.686796,0.680494,0.677391,0.679353,0.683443,0.687102,0.690975
gs_iota,ood_low,3,0.0713503,0.104773,0.131054,0.179034,0.212785,0.23831,0.29844,0.346578,0.383287,0.44352,0.518961,0.574157,0.631181,0.714438,0.76975,0.801927,0.844528,0.867345,0.878685,0.890698,0.899842,0.907951,0.915601,0.921491,0.924223,0.927681,0.931686,0.935238,0.938304
gs_iota,ood_high,3,0.057326,0.105709,0.0857978,0.101409,0.172805,0.136329,0.157067,0.218661,0.225126,0.267186,0.323123,0.381949,0.449543,0.498903,0.547525,0.607226,0.63242,0.645884,0.670136,0.671984,0.66557,0.668346,0.671892,0.665726,0.661739,0.663607,0.666284,0.670041,0.673429
gs_kappa,id,3,0.0293321,0.040978,0.0532929,0.0669591,0.0866543,0.112368,0.132639,0.148218,0.170014,0.196408,0.230783,0.275582,0.327159,0.378988,0.430241,0.482576,0.527798,0.570671,0.608818,0.645687,0.680475,0.709962,0.740486,0.772852,0.800041,0.823447,0.843701,0.860118,0.875476
gs_kappa,ood_low,3,0.0471538,0.0771296,0.104688,0.134383,0.168455,0.204564,0.240067,0.270941,0.308799,0.346633,0.383584,0.426392,0.468619,0.506286,0.538383,0.568318,0.605647,0.644023,0.678042,0.706565,0.728176,0.750246,0.772875,0.790722,0.805269,0.815865,0.824869,0.833166,0.841395
gs_kappa,ood_high,3,0.042966,0.067637,0.0885993,0.112463,0.138882,0.170253,0.205735,0.245503,0.284319,0.324097,0.364358,0.405884,0.449611,0.488702,0.522367,0.555242,0.592429,0.634323,0.676355,0.717766,0.75419,0.788458,0.823459,0.853184,0.876177,0.899991,0.92275,0.942871,0.960494
sh,id,3,0.0672782,0.145535,0.222008,0.28435,0.329248,0.361411,0.385986,0.406899,0.424321,0.437435,0.446881,0.455192,0.46605,0.481487,0.501227,0.523547,0.546487,0.569023,0.590439,0.609859,0.626704,0.641013,0.653181,0.663552,0.67242,0.680103,0.686898,0.693064,0.698809
sh,ood_low,3,0.0791457,0.170229,0.2693,0.363196,0.434376,0.47754,0.499891,0.509604,0.511038,0.506274,0.498972,0.493831,0.494671,0.504418,0.525064,0.557554,0.601524,0.654847,0.713741,0.773933,0.831971,0.885382,0.931975,0.969617,0.997118,1.01468,1.02303,1.02297,1.01583
sh,ood_high,3,0.0938494,0.16604,0.217591,0.255552,0.286742,0.314098,0.338567,0.361414,0.387217,0.419877,0.457372,0.494068,0.526159,0.553028,0.575514,0.594893,0.611643,0.62576,0.637311,0.646806,0.655035,0.662637,0.669927,0.677015,0.68405,0.691081,0.69798,0.704687,0.711241
decay_turb,id,3,0.137778,0.225528,0.285127,0.321593,0.34918,0.371292,0.386405,0.399314,0.407168,0.410407,0.414237,0.412359,0.404735,0.394812,0.382478,0.368931,0.356492,0.34728,0.340724,0.338114,0.338423,0.339842,0.340083,0.337355,0.331321,0.322694,0.312653,0.302657,0.294404
decay_turb,ood_low,3,0.198846,0.327042,0.41605,0.477894,0.524011,0.560122,0.585356,0.605154,0.618067,0.627862,0.636162,0.638324,0.637005,0.631552,0.624536,0.619408,0.613423,0.607022,0.601443,0.593062,0.580977,0.568642,0.556759,0.546108,0.537046,0.529465,0.524522,0.522923,0.523863
decay_turb,ood_high,3,0.11525,0.187191,0.236443,0.265407,0.287314,0.303069,0.312911,0.321938,0.326956,0.328814,0.331407,0.32975,0.32293,0.314452,0.304743,0.295003,0.286756,0.280945,0.276847,0.273853,0.272048,0.271616,0.272546,0.274328,0.276173,0.277381,0.277699,0.277334,0.276688
kolm_flow,id,3,0.0659595,0.0752335,0.0857338,0.102246,0.12831,0.167578,0.203051,0.23913,0.291273,0.344806,0.391852,0.426778,0.453184,0.480934,0.502267,0.529415,0.562183,0.594928,0.624586,0.660437,0.700559,0.758784,0.829842,0.91321,0.98379,1.01076,1.0281,1.06318,1.11065
kolm_flow,ood_low,3,0.13742,0.159301,0.182691,0.211514,0.246319,0.278333,0.315612,0.35026,0.38026,0.417693,0.467448,0.507648,0.554688,0.620219,0.666864,0.702276,0.743965,0.800283,0.856812,0.920213,0.992126,1.04151,1.06046,1.06059,1.06303,1.084,1.11306,1.11873,1.13097
kolm_flow,ood_high,3,0.0456195,0.0574802,0.0685084,0.0794277,0.0962485,0.119019,0.15172,0.192884,0.228556,0.251924,0.279036,0.309725,0.350077,0.392218,0.438044,0.477594,0.529914,0.598451,0.684139,0.745263,0.78845,0.821538,0.858153,0.9007,0.947522,1.0066,1.06948,1.11349,1.1403
macro_avg,id,51,0.0486064,0.0824055,0.124666,0.171987,0.21461,0.245173,0.266044,0.300067,0.339817,0.373708,0.404409,0.429948,0.455707,0.475965,0.499029,0.525348,0.539635,0.551133,0.565895,0.577657,0.587965,0.602169,0.612745,0.624078,0.632161,0.64498,0.659837,0.668886,0.677971
micro_avg,id,51,0.0486064,0.0824055,0.124666,0.171987,0.21461,0.245173,0.266044,0.300067,0.339817,0.373708,0.404409,0.429948,0.455707,0.475965,0.499029,0.525348,0.539635,0.551133,0.565895,0.577657,0.587965,0.602169,0.612745,0.624078,0.632161,0.64498,0.659837,0.668886,0.677971
macro_avg,ood_low,51,0.0753115,0.131303,0.188388,0.245167,0.29145,0.326891,0.363312,0.400304,0.434324,0.470861,0.509262,0.535741,0.55904,0.586479,0.607372,0.627501,0.64886,0.663179,0.677008,0.693182,0.704762,0.716427,0.730878,0.739155,0.746048,0.756005,0.762696,0.766564,0.774474
micro_avg,ood_low,51,0.0753115,0.131303,0.188388,0.245167,0.29145,0.326891,0.363312,0.400304,0.434324,0.470861,0.509262,0.535741,0.55904,0.586479,0.607372,0.627501,0.64886,0.663179,0.677008,0.693182,0.704762,0.716427,0.730878,0.739155,0.746048,0.756005,0.762696,0.766564,0.774474
macro_avg,ood_high,51,0.069634,0.156048,0.193181,0.225639,0.265244,0.291453,0.323611,0.359157,0.386253,0.419083,0.442972,0.46391,0.490218,0.512244,0.531272,0.553027,0.572712,0.590232,0.607872,0.623182,0.633541,0.644927,0.655776,0.665919,0.675677,0.685175,0.696025,0.705163,0.712905
micro_avg,ood_high,51,0.069634,0.156048,0.193181,0.225639,0.265244,0.291453,0.323611,0.359157,0.386253,0.419083,0.442972,0.46391,0.490218,0.512244,0.531272,0.553027,0.572712,0.590232,0.607872,0.623182,0.633541,0.644927,0.655776,0.665919,0.675677,0.685175,0.696025,0.705163,0.712905
