dataset,condition,count,nRMSE_1,nRMSE_2,nRMSE_3,nRMSE_4,nRMSE_5,nRMSE_6,nRMSE_7,nRMSE_8,nRMSE_9,nRMSE_10,nRMSE_11,nRMSE_12,nRMSE_13,nRMSE_14,nRMSE_15,nRMSE_16,nRMSE_17,nRMSE_18,nRMSE_19,nRMSE_20,nRMSE_21,nRMSE_22,nRMSE_23,nRMSE_24,nRMSE_25,nRMSE_26,nRMSE_27,nRMSE_28,nRMSE_29
diff,id,3,0.0302648,0.0445975,0.0451106,0.0418501,0.0412008,0.045183,0.0522472,0.0602362,0.0679922,0.0750568,0.0812773,0.0866284,0.0911409,0.0948748,0.097906,0.100319,0.102207,0.103663,0.104783,0.105655,0.10636,0.106965,0.107525,0.108084,0.108671,0.10931,0.110017,0.110801,0.111669
diff,ood_low,3,0.124586,0.221911,0.275906,0.306608,0.326584,0.341232,0.352949,0.362931,0.371845,0.3801,0.387966,0.395627,0.403214,0.410819,0.418499,0.426284,0.434179,0.44217,0.450226,0.458305,0.466362,0.474351,0.482235,0.489982,0.497569,0.504982,0.512212,0.519257,0.526118
diff,ood_high,3,0.0576714,0.0944575,0.126898,0.156212,0.182267,0.205348,0.225814,0.243949,0.259964,0.274028,0.286303,0.296966,0.306215,0.314269,0.321356,0.327706,0.333529,0.339009,0.344295,0.349502,0.354715,0.359991,0.365366,0.370862,0.376491,0.382259,0.388166,0.394212,0.400395
hyp,id,3,0.0992903,0.152041,0.186629,0.211569,0.230465,0.245319,0.257429,0.267678,0.276673,0.284826,0.292417,0.299629,0.306585,0.313366,0.320023,0.326593,0.333101,0.339565,0.346002,0.352427,0.358853,0.365296,0.371771,0.378293,0.384881,0.391552,0.398326,0.405222,0.412264
hyp,ood_low,3,0.0772095,0.11211,0.134007,0.151302,0.166945,0.18203,0.196913,0.211645,0.226165,0.240395,0.254278,0.267779,0.280885,0.293597,0.305922,0.317872,0.32946,0.340701,0.351611,0.362203,0.372493,0.382496,0.392228,0.401704,0.41094,0.419952,0.428757,0.437372,0.445814
hyp,ood_high,3,0.113816,0.181097,0.227732,0.263253,0.292067,0.316245,0.336797,0.354286,0.369094,0.381539,0.391912,0.400492,0.407544,0.413314,0.418032,0.421903,0.425115,0.427837,0.430215,0.432384,0.43446,0.436548,0.438739,0.441118,0.443756,0.446722,0.450076,0.453874,0.458168
burgers,id,3,0.0354745,0.0521625,0.0699221,0.0883026,0.106947,0.126502,0.145516,0.163935,0.18121,0.197963,0.213815,0.229119,0.244015,0.258568,0.272901,0.286679,0.300201,0.313457,0.326143,0.338075,0.349068,0.359157,0.368523,0.377652,0.386627,0.395776,0.404503,0.413054,0.421677
burgers,ood_low,3,0.0455163,0.0639714,0.0832575,0.102645,0.121776,0.141648,0.160767,0.179264,0.196527,0.213334,0.229202,0.244443,0.259572,0.274135,0.288516,0.302109,0.315343,0.328376,0.340928,0.3526,0.363367,0.373252,0.382474,0.391536,0.40046,0.409478,0.418267,0.426844,0.435399
burgers,ood_high,3,0.0296209,0.045786,0.0628194,0.0805502,0.098762,0.117834,0.136527,0.154608,0.17164,0.188103,0.203725,0.218739,0.233252,0.247508,0.261541,0.275178,0.288643,0.301922,0.314615,0.326589,0.337646,0.347839,0.357233,0.366367,0.375322,0.384354,0.39311,0.401675,0.410316
kdv,id,3,0.0341708,0.0432809,0.0512714,0.0590839,0.0672901,0.0759127,0.0849188,0.0944958,0.10499,0.116544,0.128841,0.141215,0.153277,0.165021,0.176559,0.187947,0.199257,0.210511,0.221749,0.233075,0.244528,0.256135,0.26791,0.279837,0.291897,0.304064,0.316312,0.328625,0.341008
