dataset,source_dataset,source_file,source_num_simulations,source_num_frames,selected_sim_ids,selected_num_simulations,num_test_trajectories,num_evaluated_trajectories,trajectory_length,shape,nRMSE_1,nRMSE_2,nRMSE_3,nRMSE_4,nRMSE_5,nRMSE_6,nRMSE_7,nRMSE_8,nRMSE_9,nRMSE_10,nRMSE_11,nRMSE_12,nRMSE_13,nRMSE_14,nRMSE_15,nRMSE_16,nRMSE_17,nRMSE_18,nRMSE_19,nRMSE_20,nRMSE_21,nRMSE_22,nRMSE_23,nRMSE_24,nRMSE_25,nRMSE_26,nRMSE_27,nRMSE_28,nRMSE_29,elapsed_seconds
diff,diff,diff.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.0708407,0.120322,0.149305,0.168223,0.183351,0.197254,0.210337,0.222372,0.233267,0.243062,0.251849,0.25974,0.266857,0.273321,0.279254,0.28477,0.289972,0.294948,0.299768,0.304488,0.309146,0.313769,0.318375,0.322976,0.327577,0.332184,0.336798,0.341423,0.346061,5.632
hyp,hyp,hyp.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.0967719,0.148416,0.182789,0.208708,0.229825,0.247864,0.263713,0.27787,0.290644,0.302253,0.312869,0.322633,0.331671,0.340092,0.347992,0.355456,0.362559,0.369368,0.375943,0.382338,0.388602,0.39478,0.400913,0.407038,0.413192,0.419409,0.42572,0.432156,0.438749,5.079
burgers,burgers,burgers.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.0368706,0.0539733,0.0719997,0.0904993,0.109162,0.128662,0.147604,0.165936,0.183125,0.1998,0.215581,0.230767,0.245613,0.26007,0.274319,0.287989,0.301395,0.314585,0.327229,0.339088,0.350027,0.360083,0.36941,0.378519,0.38747,0.396536,0.405293,0.413857,0.422464,5.205
kdv,kdv,kdv.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.03417,0.0432799,0.0512703,0.0590826,0.0672887,0.0759112,0.0849173,0.0944943,0.104989,0.116542,0.12884,0.141213,0.153275,0.165019,0.176556,0.187944,0.199254,0.210508,0.221745,0.233071,0.244524,0.256131,0.267906,0.279832,0.291893,0.304059,0.316307,0.328619,0.341002,5.214
ks,ks,ks.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.0202446,0.0367274,0.0557407,0.0782386,0.104521,0.134567,0.167307,0.20224,0.238725,0.275541,0.310417,0.344733,0.379317,0.415476,0.451458,0.488115,0.525692,0.562271,0.596802,0.628961,0.659434,0.688378,0.715339,0.740504,0.763633,0.784434,0.803232,0.821462,0.838994,5.147
fisher,fisher,fisher.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.0390609,0.0645575,0.0876764,0.110309,0.133676,0.158639,0.18561,0.214203,0.243092,0.270201,0.293313,0.311072,0.323486,0.331471,0.336157,0.338526,0.33928,0.338879,0.337613,0.335703,0.333324,0.330581,0.327504,0.324063,0.320174,0.315699,0.310511,0.304592,0.298082,5.139
gs_alpha,gs_alpha,gs_alpha.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.0333146,0.0638913,0.098221,0.134689,0.171232,0.20778,0.244169,0.282887,0.322317,0.361125,0.396215,0.430603,0.467396,0.506114,0.545125,0.583631,0.619177,0.653645,0.68785,0.720072,0.750907,0.780917,0.808451,0.831694,0.851143,0.868346,0.886248,0.905164,0.924125,5.232
gs_beta,gs_beta,gs_beta.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.172746,0.475844,0.661918,0.877236,1.02714,1.07029,1.05949,1.0582,1.06185,1.08409,1.10057,1.08388,1.07315,1.04121,1.03351,1.07265,1.07468,1.0501,1.03645,1.03053,1.01591,1.00741,1.00543,1.01004,0.980181,0.995335,1.03462,1.02027,1.01935,5.182
gs_gamma,gs_gamma,gs_gamma.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.0834302,0.184868,0.209858,0.255499,0.332825,0.370205,0.410001,0.487898,0.519109,0.557806,0.621672,0.648775,0.685852,0.735842,0.755119,0.784471,0.815305,0.829985,0.867011,0.905817,0.905586,0.932971,0.958483,0.956538,0.974387,0.995024,0.996753,1.00612,1.02173,5.194
gs_delta,gs_delta,gs_delta.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.037485,0.076943,0.140296,0.20414,0.277371,0.355742,0.449226,0.585239,0.75735,0.90249,0.973371,1.02215,1.07444,1.10564,1.12114,1.13772,1.14164,1.13583,1.11871,1.10077,1.08672,1.07229,1.05491,1.04075,1.03058,1.02646,1.02382,1.02311,1.02277,5.204
