dataset,condition,count,nRMSE_1,nRMSE_2,nRMSE_3,nRMSE_4,nRMSE_5,nRMSE_6,nRMSE_7,nRMSE_8,nRMSE_9,nRMSE_10,nRMSE_11,nRMSE_12,nRMSE_13,nRMSE_14,nRMSE_15,nRMSE_16,nRMSE_17,nRMSE_18,nRMSE_19,nRMSE_20,nRMSE_21,nRMSE_22,nRMSE_23,nRMSE_24,nRMSE_25,nRMSE_26,nRMSE_27,nRMSE_28,nRMSE_29
diff,id,3,0.0272732,0.0438258,0.0474185,0.0453441,0.0458386,0.0538091,0.0661002,0.0789625,0.0911542,0.102343,0.11246,0.121526,0.129596,0.136739,0.143035,0.148569,0.153433,0.157723,0.161536,0.164968,0.16811,0.171045,0.173846,0.176576,0.179284,0.182012,0.184787,0.187631,0.190558
diff,ood_low,3,0.125969,0.221731,0.276818,0.307096,0.324782,0.336452,0.345099,0.352062,0.358036,0.36343,0.368504,0.373433,0.378332,0.383277,0.388313,0.393461,0.398722,0.404086,0.409528,0.415019,0.420528,0.426025,0.431481,0.436872,0.442181,0.44739,0.452491,0.457476,0.462341
diff,ood_high,3,0.065734,0.107262,0.145273,0.181281,0.214773,0.245835,0.274763,0.301805,0.327144,0.350915,0.373238,0.394227,0.414006,0.432711,0.450493,0.467513,0.48394,0.49994,0.515668,0.531266,0.546854,0.562532,0.578382,0.594467,0.610832,0.627514,0.644536,0.661918,0.679672
hyp,id,3,0.102201,0.158328,0.196487,0.225072,0.247612,0.266057,0.281665,0.295292,0.307526,0.318771,0.329303,0.339313,0.348932,0.358255,0.367354,0.376286,0.385098,0.393837,0.402544,0.411263,0.420038,0.428916,0.437943,0.447172,0.456654,0.466448,0.476612,0.487213,0.498319
hyp,ood_low,3,0.08028,0.117474,0.140735,0.158803,0.174888,0.190204,0.205138,0.219741,0.233959,0.247725,0.261003,0.273789,0.286101,0.297971,0.309437,0.320536,0.331306,0.341781,0.351996,0.36198,0.371764,0.381376,0.390844,0.400198,0.409466,0.41868,0.427871,0.437074,0.446325
hyp,ood_high,3,0.11702,0.188291,0.239357,0.279552,0.313139,0.342099,0.367394,0.389569,0.409007,0.42604,0.440982,0.454136,0.465793,0.476227,0.485695,0.494432,0.502653,0.510556,0.518318,0.526102,0.534057,0.54232,0.551018,0.560271,0.570195,0.580898,0.592492,0.605084,0.618786
burgers,id,3,0.0371305,0.0556877,0.0753846,0.0958707,0.116877,0.138934,0.160543,0.181468,0.201215,0.220492,0.238805,0.256632,0.274083,0.291311,0.308538,0.325873,0.343333,0.360749,0.377719,0.394404,0.41056,0.426076,0.441371,0.456701,0.472281,0.488302,0.504508,0.520603,0.536404
burgers,ood_low,3,0.0469929,0.0670483,0.087973,0.109186,0.130439,0.152608,0.174119,0.194909,0.214438,0.233555,0.251679,0.269272,0.286755,0.303805,0.320887,0.337853,0.354863,0.371908,0.38847,0.404649,0.420281,0.435287,0.450133,0.465079,0.480204,0.495759,0.511606,0.5273,0.54262
burgers,ood_high,3,0.0315014,0.0498496,0.0691436,0.0892663,0.110083,0.131875,0.153375,0.174196,0.193956,0.213201,0.231553,0.249361,0.266707,0.283922,0.301135,0.318565,0.336196,0.353804,0.371032,0.38803,0.404523,0.420442,0.436111,0.451778,0.467724,0.484063,0.500685,0.517207,0.533461
kdv,id,3,0.0357681,0.0466076,0.0562817,0.065647,0.0752934,0.0851886,0.0951668,0.105303,0.115883,0.127221,0.139602,0.152922,0.166809,0.181037,0.195513,0.210155,0.224919,0.239712,0.254448,0.269142,0.283814,0.298505,0.313268,0.32813,0.343115,0.358237,0.373482,0.388843,0.404331
kdv,ood_low,3,0.0357902,0.0466357,0.0563145,0.0656835,0.0753332,0.0852313,0.0952122,0.105351,0.115932,0.127271,0.139652,0.152974,0.166863,0.181095,0.195576,0.210223,0.224992,0.239791,0.254533,0.269232,0.283909,0.298605,0.313372,0.328239,0.343228,0.358353,0.373602,0.388966,0.404455
kdv,ood_high,3,0.0357437,0.0465767,0.0562458,0.065607,0.0752499,0.0851418,0.0951171,0.105251,0.11583,0.127167,0.139547,0.152866,0.166749,0.180973,0.195444,0.210081,0.224839,0.239626,0.254356,0.269044,0.28371,0.298395,0.313154,0.328011,0.342991,0.358109,0.373351,0.388708,0.404194
ks,id,3,0.0192001,0.04021,0.0672465,0.100766,0.144773,0.201056,0.270091,0.349596,0.431349,0.511582,0.589189,0.665618,0.742281,0.81687,0.889422,0.957872,1.01632,1.06446,1.1058,1.14408,1.18163,1.22182,1.26482,1.30398,1.33337,1.34867,1.35552,1.3617,1.36849
ks,ood_low,3,0.0291759,0.0517416,0.0700348,0.0905524,0.113909,0.139786,0.166922,0.194425,0.222375,0.249566,0.275983,0.300651,0.323756,0.344723,0.364496,0.383203,0.401287,0.418497,0.435686,0.452984,0.471371,0.491027,0.512801,0.53706,0.564805,0.596935,0.635033,0.680628,0.735538
ks,ood_high,3,0.0314226,0.0557276,0.0857893,0.123469,0.169406,0.222598,0.281228,0.34481,0.41492,0.488608,0.561062,0.628718,0.690619,0.749529,0.807881,0.86561,0.920986,0.971703,1.01625,1.05542,1.0907,1.12221,1.14904,1.17089,1.19029,1.20926,1.22794,1.24522,1.26095
fisher,id,3,0.0205937,0.0363395,0.0508512,0.065914,0.082832,0.102477,0.125256,0.150952,0.178671,0.206871,0.233564,0.256891,0.275723,0.289841,0.299759,0.306381,0.310695,0.313678,0.316129,0.318492,0.320883,0.323253,0.32548,0.327368,0.32867,0.329166,0.328758,0.327482,0.325479
fisher,ood_low,3,0.0548578,0.0838321,0.111753,0.139754,0.168028,0.196423,0.224601,0.252095,0.278331,0.302869,0.325453,0.345986,0.364482,0.380977,0.395459,0.407879,0.418205,0.426498,0.432965,0.437934,0.441747,0.444677,0.446893,0.448463,0.449382,0.449618,0.449152,0.448007,0.446232
fisher,ood_high,3,0.0412871,0.0723592,0.0980939,0.1211,0.14351,0.167221,0.193623,0.222947,0.253508,0.281636,0.303165,0.316,0.321157,0.321277,0.318868,0.315695,0.312814,0.310792,0.309831,0.309844,0.310582,0.311768,0.313103,0.314247,0.314844,0.314609,0.313407,0.311272,0.308375
gs_alpha,id,3,0.0284794,0.0483007,0.0640778,0.0757071,0.0865448,0.102868,0.122241,0.148798,0.187462,0.230318,0.275396,0.319232,0.361233,0.403069,0.444909,0.485639,0.521315,0.553914,0.583199,0.609164,0.637135,0.668162,0.702105,0.736572,0.771083,0.804868,0.837493,0.87416,0.916058
gs_alpha,ood_low,3,0.0278892,0.0457348,0.0610987,0.080886,0.110145,0.152376,0.207997,0.27673,0.353051,0.430468,0.501838,0.567211,0.628253,0.687953,0.745971,0.800584,0.851232,0.897259,0.938273,0.975273,1.00832,1.03604,1.05636,1.07267,1.08988,1.10657,1.12258,1.14005,1.15999
gs_alpha,ood_high,3,0.0330167,0.0613972,0.0927816,0.123934,0.151571,0.175072,0.19697,0.221949,0.248196,0.278075,0.307354,0.333011,0.358061,0.389934,0.429656,0.467962,0.498135,0.524632,0.548282,0.570591,0.593973,0.618558,0.645553,0.675977,0.705819,0.733433,0.758567,0.782367,0.810547
gs_beta,id,3,0.112471,0.254645,0.528346,0.935448,1.26588,1.36533,1.31596,1.30141,1.34204,1.37442,1.3398,1.26041,1.26474,1.19667,1.17302,1.23849,1.23777,1.1833,1.19,1.16608,1.13622,1.13527,1.13008,1.10364,1.00316,1.0383,1.12777,1.13394,1.09888
gs_beta,ood_low,3,0.16645,0.304804,0.53438,0.73903,0.833211,0.876623,0.933552,0.956516,0.939292,0.978144,1.06976,1.10543,1.08955,1.07215,1.07288,1.11824,1.18725,1.17909,1.15472,1.15624,1.14613,1.10662,1.13793,1.19405,1.19849,1.17783,1.1995,1.20859,1.23698
gs_beta,ood_high,3,0.272343,0.942802,1.04625,1.13103,1.2076,1.2784,1.32651,1.30806,1.289,1.31728,1.38161,1.39871,1.35125,1.3129,1.30813,1.25338,1.20306,1.24888,1.36961,1.39617,1.45473,1.46756,1.41968,1.378,1.39484,1.45511,1.47841,1.43333,1.39075
gs_gamma,id,3,0.0466976,0.0830544,0.144223,0.165889,0.214717,0.296771,0.348051,0.422383,0.473242,0.484586,0.562302,0.620775,0.651277,0.689613,0.717007,0.754746,0.775278,0.814272,0.851516,0.864629,0.910729,0.917666,0.920295,0.942773,0.958937,0.966039,0.990713,1.00924,0.999274
gs_gamma,ood_low,3,0.0959722,0.261331,0.314763,0.382503,0.489532,0.545134,0.605626,0.704233,0.752401,0.789657,0.871786,0.902406,0.937681,0.991592,1.00672,1.02728,1.05451,1.05566,1.09092,1.12453,1.11203,1.14529,1.19185,1.17158,1.1956,1.23605,1.2021,1.21352,1.24919
gs_gamma,ood_high,3,0.116343,0.224327,0.201352,0.244759,0.338418,0.295874,0.353349,0.412562,0.388675,0.466677,0.498286,0.511699,0.56591,0.575207,0.588554,0.628892,0.665104,0.68368,0.717528,0.752008,0.756551,0.797203,0.821443,0.825578,0.845413,0.849033,0.858785,0.866907,0.885945
gs_delta,id,3,0.0214189,0.0393294,0.0705868,0.0957534,0.135359,0.190643,0.274101,0.434497,0.630873,0.80076,0.92619,1.00819,1.08508,1.13109,1.16745,1.19615,1.19861,1.18105,1.15756,1.13551,1.10489,1.07765,1.05586,1.03801,1.02338,1.0185,1.01693,1.01671,1.01757
gs_delta,ood_low,3,0.0440181,0.0885215,0.156162,0.237482,0.330302,0.423591,0.517937,0.655003,0.838575,0.986567,1.09396,1.18277,1.24592,1.28628,1.30748,1.31408,1.30643,1.28499,1.25751,1.22397,1.20115,1.17853,1.16271,1.14721,1.13094,1.12188,1.11525,1.11378,1.11265
gs_delta,ood_high,3,0.040081,0.0977456,0.19047,0.280117,0.380136,0.476922,0.587553,0.695654,0.809972,0.907545,0.887347,0.866996,0.888448,0.891274,0.885321,0.898438,0.920202,0.942931,0.952119,0.958694,0.960703,0.961852,0.958057,0.954371,0.952034,0.951549,0.951332,0.951858,0.952304
gs_epsilon,id,3,0.0171049,0.0263935,0.0359426,0.0462658,0.0571061,0.0691826,0.0821049,0.0925983,0.101989,0.111865,0.123421,0.138593,0.157639,0.178586,0.20029,0.220647,0.238244,0.254105,0.269377,0.284328,0.299947,0.319042,0.342228,0.364413,0.386573,0.408771,0.431027,0.452884,0.474104
gs_epsilon,ood_low,3,0.0251647,0.0415958,0.0573189,0.0769261,0.103635,0.138785,0.181582,0.22592,0.263804,0.294075,0.317127,0.333588,0.345514,0.355664,0.365674,0.376872,0.390676,0.407645,0.427895,0.450324,0.474933,0.504481,0.541016,0.580088,0.616386,0.647572,0.673075,0.693315,0.707915
gs_epsilon,ood_high,3,0.0219151,0.0337365,0.0461369,0.0637425,0.0905374,0.125441,0.161953,0.19439,0.221801,0.2433,0.25873,0.269998,0.282971,0.301929,0.325144,0.349152,0.371336,0.389789,0.405706,0.41996,0.433055,0.446988,0.462516,0.479362,0.497493,0.516572,0.537261,0.560888,0.587713
