dataset,source_dataset,source_file,source_num_simulations,source_num_frames,selected_sim_ids,selected_num_simulations,num_test_trajectories,num_evaluated_trajectories,trajectory_length,shape,nRMSE_1,nRMSE_2,nRMSE_3,nRMSE_4,nRMSE_5,nRMSE_6,nRMSE_7,nRMSE_8,nRMSE_9,nRMSE_10,nRMSE_11,nRMSE_12,nRMSE_13,nRMSE_14,nRMSE_15,nRMSE_16,nRMSE_17,nRMSE_18,nRMSE_19,nRMSE_20,nRMSE_21,nRMSE_22,nRMSE_23,nRMSE_24,nRMSE_25,nRMSE_26,nRMSE_27,nRMSE_28,nRMSE_29,elapsed_seconds
diff,diff,diff.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.0729921,0.124273,0.156503,0.177907,0.195131,0.212032,0.228654,0.244277,0.258778,0.272229,0.284734,0.296395,0.307311,0.317576,0.32728,0.336514,0.345365,0.353916,0.362244,0.370417,0.378497,0.386534,0.39457,0.402638,0.410766,0.418972,0.427272,0.435675,0.44419,5.680
hyp,hyp,hyp.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.0998336,0.154698,0.192193,0.221142,0.245213,0.26612,0.284732,0.301534,0.31683,0.330845,0.343763,0.355746,0.366942,0.377484,0.387495,0.397084,0.406352,0.415391,0.424286,0.433115,0.441953,0.45087,0.459935,0.469214,0.478772,0.488675,0.498992,0.50979,0.521143,5.109
burgers,burgers,burgers.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.0385416,0.0575285,0.0775004,0.0981078,0.119133,0.141139,0.162679,0.183524,0.203203,0.222416,0.240679,0.258422,0.275848,0.293013,0.310187,0.32743,0.344797,0.362154,0.379074,0.395694,0.411788,0.427268,0.442538,0.457853,0.473403,0.489375,0.505599,0.521703,0.537495,5.245
kdv,kdv,kdv.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.0357673,0.0466066,0.0562807,0.0656459,0.0752922,0.0851872,0.0951654,0.105302,0.115882,0.127219,0.1396,0.152921,0.166807,0.181035,0.195511,0.210153,0.224917,0.23971,0.254446,0.26914,0.283811,0.298501,0.313265,0.328126,0.343111,0.358233,0.373478,0.388839,0.404327,5.197
ks,ks,ks.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.0265995,0.0492264,0.0743569,0.104929,0.142696,0.187813,0.239414,0.296277,0.356215,0.416585,0.475411,0.531662,0.585552,0.637041,0.687266,0.735562,0.779531,0.81822,0.852581,0.88416,0.914567,0.945019,0.975554,1.00398,1.02949,1.05162,1.07283,1.09585,1.12166,5.086
fisher,fisher,fisher.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.0389129,0.0641769,0.0868994,0.108923,0.131457,0.155374,0.18116,0.208665,0.236837,0.263792,0.287394,0.306293,0.320454,0.330698,0.338029,0.343318,0.347238,0.350322,0.352975,0.355423,0.357737,0.359899,0.361825,0.363359,0.364299,0.364464,0.363772,0.362254,0.360029,5.137
gs_alpha,gs_alpha,gs_alpha.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.0297951,0.0518109,0.0726527,0.093509,0.116087,0.143439,0.175736,0.215825,0.262903,0.312954,0.361529,0.406484,0.449182,0.493652,0.540179,0.584728,0.62356,0.658602,0.689918,0.718343,0.746474,0.774254,0.801338,0.828406,0.855593,0.881624,0.906212,0.932192,0.962197,5.226
gs_beta,gs_beta,gs_beta.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.183755,0.50075,0.702993,0.93517,1.10223,1.17345,1.19201,1.18866,1.19011,1.22328,1.26372,1.25485,1.23518,1.19391,1.18468,1.20337,1.20936,1.20375,1.23811,1.2395,1.24569,1.23648,1.22923,1.22523,1.19883,1.22375,1.26856,1.25862,1.2422,5.231
gs_gamma,gs_gamma,gs_gamma.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.0863376,0.189571,0.220113,0.264384,0.347556,0.379259,0.435675,0.51306,0.538106,0.580306,0.644124,0.678294,0.718289,0.752138,0.770762,0.803639,0.83163,0.851203,0.886655,0.913724,0.926436,0.953385,0.977864,0.979976,0.999982,1.01704,1.0172,1.02989,1.0448,5.229
gs_delta,gs_delta,gs_delta.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.0351727,0.0751988,0.139073,0.204451,0.281932,0.363719,0.459863,0.595052,0.759807,0.898291,0.969167,1.01932,1.07315,1.10288,1.12008,1.13622,1.14175,1.13632,1.1224,1.10606,1.08891,1.07267,1.05888,1.04653,1.03545,1.03064,1.02784,1.02745,1.02751,5.202
