dataset,sim_id,condition,seed,parameter_overrides,numerical_overrides,nRMSE_1,nRMSE_2,nRMSE_3,nRMSE_4,nRMSE_5,nRMSE_6,nRMSE_7,nRMSE_8,nRMSE_9,nRMSE_10,nRMSE_11,nRMSE_12,nRMSE_13,nRMSE_14,nRMSE_15,nRMSE_16,nRMSE_17,nRMSE_18,nRMSE_19,nRMSE_20,nRMSE_21,nRMSE_22,nRMSE_23,nRMSE_24,nRMSE_25,nRMSE_26,nRMSE_27,nRMSE_28,nRMSE_29
diff,0,id,2026072201,"{""Viscosity X"": 0.0275, ""Viscosity Y"": 0.0275}",{},0.013867825269699097,0.021796658635139465,0.03005286306142807,0.03953857719898224,0.050060346722602844,0.0611763671040535,0.07250651717185974,0.08376822620630264,0.09475536644458771,0.10531853139400482,0.11535155028104782,0.12478193640708923,0.13356389105319977,0.14167238771915436,0.14910024404525757,0.1558549702167511,0.16195690631866455,0.16743701696395874,0.1723349690437317,0.17669683694839478,0.18057258427143097,0.184014230966568,0.1870736926794052,0.1898014098405838,0.19224520027637482,0.19444938004016876,0.19645442068576813,0.19829678535461426,0.20000891387462616
diff,1,id,2026072202,"{""Viscosity X"": 0.0275, ""Viscosity Y"": 0.0275}",{},0.05943889543414116,0.09332805126905441,0.08838015049695969,0.06555899977684021,0.04975740984082222,0.05613201484084129,0.07558942586183548,0.09715183824300766,0.11728484183549881,0.13512128591537476,0.15054185688495636,0.1636606603860855,0.17466673254966736,0.18377584218978882,0.1912144124507904,0.19721493124961853,0.20201396942138672,0.2058519423007965,0.20896686613559723,0.21158549189567566,0.2139163464307785,0.21614272892475128,0.21841907501220703,0.22086893022060394,0.22358450293540955,0.2266284078359604,0.23003710806369781,0.2338261604309082,0.23799528181552887
diff,2,id,2026072203,"{""Viscosity X"": 0.0275, ""Viscosity Y"": 0.0275}",{},0.008512988686561584,0.016352713108062744,0.023822475224733353,0.030934669077396393,0.037698063999414444,0.04411881044507027,0.05020467936992645,0.05596735700964928,0.06142253056168556,0.06658878922462463,0.07148626446723938,0.07613538205623627,0.08055619895458221,0.08476797491312027,0.08878909051418304,0.09263705462217331,0.09632851183414459,0.0998794436454773,0.10330522805452347,0.10662063211202621,0.10983993113040924,0.11297693103551865,0.11604485660791397,0.11905642598867416,0.12202368676662445,0.12495806813240051,0.12787041068077087,0.13077080249786377,0.1336686760187149
diff,3,ood_low,2026072201,"{""Viscosity X"": 0.00475, ""Viscosity Y"": 0.00475}",{},0.06345497816801071,0.11980722844600677,0.15399931371212006,0.1747743785381317,0.18845924735069275,0.1981431096792221,0.20560136437416077,0.21182511746883392,0.21736958622932434,0.2225545346736908,0.22756792604923248,0.23252065479755402,0.2374764233827591,0.24246995151042938,0.24751877784729004,0.2526301443576813,0.2578046917915344,0.2630384862422943,0.2683245837688446,0.2736537754535675,0.279015451669693,0.28439784049987793,0.28978869318962097,0.29517558217048645,0.300546258687973,0.3058890104293823,0.31119295954704285,0.3164482116699219,0.3216460645198822
diff,4,ood_low,2026072202,"{""Viscosity X"": 0.00475, ""Viscosity Y"": 0.00475}",{},0.28488028049468994,0.4882553815841675,0.5935112833976746,0.639358401298523,0.6559985280036926,0.6599651575088501,0.6583576798439026,0.6541080474853516,0.6486453413963318,0.6427859663963318,0.6370412707328796,0.6317465901374817,0.6271169781684875,0.6232826113700867,0.6203081011772156,0.6182036995887756,0.6169345378875732,0.616430401802063,0.6165962815284729,0.6173238754272461,0.6185023188591003,0.620026707649231,0.6218029856681824,0.6237513422966003,0.6258062720298767,0.6279169321060181,0.6300451755523682,0.6321637034416199,0.6342537999153137
diff,5,ood_low,2026072203,"{""Viscosity X"": 0.00475, ""Viscosity Y"": 0.00475}",{},0.02957184426486492,0.05713148042559624,0.08294419199228287,0.10715602338314056,0.1298881471157074,0.15124815702438354,0.17133720219135284,0.19025380909442902,0.2080937623977661,0.22494831681251526,0.24090197682380676,0.2560310959815979,0.2704036831855774,0.2840798497200012,0.2971124053001404,0.30954796075820923,0.3214276432991028,0.3327881097793579,0.3436621427536011,0.3540795147418976,0.3640672266483307,0.3736499547958374,0.38285061717033386,0.3916904628276825,0.4001891613006592,0.4083651304244995,0.41623565554618835,0.4238169193267822,0.4311240017414093
diff,6,ood_high,2026072201,"{""Viscosity X"": 0.0525, ""Viscosity Y"": 0.0525}",{},0.05655217915773392,0.09292905032634735,0.12322300672531128,0.15097005665302277,0.17726540565490723,0.20248639583587646,0.2267708033323288,0.25016963481903076,0.2727054953575134,0.2943968176841736,0.3152654469013214,0.3353392779827118,0.3546532392501831,0.3732500672340393,0.3911798298358917,0.408500075340271,0.42527419328689575,0.4415704011917114,0.4574596881866455,0.47301360964775085,0.4883034825325012,0.5033979415893555,0.5183621644973755,0.5332570672035217,0.5481381416320801,0.5630559921264648,0.5780558586120605,0.5931776762008667,0.6084569096565247
diff,7,ood_high,2026072202,"{""Viscosity X"": 0.0525, ""Viscosity Y"": 0.0525}",{},0.11375834792852402,0.17690441012382507,0.23700329661369324,0.294805109500885,0.34746280312538147,0.39468124508857727,0.4370690584182739,0.47520917654037476,0.5095242261886597,0.5403205156326294,0.5678584575653076,0.592390775680542,0.6141905188560486,0.6335700750350952,0.6508822441101074,0.6665112376213074,0.6808591485023499,0.6943208575248718,0.7072628140449524,0.720007061958313,0.7328216433525085,0.7459176182746887,0.7594537734985352,0.7735410928726196,0.7882508635520935,0.8036244511604309,0.8196799755096436,0.8364226222038269,0.8538488149642944
diff,8,ood_high,2026072203,"{""Viscosity X"": 0.0525, ""Viscosity Y"": 0.0525}",{},0.026891600340604782,0.05195172131061554,0.07559122890233994,0.09806695580482483,0.11959156394004822,0.1403384804725647,0.16044850647449493,0.1800374537706375,0.19920289516448975,0.21802887320518494,0.2365897297859192,0.2549518048763275,0.2731752097606659,0.2913139760494232,0.30941689014434814,0.32752805948257446,0.3456863760948181,0.3639272451400757,0.3822813928127289,0.4007762372493744,0.4194358289241791,0.4382812976837158,0.45733121037483215,0.4766017198562622,0.49610722064971924,0.5158602595329285,0.5358721613883972,0.5561529397964478,0.576711118221283
hyp,0,id,2026072201,"{""Hyper-Diffusivity"": 0.000275}",{},0.06999440491199493,0.10949274897575378,0.13719680905342102,0.15861308574676514,0.17608463764190674,0.19090424478054047,0.20387642085552216,0.21551893651485443,0.22616615891456604,0.23603400588035583,0.24526339769363403,0.2539486587047577,0.26215603947639465,0.26993507146835327,0.2773256003856659,0.2843617796897888,0.2910744249820709,0.29749223589897156,0.30364230275154114,0.3095504939556122,0.31524160504341125,0.32073965668678284,0.32606759667396545,0.3312475383281708,0.33630093932151794,0.34124860167503357,0.3461107015609741,0.3509067893028259,0.3556559681892395
