dataset,condition,count,nRMSE_1,nRMSE_2,nRMSE_3,nRMSE_4,nRMSE_5,nRMSE_6,nRMSE_7,nRMSE_8,nRMSE_9,nRMSE_10,nRMSE_11,nRMSE_12,nRMSE_13,nRMSE_14,nRMSE_15,nRMSE_16,nRMSE_17,nRMSE_18,nRMSE_19,nRMSE_20,nRMSE_21,nRMSE_22,nRMSE_23,nRMSE_24,nRMSE_25,nRMSE_26,nRMSE_27,nRMSE_28,nRMSE_29
diff,id,3,0.0330433,0.0485005,0.049183,0.0474985,0.0487433,0.0529584,0.0583901,0.0637301,0.0683912,0.0721863,0.0751032,0.0772047,0.0785927,0.0793845,0.0796981,0.0796442,0.0793236,0.0788228,0.0782138,0.0775555,0.0768963,0.0762759,0.0757268,0.075276,0.0749451,0.0747515,0.0747084,0.074825,0.0751069
diff,ood_low,3,0.124893,0.223297,0.277351,0.307058,0.325901,0.339809,0.351234,0.361307,0.370608,0.379451,0.387996,0.396322,0.404462,0.412431,0.420233,0.427871,0.435346,0.442663,0.44983,0.456852,0.463735,0.470486,0.47711,0.48361,0.48999,0.496251,0.502395,0.508425,0.514341
diff,ood_high,3,0.056622,0.0959535,0.130631,0.16034,0.185613,0.207278,0.226029,0.242402,0.256832,0.269685,0.281292,0.291938,0.30187,0.311303,0.320407,0.329305,0.338076,0.346772,0.355422,0.364041,0.372639,0.381218,0.389783,0.398337,0.406886,0.415435,0.423993,0.432567,0.441168
hyp,id,3,0.106596,0.166234,0.207426,0.238964,0.264597,0.28637,0.305564,0.323036,0.339364,0.354943,0.370046,0.384864,0.399539,0.414182,0.428888,0.443747,0.458851,0.474297,0.490192,0.506654,0.523819,0.541838,0.560879,0.581133,0.602813,0.626153,0.651411,0.67885,0.708746
hyp,ood_low,3,0.08812,0.128532,0.152074,0.168933,0.183191,0.19653,0.209587,0.222553,0.235458,0.248289,0.261033,0.273689,0.286268,0.298794,0.311303,0.323838,0.33645,0.349199,0.362152,0.375385,0.388986,0.403049,0.417685,0.433013,0.449172,0.466312,0.484601,0.504213,0.525334
hyp,ood_high,3,0.120972,0.196342,0.251755,0.296544,0.334949,0.368936,0.39946,0.427066,0.45214,0.475022,0.49604,0.515515,0.533766,0.551101,0.567819,0.58421,0.600554,0.617125,0.634195,0.652036,0.670929,0.691162,0.713041,0.736887,0.763046,0.791877,0.823747,0.85903,0.898096
burgers,id,3,0.0360483,0.0524834,0.070559,0.0897248,0.109372,0.129597,0.149406,0.168836,0.187106,0.204706,0.221226,0.237278,0.252931,0.268126,0.283148,0.29794,0.312803,0.327774,0.342592,0.35712,0.371161,0.384623,0.397799,0.411063,0.424584,0.438324,0.452007,0.466038,0.479788
burgers,ood_low,3,0.0459965,0.0641162,0.0836961,0.103918,0.12406,0.144539,0.164367,0.183798,0.201959,0.219523,0.235958,0.251827,0.267572,0.28263,0.29756,0.31201,0.326427,0.341009,0.355441,0.369482,0.38306,0.396056,0.408803,0.421758,0.434944,0.44828,0.461673,0.475364,0.488815
burgers,ood_high,3,0.030238,0.0462592,0.0636438,0.0821013,0.101273,0.121081,0.140688,0.159897,0.178067,0.195517,0.211956,0.227882,0.243349,0.258441,0.27337,0.288203,0.303227,0.31843,0.333486,0.348298,0.362645,0.376468,0.389986,0.403555,0.417369,0.431345,0.445372,0.459759,0.473827
kdv,id,3,0.0379848,0.0515434,0.0642613,0.0769392,0.0898904,0.103238,0.11706,0.131606,0.147173,0.164015,0.18208,0.201297,0.221543,0.242612,0.264356,0.28672,0.309702,0.333208,0.357214,0.381769,0.406837,0.432433,0.458514,0.484939,0.511501,0.538061,0.564456,0.590529,0.616213
kdv,ood_low,3,0.0380071,0.0515719,0.0642946,0.0769769,0.0899321,0.103284,0.117111,0.131661,0.147234,0.164082,0.182153,0.201377,0.22163,0.242706,0.264457,0.286827,0.309815,0.333326,0.357337,0.381898,0.406969,0.432568,0.458651,0.485076,0.511638,0.538194,0.564585,0.590651,0.616327
kdv,ood_high,3,0.0379603,0.0515122,0.0642247,0.076898,0.0898447,0.103188,0.117005,0.131545,0.147106,0.163942,0.181999,0.201209,0.221448,0.242509,0.264247,0.286603,0.309579,0.333078,0.357079,0.381629,0.406692,0.432285,0.458364,0.484788,0.511352,0.537915,0.564315,0.590395,0.616088
ks,id,3,0.017742,0.0324335,0.0485358,0.0667731,0.0875362,0.111096,0.139126,0.171809,0.208138,0.247598,0.292785,0.349875,0.415237,0.47435,0.525881,0.58306,0.64487,0.702868,0.754467,0.80565,0.862238,0.921966,0.978599,1.02996,1.07145,1.10217,1.13108,1.16327,1.19638
ks,ood_low,3,0.0213916,0.0392763,0.0580218,0.0776086,0.0985319,0.120553,0.143714,0.167683,0.192163,0.216695,0.240813,0.263998,0.285835,0.306048,0.32454,0.341317,0.356466,0.370106,0.382384,0.393458,0.403486,0.412624,0.421016,0.428802,0.436129,0.443159,0.450087,0.457129,0.46452
ks,ood_high,3,0.0352762,0.0650611,0.102906,0.15049,0.208439,0.274162,0.343299,0.411862,0.476026,0.535596,0.591801,0.644396,0.694271,0.742112,0.787919,0.833219,0.877625,0.916889,0.948847,0.975101,0.998084,1.01894,1.03802,1.05561,1.0724,1.08836,1.1036,1.11819,1.13223
fisher,id,3,0.0326257,0.0666827,0.10183,0.137324,0.172847,0.208522,0.244939,0.282739,0.321816,0.360934,0.397327,0.427434,0.448895,0.461378,0.466013,0.464839,0.460195,0.45375,0.446524,0.43915,0.432008,0.425289,0.419046,0.413239,0.407766,0.402486,0.397249,0.391907,0.386326
fisher,ood_low,3,0.0695394,0.113958,0.157512,0.199672,0.239481,0.276317,0.310028,0.341028,0.370065,0.397417,0.422668,0.445046,0.463975,0.47933,0.491339,0.500418,0.50718,0.512291,0.516227,0.519216,0.521259,0.522252,0.522112,0.520837,0.518495,0.515183,0.51099,0.50599,0.500243
fisher,ood_high,3,0.0395661,0.0735196,0.106183,0.139189,0.173351,0.209286,0.247415,0.287489,0.328153,0.366936,0.400102,0.423345,0.434801,0.436469,0.431794,0.423837,0.414889,0.40632,0.398771,0.392491,0.38751,0.383717,0.380913,0.378851,0.377256,0.375848,0.374357,0.37254,0.37019
gs_alpha,id,3,0.0347787,0.0661104,0.09825,0.129971,0.159907,0.188718,0.21667,0.247996,0.27728,0.302905,0.325613,0.344561,0.36313,0.384727,0.411573,0.442236,0.472438,0.504964,0.541255,0.573688,0.600785,0.625917,0.654379,0.682497,0.710745,0.742753,0.772169,0.799618,0.828088
gs_alpha,ood_low,3,0.03245,0.0539751,0.071162,0.0869217,0.104188,0.126773,0.156039,0.196648,0.25298,0.310508,0.363804,0.412506,0.459037,0.504733,0.549231,0.593357,0.638129,0.682016,0.722517,0.759528,0.794079,0.827991,0.858008,0.884046,0.906285,0.9265,0.946409,0.965865,0.983442
gs_alpha,ood_high,3,0.042752,0.087674,0.141956,0.199867,0.256227,0.309415,0.35953,0.408095,0.453933,0.499389,0.541419,0.580766,0.617929,0.65433,0.689447,0.725281,0.757922,0.783072,0.803508,0.823027,0.844915,0.870674,0.900484,0.932547,0.963986,0.98919,1.00714,1.02104,1.03496
gs_beta,id,3,0.0991744,0.227732,0.468108,0.834029,1.15154,1.25108,1.20315,1.18465,1.21132,1.24187,1.18662,1.0772,1.04072,0.969108,0.964449,1.06711,1.07706,1.05922,1.04868,1.01701,1.00754,1.03088,1.00039,0.969325,0.946221,1.02873,1.07212,0.984914,0.966902
gs_beta,ood_low,3,0.152629,0.265253,0.478994,0.687531,0.802596,0.869052,0.940407,0.963264,0.951165,1.03205,1.13944,1.1461,1.10309,1.07923,1.07359,1.13406,1.18301,1.16185,1.12745,1.13155,1.09685,1.07842,1.10279,1.11323,1.09221,1.12889,1.14439,1.12084,1.12343
gs_beta,ood_high,3,0.213825,0.784331,1.11648,1.27559,1.63023,2.15297,2.35445,2.26145,2.16534,2.2546,2.43578,2.48607,2.3361,2.21219,2.2784,2.4448,2.49444,2.35201,2.22759,2.28204,2.43874,2.49167,2.36049,2.23843,2.28316,2.43074,2.48679,2.36694,2.24801
gs_gamma,id,3,0.0455973,0.0899694,0.150053,0.167832,0.220491,0.30361,0.353385,0.4236,0.479346,0.510091,0.574621,0.598432,0.649716,0.692473,0.701546,0.752831,0.76192,0.779067,0.842487,0.841294,0.862557,0.896651,0.888681,0.889576,0.917069,0.930451,0.941567,0.95827,0.970684
gs_gamma,ood_low,3,0.168048,0.359292,0.45377,0.527867,0.590375,0.637099,0.688558,0.751652,0.785946,0.826034,0.890038,0.917231,0.954577,1.00236,1.01464,1.04006,1.06265,1.06352,1.09467,1.12349,1.12267,1.1461,1.18877,1.16522,1.18119,1.2257,1.19393,1.19858,1.24037
gs_gamma,ood_high,3,0.0684129,0.0843325,0.0960086,0.116034,0.145392,0.152131,0.190682,0.215865,0.25023,0.280596,0.301235,0.304393,0.33586,0.360167,0.364589,0.383295,0.40142,0.41166,0.423437,0.450492,0.450634,0.474319,0.493255,0.504018,0.528374,0.537216,0.557279,0.563997,0.573925
gs_delta,id,3,0.0233725,0.0397011,0.0686788,0.0932716,0.131121,0.182166,0.27237,0.476931,0.678302,0.835028,0.948965,1.02126,1.08127,1.11862,1.14597,1.16444,1.16355,1.15314,1.12726,1.10856,1.09071,1.08258,1.06801,1.05117,1.0397,1.03749,1.03569,1.03426,1.03503
gs_delta,ood_low,3,0.0481791,0.090206,0.157096,0.226549,0.305146,0.388351,0.474858,0.641569,0.843808,0.989563,1.09178,1.17444,1.23196,1.27618,1.29573,1.30092,1.29091,1.27109,1.24791,1.21422,1.19436,1.17486,1.15492,1.13602,1.11699,1.11015,1.10591,1.10246,1.10097
gs_delta,ood_high,3,0.0389729,0.0995899,0.193387,0.290656,0.391923,0.491997,0.622825,0.748267,0.848146,0.9305,0.883313,0.87233,0.889589,0.897431,0.893283,0.903947,0.922005,0.938442,0.945666,0.954041,0.958626,0.962783,0.966782,0.970669,0.973286,0.975124,0.976211,0.976839,0.97722
gs_epsilon,id,3,0.0189459,0.0291359,0.0403291,0.0542123,0.0695369,0.0828751,0.0973593,0.113841,0.133338,0.152943,0.172701,0.193398,0.215807,0.238649,0.258961,0.276868,0.293404,0.310346,0.329779,0.35172,0.374448,0.397255,0.421942,0.450178,0.479564,0.506412,0.529674,0.550002,0.567773
gs_epsilon,ood_low,3,0.0237322,0.0375281,0.0520277,0.0719057,0.100516,0.138375,0.179742,0.217985,0.250654,0.27737,0.2992,0.316212,0.329151,0.3397,0.349025,0.358185,0.368021,0.379214,0.393888,0.414978,0.442354,0.471686,0.500894,0.529039,0.5558,0.579267,0.598914,0.615502,0.630658
gs_epsilon,ood_high,3,0.0310118,0.0534353,0.0751635,0.100759,0.132285,0.161251,0.188298,0.212359,0.232268,0.247641,0.261053,0.276699,0.298887,0.330049,0.366626,0.40097,0.428963,0.453423,0.476865,0.497925,0.515542,0.53078,0.54473,0.55863,0.574111,0.592026,0.612805,0.636529,0.660805
gs_theta,id,3,0.020442,0.0631459,0.194956,0.318248,0.368096,0.398883,0.457325,0.559226,0.666993,0.761247,0.840419,0.906032,0.950404,0.984187,1.01337,1.03052,1.04231,1.0477,1.04601,1.04535,1.0416,1.03469,1.02945,1.02603,1.02383,1.02182,1.02135,1.02186,1.02229
gs_theta,ood_low,3,0.0502976,0.135325,0.336674,0.5367,0.645489,0.705091,0.767028,0.835365,0.899516,0.952492,0.998314,1.03403,1.06631,1.10453,1.13609,1.14926,1.15544,1.15216,1.13632,1.12093,1.10778,1.09739,1.08816,1.07842,1.07257,1.06777,1.06561,1.06484,1.06419
gs_theta,ood_high,3,0.0461524,0.231581,0.35215,0.358284,0.406874,0.515113,0.586438,0.62433,0.672255,0.726827,0.781387,0.833474,0.891931,0.934536,0.977676,1.01559,1.03647,1.03788,1.03791,1.03495,1.02875,1.02289,1.01771,1.013,1.00648,1.00124,0.998886,0.998522,0.998813
gs_iota,id,3,0.0551638,0.0695271,0.0782346,0.0902744,0.111899,0.13097,0.165532,0.212165,0.279725,0.346861,0.404171,0.49759,0.56163,0.597885,0.663734,0.70963,0.720529,0.732673,0.756705,0.762291,0.758374,0.765802,0.769733,0.764094,0.760247,0.760644,0.762461,0.764831,0.767272
gs_iota,ood_low,3,0.07349,0.107935,0.132579,0.177817,0.215352,0.244257,0.304675,0.357756,0.415443,0.489775,0.563827,0.630145,0.69515,0.763004,0.806831,0.857931,0.897194,0.911217,0.922912,0.93121,0.936902,0.943301,0.952328,0.956554,0.960156,0.963875,0.967827,0.971677,0.975419
gs_iota,ood_high,3,0.059258,0.108432,0.0833384,0.101697,0.16636,0.149491,0.186106,0.244384,0.293637,0.359687,0.422083,0.496464,0.569162,0.607605,0.645605,0.705975,0.716932,0.721876,0.750149,0.753257,0.746947,0.751312,0.756231,0.750154,0.746081,0.745969,0.746587,0.748839,0.751629
gs_kappa,id,3,0.0357302,0.0505905,0.062556,0.076162,0.0974364,0.127353,0.157683,0.184226,0.211287,0.24859,0.291072,0.338479,0.392137,0.437341,0.481284,0.52658,0.563952,0.599614,0.635042,0.668028,0.70262,0.734278,0.758396,0.778083,0.799963,0.820775,0.839535,0.855088,0.868395
gs_kappa,ood_low,3,0.0534262,0.0815335,0.104608,0.12724,0.154763,0.184757,0.221254,0.261787,0.307903,0.355446,0.40327,0.452838,0.491914,0.524094,0.558133,0.596401,0.634104,0.671994,0.709888,0.743658,0.772617,0.797457,0.819834,0.83871,0.85541,0.87248,0.886611,0.896498,0.905039
gs_kappa,ood_high,3,0.045239,0.0726675,0.0990545,0.127035,0.15429,0.187374,0.229031,0.275574,0.323395,0.368957,0.412716,0.456818,0.498684,0.53943,0.577406,0.611548,0.646275,0.67651,0.701808,0.72884,0.758043,0.788092,0.817693,0.851981,0.884993,0.913244,0.938584,0.959894,0.978913
sh,id,3,0.0536237,0.106676,0.153859,0.194397,0.227585,0.253627,0.274197,0.291315,0.308284,0.329833,0.35761,0.388388,0.422232,0.462684,0.508058,0.551414,0.589486,0.618504,0.634138,0.64055,0.644589,0.648903,0.654115,0.660308,0.667283,0.674732,0.682398,0.690092,0.697627
